관리번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"121294536","아이가 방문을 닫기 시작했습니다 :상담실을 찾기 전 듣는 십대의 마음 ","오선화 지음","꼼지락","2019","9788954439855","","1","","598.125","1","1","2019-10-11",
"121294535","인생독학:정글 같은 일상을 유쾌하게 사는 법","권희린 지음","허밍버드","2016","9788968330346","","0","","818","1","1","2019-10-11",
"121294534","우물쭈물 서른 대책 없이 어른 :현실과 이상의 틈을 메워 줄 20가지 인생템 ","권희린 지음","한즈미디어","2017","9791160071672","","1","","325.211","1","1","2019-10-11",
"121294533","B끕 언어, 세상에 태클 걸다 :욕하는 게 뭐 어때서! ","권희린 지음","우리학교","2019","9791187050681","","4","","802","1","0","2019-10-11",
"121294532","학교 가기 싫은 날 :까칠한 열네 살을 위한 토닥토닥 책 처방전 ","권희린 지음","생각학교","2019","9791188388868","","","","029","1","3","2019-10-11",
"121294531","달의 제단 :심윤경 장편소설 ","지은이: 심윤경","문학동네","2014","9788954625852","","0","","813.7","1","3","2019-10-11",
"121294530","몽테크리스토 백작","알렉상드르 뒤마 지음;진형준 옮김","살림","2018","9788952238221","","","2","863","1","0","2019-10-11",
"121294529","몽테크리스토 백작","알렉상드르 뒤마 지음;진형준 옮김","살림","2018","9788952238214","","0","1","863","1","0","2019-10-11",
"121294528","15소년 표류기 ","쥘 베른 지음 ;붉은여우 옮김, 김욱동 해설","넥서스","2013","9788967901202","9788967901172","0","","843","1","0","2019-10-11",
"121294522","오이디푸스 왕 : 안티고네·아이아스·트라키스 여인들","소포클레스 지음;강대진 옮김","민음사","2018","9788937462177","9788937460005","0","217","808","1","1","2019-10-11",
"121294515","(청소년) 다빈치 코드","댄 브라운 지음;김영선 옮김","문학수첩","2018","9788983926814","","0","2","843","1","2","2019-10-11",
"121294514","사랑했고 미워했다 ","캐서린 패터슨 지음 ;황윤영 옮김","푸른책들","2019","9788961707282","","0","","843","1","0","2019-10-08",
"121294513","유튜브 스타 일주일이면 충분해 :다비드의 아싸 탈출기 ","글: 다비드 가메로 ;그림: 발렌티 폰사 ;옮김: 성초림","탐","2019","9788964964064","","4","","326","1","0","2019-10-08",
"121294512","(교실 밖으로 꺼낸)수학이 보이는 세계사","차길영 지음","지식의숲(넥서스)","2019","9791190032360","","0","","410","1","2","2019-10-08",
"121294511","세계사를 바꾼 13가지 식물 ","이나가키 히데히로 지음 ;서수지 옮김","사람과나무사이","2019","9791188635214","","","","480.9","1","1","2019-10-08",
"121294510","광기의 날개 :산투스두몽과 비행기의 발명 ","폴 호프먼 지음 ;이광일 옮김","문학동네","2019","9788954657198","","0","","558.099","1","1","2019-10-08",
"121294509","무모해도 괜찮아, 쿠바니까 ","글·사진: 김광일","이담북스","2019","9788926888919","","1","","984.9102","1","2","2019-10-08",
"121294508","(가끔은 혼자 떠나고 싶은 사람들을 위한) 혼자 여행 코스북 ","정윤성 지음","GCC","2019","9791190032209","","1","","981.102","1","2","2019-10-08",
"121294507","평범히 살고 싶어 열심히 살고 있다 ","최대호 지음","넥서스BOOKS","2019","9791190032223","","0","","818","1","2","2019-10-08",
"121294506","욕망과 수납 :미니멀라이프를 꿈꾸는 맥시멀리스트 ","무레 요코 지음 ;박정임 옮김","문학동네","2019","9788954657174","","0","","838","1","4","2019-10-08",
"121294505","한성 프리메이슨:서양인 연쇄 살인사건","정명섭 지음","교보문고","2019","9791159099663","","0","","813.7","1","2","2019-10-08",
"121294504","나인폭스 갬빗","이윤하 지음;조호근 옮김","허블","2019","9791190090032","","0","","843","1","0","2019-10-08",
"121294503","사악한 여왕 ","세레나 발렌티노 지음 ;주정자 옮김","라곰","2018","9791196453114","","0","1","843","1","2","2019-10-08",
"121294502","가짜엄마","세레나 발렌티노 지음;김지혜 옮김","라곰","2018","9791189686055","","","5","843","1","3","2019-10-08",
"121294501","버림받은 마녀","세레나 발렌티노 지음;김지혜 옮김","라곰","2019","9791196453138","","0","3","843","1","3","2019-10-08",
"121294500","저주받은 야수 ","세레나 발렌티노 지음 ;석가원 옮김","라곰","2018","9791196453121","","0","2","843","1","2","2019-10-08",
"121294499","말레피센트 ","세레나 발렌티노 지음 ;주정자 옮김","라곰","2018","9791189686000","","0","4","843","1","2","2019-10-08",
"121294498","신비한 동물 사전 ","지은이: J.K. 롤링 ;옮긴이: 최인자","문학수첩리틀북","2018","9788959762187","","0","","843","1","1","2019-10-08",
