검색조건,,,,,,,,,
대출기간,2018-01-01 ~ 2018-12-31,,,,,,,,
성별,전체,,,,,,,,
연령,전체,,,,,,,,
지역,서울,,,,,,,,
세부지역,성북구,,,,,,,,
ISBN 부가기호,아동,,,,,,,,
주제,전체,,,,,,,,
,,,,,,,,,
제공기관 : 국립중앙도서관,,,,,,,,,
데이터 제공일 : 2019-12-23,,,,,,,,,
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.,,,,,,,,,
,,,,,,,,,
순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
39,내 귀는 짝짝이,히도 반 헤네흐텐 글.그림;장미란 옮김,웅진출판,1999,,9788901028293 ,74840,859.33,9
39,훨훨 간다,권정생 글;김용철 그림,국민서관,2003,,9788911021406 ,77810,813.6,9
39,엄마를 구합니다 ,이규희 글 ;박정섭 그림,청어람주니어,2009,,9788925116372 ,73810,813.6,9
39,Why? 컴퓨터 바이러스 ,글: 조영선 ;만화: 이영호,예림당,2014,57,9788930206785 ,73560,4.6,9
39,중국에서 보물찾기,곰돌이 co. 글;강경효 그림,대한교과서,2004,3,9788937813580 ,77900,912,9
39,일본에서 보물찾기,곰돌이 co. 글;강경효 그림,대한교과서,2005,7,9788937840265 ,77900,913,9
39,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,2006-2008,6,9788937842238 ,77400,400,9
39,쿠바에서 보물찾기 ,글: 곰돌이 co. ;그림: 강경효,미래엔 컬처그룹,2010,23,9788937847998 ,77900,949.1,9
39,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011-2019,23,9788937884061 ,77400,400,9
39,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011-2019,24,9788937884078 ,77400,400,9
39,멍멍 의사 선생님,배빗 콜 지음;박찬순 옮김,보림,2000,,9788943304164 ,77840,843,9
39,샬롯의 거미줄,엘윈 브룩스 화이트 글;김화곤 옮김,시공사,2001,,9788952709530 ,73840,843,9
39,황 반장 똥 반장 연애 반장 ,송언 글 ;윤정주 그림,문학동네,2012,,9788954619370 ,73810,813.7,9
39,어린이 과학 형사대 CSI,글: 고희정 ;그림: 서용남,가나출판사,2008-2013,7,9788957364796 ,74400,400,9
