검색조건
대출기간,2018-01-01 ~ 2018-12-31
성별,전체
연령,전체
지역,서울
세부지역,성북구
ISBN 부가기호,아동
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2019-12-23
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","크리스마스 선물","존 버닝햄 그림;이주령 옮김","시공사","1996","","9788972594161","77840","843","13",
"1","장수탕 선녀님 ","지은이: 백희나","책읽는곰","2012","","9788993242706","77810","813.7","13",
"3","책 먹는 여우","프란치스카 비어만 지음;김경연 옮김","김영사","2001","","9788934908067","73850","853","12",
"3","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016-2019","1","9788937838750","74830","833.6","12",
"3","26층 나무 집 ","앤디 그리피스 글 ;신수진 옮김","시공사","2015","","9788952781505","74840","843","12",
"3","이상한 엄마 ","백희나","책읽는곰","2016","","9791158360214","77810","813.7","12",
"7","52층 나무 집 ","앤디 그리피스 글 ;신수진 옮김","시공사","2016","","9788952781819","74840","843","11",
"7","엉덩이 탐정 : 뿡뿡 사라진 과자를 찾아라!","트롤 (지은이), 전경아 (옮긴이)","문학수첩 리틀북","2015","","9788959761654","77830","","11",
"7","엉덩이탐정 :뿡뿡 무지개 다이아몬드를 찾아라! ","트롤 글·그림 ;전경아 옮김","문학수첩리틀북","2016","","9788959761906","77830","833.6","11",
"7","바다 100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2014","","9788966350278","74830","833.6","11",
"7","하늘 100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2017","","9788966350759","74830","833.6","11",
"12","Why? 외계인과 UFO ","글: 이광웅 ;만화: 송희석","예림당","2010","23","9788930202527","74440","001","10",
"12","지각대장 존 ","존 버닝햄 글·그림 ;박상희 옮김","비룡소","2006","","9788949110073","74480","843","10",
"12","도깨비를 빨아 버린 우리 엄마","사토 와키코","한림출판사","1991","","9788970940199","77890","","10",
"12","100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2009","","9788989863786","73830","833.6","10",
"12","윔피 키드","글, 그림: 제프 키니 ;양진성","푸른날개","2009-2015","2","9788993055030","74840","843","10",
"12","윔피 키드","글, 그림: 제프 키니 ;양진성","푸른날개","2009-2015","3","9788993055122","74840","843","10",
"18","Hooray for Fish! (Paperback)","Lucy Coysins","Walker","2008","","9781406301564","78740","","9",
"18","돼지책","앤서니 브라운 글·그림;허은미 옮김","웅진닷컴","2001","","9788901033518","74840","843","9",
