검색조건
대출기간,2018-01-01 ~ 2018-12-31
성별,전체
연령,전체
지역,서울
세부지역,성북구
ISBN 부가기호,아동
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2019-12-23
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","바다 100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2014","","9788966350278","74830","833.6","15",
"2","돼지책","앤서니 브라운 글·그림;허은미 옮김","웅진닷컴","2001","","9788901033518","74840","843","13",
"2","강아지똥 ","글: 권정생 ;그림: 정승각","길벗어린이","2012","","9788986621136","77810","813.6","13",
"4","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016-2019","2","9788937853470","74830","833.6","12",
"5","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016-2019","4","9788937848247","74830","833.6","11",
"5","52층 나무 집 ","앤디 그리피스 글 ;신수진 옮김","시공사","2016","","9788952781819","74840","843","11",
"5","100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2009","","9788989863786","73830","833.6","11",
"5","장수탕 선녀님 ","지은이: 백희나","책읽는곰","2012","","9788993242706","77810","813.7","11",
"9","호주에서 보물찾기","글: 곰돌이 co.;그림: 강경효","대한교과서","2006","11","9788937841972","77900","962","10",
"9","수염 할아버지","이상교","보림","2001","","9788943304553","77810","","10",
"9","귀신 선생님과 진짜 아이들 ","남동윤 만화","사계절","2014","","9788958288053","77810","810","10",
"9","손 큰 할머니의 만두 만들기 ","글: 채인선 ;그림: 이억배","재미마주","1998","","9788986565065","73810","813.6","10",
"9","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017-2019","3","9791196025847","74910","911","10",
"14","우리는 친구 ","글·그림: 앤서니 브라운 ;옮김: 장미란","웅진씽크빅","2008","","9788901074405","77840","843","9",
"14","도토리 마을의 유치원 ","글·그림: 나카야 미와 ;옮김: 김난주","웅진주니어","2014","","9788901165806","74800","833.6","9",
"14","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ,그림: 홍종현","미래엔","2011-2019","26","9788937884795","77400","400","9",
"14","종이 봉지 공주","로버트 먼치","비룡소","1998","","9788949110479","77840","","9",
"14","신기한 스쿨 버스","조애너 콜 글;브루스 디건 그림","비룡소","1999-2010","1","9788949130460","74400","400","9",
"14","어린이 과학 형사대 CSI","글: 고희정 ;그림: 서용남","가나출판사","2008-2013","7","9788957364796","74400","400","9",
