검색조건
대출기간,2018-01-01 ~ 2018-12-31
성별,전체
연령,전체
지역,서울
세부지역,성북구
ISBN 부가기호,아동
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2019-12-23
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","책 먹는 여우","프란치스카 비어만 지음;김경연 옮김","김영사","2001","","9788934908067","73850","853","17",
"2","돼지책","앤서니 브라운 글·그림;허은미 옮김","웅진닷컴","2001","","9788901033518","74840","843","12",
"2","우리 가족입니다","이혜란 지음","보림출판사","2005","","9788943305796","77810","813.6","12",
"2","가을 운동회 ","임광희 글·그림","사계절출판사","2010","","9788958285106","77810","813.7","12",
"5","으악, 도깨비다!","손정원 글;유애로 그림","느림보","2002","","9788987504568","77810","813.6","11",
"6","(늑대가 들려주는)아기돼지 삼형제 이야기","존 셰스카 글;황의방 옮김","보림","1996","","9788943302245","77840","843.8","10",
"6","강아지똥 ","글: 권정생 ;그림: 정승각","길벗어린이","2012","","9788986621136","77810","813.6","10",
"6","장수탕 선녀님 ","지은이: 백희나","책읽는곰","2012","","9788993242706","77810","813.7","10",
"9","마법사 똥맨 :송언 동화 ","송언 [지음] ;김유대 그림","창비","2008","","9788936451158","73810","813.6","9",
"9","52층 나무 집 ","앤디 그리피스 글 ;신수진 옮김","시공사","2016","","9788952781819","74840","843","9",
"9","100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2009","","9788989863786","73830","833.6","9",
"9","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017-2019","3","9791196025847","74910","911","9",
"13","아드님, 진지 드세요 ","강민경 글 ;이영림 그림","좋은책신사고 좋은책어린이","2011","","9788928302802","74810","813.7","8",
"13","마법의 설탕 두 조각","미카엘 엔데 글;유혜자 옮김","한길사","2001","","9788935652792","74850","853","8",
"13","몽실 언니 :권정생 소년소설 ","지은이: 권정생 ;그린이: 이철수","창작과비평사","2000","","9788936440145","73810","813.6","8",
"13","말 안 하기 게임 ","앤드루 클레먼츠 글 ;이원경 옮김","비룡소","2010","","9788949121277","74800","843","8",
"13","칠판 앞에 나가기 싫어!","다니엘 포세트 글;최윤정 옮김","비룡소","1997","217","9788949160368","73860","863","8",
"13","마루 밑 바로우어즈","메리 노튼 글;손영미 옮김","시공사","2002","","9788952709462","73840","843","8",
"13","하얀 눈썹 호랑이","이진숙 글;백대승 그림","한솔교육","2006","","9788953536630","74810","813.6","8",
"13","어린이 과학 형사대 CSI","글: 고희정 ;그림: 서용남","가나출판사","2008-2013","1","9788957364390","74400","400","8",
"13","바다 100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2014","","9788966350278","74830","833.6","8",
"13","진짜 도둑","윌리엄 스타이그 글·그림;홍연미 옮김","베틀북","2002","","9788984881204","77840","843","8",
"13","마법에 걸린 병","고경숙 글·그림","재미마주","2005","","9788986565706","77810","813.6","8",
"13","윔피 키드","글, 그림: 제프 키니 ;양진성","푸른날개","2009-2015","4","9788993055207","74840","843","8",
"13","아름다운 아이 ","R. J. 팔라시오 지음 ;천미나 옮김","책과콩나무","2012","","9788994077468","73840","843","8",
"13","이상한 엄마 ","백희나","책읽는곰","2016","","9791158360214","77810","813.7","8",
"13","(설민석의) 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017-2019","2","9791196025809","74910","911","8",
"28","임금님의 집 창덕궁 ","최재숙 글 ;달·리 그림","웅진씽크빅","2008","","9788901089874","74900","611","7",
"28","길 아저씨 손 아저씨","권정생 글 ;김용철 그림","국민서관","2009","","9788911026319","77810","813.6","7",
"28","Why? 응급처치 ","글: 파피루스 ;만화: 이준희","예림당","2011","34","9788930202633","74510","512","7",
"28","공룡이 공짜! ","엘리스 브로우치 글 ;정선화 옮김","김영사","2010","","9788934937500","77840","843","7",
"28","잭키 마론과 악당 황금손 ","책 먹는 여우와 프란치스카 비어만 글·그림 ;송순섭 옮김","김영사","2017","","9788934978381","73850","853","7",
"28","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016-2019","2","9788937853470","74830","833.6","7",
"28","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016-2019","3","9788937889714","74830","833.6","7",
"28","제랄다와 거인","토미 웅거러 글.그림;김경연 옮김","비룡소","1996","","9788949110240","77850","853","7",
"28","무지개 물고기와 신기한 친구들 ","마르쿠스 피스터 그림·글 ;조경수 옮김","시공사","2009","","9788952754851","77890","853","7",
"28","(노래하는) 볼돼지","글·그림: 김영진","길벗어린이","2006","","9788955820560","77810","813.6","7",
"28","줄줄이 꿴 호랑이","권문희 글·그림","사계절출판사","2005","","9788958281047","77810","813.5","7",
"28","엽기 과학자 프래니","글·그림: 짐 벤튼 ;옮김: 박수현","이퍼블릭","2008","7","9788962242409","74840","843","7",
"28","수상한 아파트 ","박현숙 글 ;장서영 그림","북멘토","2014","","9788963191010","73810","813.7","7",
"28","하늘 100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2017","","9788966350759","74830","833.6","7",
"28","프린들 주세요","앤드루 클레먼츠 지음;양혜원 그림","사계절출판사","2001","","9788971968345","73810","843","7",
"28","무지개 물고기","마르쿠스 피스터 글.그림;공경희 옮김","시공사","1994","","9788972590637","77890","853","7",
"28","꼬마 할머니의 비밀 ","다카도노 호코 글 ;양미화 옮김","논장","2008","","9788984141018","73830","833.6","7",
"28","엄마 까투리 ","권정생 글 ;김세현 그림","낮은산","2008","","9788989646488","77810","813.6","7",
"28","엄마가 화났다 ","최숙희 글·그림","책읽는곰","2011","","9788993242447","77810","813.7","7",
"28","천 원은 너무해! ","전은지 글 ;김재희 그림","책읽는곰","2012","","9788993242584","74810","320","7",
"28","발레 하는 할아버지 ","신원미 글 ;박연경 그림","머스트비","2013","","9788998433147","73810","813.7","7",
"49","괜찮아","최숙희 지음","웅진씽크빅","2005","","9788901052922","74810","375.1","6",
"49","훨훨 간다","권정생 글;김용철 그림","국민서관","2003","","9788911021406","77810","813.6","6",
"49","Why? 외계인과 UFO ","글: 이광웅 ;만화: 송희석","예림당","2010","23","9788930202527","74440","001","6",
"49","Why? 과학사건 ","글: 박상욱 ;만화: 이태훈","예림당","2011","50","9788930202794","74400","409","6",
"49","(악어오리)구지 구지","천즈위엔 글·그림;박지민 옮김","예림당","2003","","9788930260916","77820","823.7","6",
"49","숟가락 ","글: 에이미 크루즈 로젠탈 ;옮긴이: 이승숙","지경사","2009","","9788931921519","77840","843","6",
"49","귀신 잡는 방구 탐정 :고재현 장편동화 ","지은이: 고재현 ;그린이: 조경규","창비","2009","","9788936442514","73810","813.6","6",
"49","수박 수영장 :안녕달 그림책 ","지은이: 안녕달","창비","2015","","9788936446819","77810","813.7","6",
"49","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016-2019","1","9788937838750","74830","833.6","6",
"49","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ,그림: 홍종현","미래엔","2011-2019","31","9788937839689","77400","400","6",
"49","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016-2019","","9788937848247","74830","833.6","6",
"49","신라 시대 보물찾기","글: 곰돌이 co. ;그림: 강경효","미래엔","2012","6","9788937884207","77910","911.03","6",
"49","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ,그림: 홍종현","미래엔","2011-2019","27","9788937884801","77400","400","6",
"49","누구 그림자 일까?","최숙희 글·그림","보림출판사","2006","","9788943304249","77810","813.6","6",
"49","펭귄 365","장-뤽 프로망탈 (지은이), 조엘 졸리베 (그림), 홍경기 (옮긴이)","보림","2007","","9788943307066","77860","","6",
"49","아씨방 일곱 동무","이영경 글.그림","비룡소","1998","","9788949100203","77810","813.8","6",
"49","지각대장 존 ","존 버닝햄 글·그림 ;박상희 옮김","비룡소","2006","","9788949110073","74480","843","6",
"49","콩닥콩닥 짝 바꾸는 날 ","강정연 글 ;김진화 그림","시공사","2009","","9788952754905","73810","813.6","6",
"49","FASTER FASTER NICE AND SLOW","문진미디어 편집부","문진미디어","2008","","9788953919402","78840","","6",
"49","열세 번째 아이 ","이은용 글 ;이고은 그림","문학동네","2012","","9788954617352","73810","813.7","6",
"49","손가락 문어 ","구세 사나에 글·그림 ;이기웅 옮김","길벗어린이","2014","","9788955822892","77830","833.6","6",
"49","미안하고 고맙고 사랑해 ","김영진 글·그림","길벗어린이","2016","","9788955823486","77810","813.7","6",
"49","도서관이 키운 아이 ","칼라 모리스 글 ;이상희 옮김","그린북","2008","","9788955881844","77840","843","6",
"49","어린이 과학 형사대 CSI","글: 고희정 ;그림: 서용남","가나출판사","2008-2013","6","9788957364703","74400","400","6",
"49","엉덩이탐정 :뿡뿡 무지개 다이아몬드를 찾아라! ","트롤 글·그림 ;전경아 옮김","문학수첩리틀북","2016","1","9788959761906","77830","833.6","6",
"49","드라큘라 씨 괴물들을 부탁해! ","강경수 글·그림","위즈덤하우스","2015","","9788962476293","74810","813.7","6",
"49","주무르고 늘리고","요시타케 신스케 (지은이), 유문조 (옮긴이)","스콜라(위즈덤하우스)","2018","","9788962479164","77800","833.8","6",
"49","나는 나의 주인 ","채인선 글 ;안은진 그림","토토북","2010","","9788964960035","73190","189","6",
"49","예방 주사 무섭지 않아!","한림출판사 편","한림출판사","1996","","9788970941714","77830","833.8","6",
"49","수호의 하얀말","오츠카 유우조 글;아카바 수에키치 그림","한림출판사","2001","","9788970943114","77830","833.6","6",
"49","좋은 엄마 학원","김녹두 글;김용연 그림","문학동네","2004","","9788982818301","73810","813.6","6",
"49","외딴 집 외딴 다락방에서","필리파 피어스 지음;햇살과나무꾼 옮김","논장","2005","","9788984140776","73840","843","6",
"49","할머니, 어디 가요? 밤 주우러 간다! :옥이네 가을 이야기 ","조혜란 그리고 씀","보리","2010","3","9788984286269","77800","813.7","6",
"49","만희네 집","글·그림: 권윤덕","길벗어린이","2006","","9788986621105","77810","813.6","6",
"49","너는 특별하단다","맥스 루카도 지음;아기장수의 날개 옮김","고슴도치","2002","","9788989315155","77840","843","6",
"49","멋져 부러, 세발자전거! ","글: 김남중 ;그림: 오승민","낮은산","2010","","9788989646617","73810","813.7","6",
"49","우와! 신기한 사탕이다 ","글·그림: 미야니시 타츠야 ;옮김: 계일","계수나무","2009","","9788989654575","77830","833.6","6",
"49","틀려도 괜찮아","마키타 신지 글;유문조 옮김","토토북","2006","","9788990611260","77830","833.6","6",
"49","윔피 키드 :그레그 헤플리의 카툰 일기 ","글, 그림: 제프 키니 ;옮긴이: 양진성","푸른날개","2008","1","9788993055023","74840","843","6",
"49","모르는 척 공주 ","최숙희 글·그림","책읽는곰","2012","","9788993242720","77810","813.7","6",
"49","엄마, 학교 오지마! ","김현태 글 ;홍민정 그림","가람어린이","2012","","9788993900309","73810","813.7","6",
"49","어제저녁","백희나","스토리보울","2011","","9788996478218","77800","","6",
"49","나에게 작은 꿈이 있다면","니나 레이든","소원나무","2018","","9791186531624","77840","","6",
"92","Hooray for Fish! (Paperback)","Lucy Coysins","Walker","2008","","9781406301564","78740","","5",
"92","집 나가자 꿀꿀꿀","야규 마치코 글.그림;고향옥 옮김","웅진출판","1999","","9788901028194","74840","833.6","5",
"92","(앤서니 브라운의) 행복한 미술관 ","글·그림: 앤서니 브라운 ;옮긴이: 서애경","웅진씽크빅","2006","","9788901044873","74800","843","5",
"92","꿈꾸는 윌리 ","글·그림: 앤서니 브라운 ;옮긴이: 허은미","웅진닷컴","2004","","9788901044972","74800","843","5",
"92","선생님, 바보 의사 선생님","이상희 글;김명길 그림","웅진씽크빅","2006","","9788901055190","74800","998.5","5",
"92","동생이 태어날 거야 ","글: 존 버닝햄 ;옮김: 홍연미","웅진씽크빅","2010","","9788901107615","74800","843","5",
"92","새끼 표범 :야생에서 끌려온 어느 표범 이야기 ","강무홍 글 ;오승민 그림","웅진씽크빅","2012","","9788901137247","74810","813.7","5",
"92","점박이 한반도의 공룡 :애니메이션 그림책","원작: 이용규,드림써치C&C","웅진씽크빅","2012","2","9788901140568","77450","457","5",
"92","얼음 땡! ","글·그림: 강풀","웅진씽크빅","2014","","9788901165776","74810","813.7","5",
"92","우리 가족을 도운 도둑 ","박향희 글 ;김언희 그림","교학사","2013","","9788909181938","74810","813.7","5",
"92","소년 셜록 홈즈","앤드루 레인 글 ;김경희 옮김","랜덤하우스코리아","2011-2012","1","9788925543222","74840","843","5",
"92","Why? 바다 ","글: 이광웅 ;만화: 김강호","예림당","2010","3","9788930202329","74450","408","5",
"92","Why? 곤충 - 3판","이광웅","예림당","2009","8","9788930202374","74490","","5",
"92","Why? 사춘기와 성 ","글: 전지은 ;만화: 이혜조","예림당","2011","13","9788930202428","74470","408","5",
"92","Why? 스포츠과학 ","글: 조영선 ;만화: 이영호","예림당","2011","33","9788930202626","74690","692","5",
"92","Why? 새 - 2판","남춘자","예림당","2008","46","9788930202756","74490","","5",
"92","Why? 과학수사 ","글: 조영선 ;만화: 이영호","예림당","2011","51","9788930206723","73400","517","5",
"92","Why? 고대 동물 ","글: 전재운 ;만화: 정석호","예림당","2015","58","9788930206822","74400","457","5",
"92","Why? 전쟁과 무기 ","글: 이항선 ;그림: 윤현우","예림당","2014","25","9788930231411","73500","001","5",
"92","Why? 발표력","박세준","예림당","2011","14","9788930231503","74300","","5",
"92","Why? 漢字 이야기 ","글: 조영선 ;그림: 이영호","예림당","2011","13","9788930231510","74720","001","5",
"92","책 먹는 여우와 이야기 도둑 :《책 먹는 여우》두 번째 이야기 ","프란치스카 비어만 글·그림 ;송순섭 옮김","김영사","2015","","9788934969952","73850","853","5",
"92","책으로 똥을 닦는 돼지 ","최은옥 글 ;오정택 그림","김영사","2015","","9788934993407","73810","813.7","5",
"92","엄마 사용법 :김성진 동화 ","지은이: 김성진 ;그린이: 김중석","창비","2012","","9788936451332","73810","813.7","5",
"92","미국에서 보물찾기","곰돌이 co. 글;강경효 그림","대한교과서","2005","6","9788937840258","77900","942","5",
"92","쿠바에서 보물찾기 ","글: 곰돌이 co. ;그림: 강경효","미래엔 컬처그룹","2010","23","9788937847998","77900","949.1","5",
"92","뉴질랜드에서 보물찾기 ","글: 곰돌이 co. ;그림: 강경효","미래엔","2011","26","9788937848261","77900","963","5",
"92","세계사 보물찾기 :이집트 문명 편","글: 곰돌이co. ;그림: 강경효","미래엔","2013-2014","2","9788937885006","77900","909","5",
"92","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ,그림: 홍종현","미래엔","2011-2019","39","9788937889981","77400","400","5",
"92","가을을 만났어요","이미애 글;한수임 그림","보림","2002","","9788943304782","77810","813.6","5",
"92","수잔네의 가을 ","로트라우트 수잔네 베르너 지음 ;윤혜정 옮김","보림출판사","2007","3","9788943306892","74850","691","5",
"92","종이 봉지 공주","로버트 먼치","비룡소","1998","","9788949110479","77840","","5",
"92","100만 번 산 고양이","사노 요코 글·그림;김난주 옮김","비룡소","2002","","9788949110851","77830","833.6","5",
"92","(최승호 시인의)말놀이 동시집","최승호 시;윤정주 그림","비룡소","2005","1","9788949120232","73810","811.8","5",
"92","신기한 스쿨 버스:키즈","조애너 콜 글;브루스 디건 그림","비룡소","2001-2003","1","9788949150246","74400","400","5",
"92","개구리와 두꺼비의 사계절","아놀드 로벨 글.그림;엄혜숙 옮김","비룡소","1996","23","9788949160030","74840","843.8","5",
"92","공주도 학교에 가야 한다","수지 모르겐스턴 글;김진경 옮김","비룡소","1997","35","9788949160269","73860","863","5",
"92","만복이네 떡집 ","김리리 글 ;이승현 그림","비룡소","2010","354","9788949161341","74800","813.7","5",
"92","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,홍거북","아울북","2005-2019","20","9788950935252","77720","711.4","5",
"92","(사시사철) 우리 놀이 우리 문화","닥종이 인형: 백희나;그림: 최지경","한솔교육","2006","","9788953535671","73380","380","5",
"92","엄마가 정말 좋아요 ","미야니시 다쓰야 글·그림 ;이기웅 옮김","길벗어린이","2015","","9788955823295","77830","833.6","5",
"92","그램그램 영문법 원정대","지은이: 장영준,김덕영","사회평론","2006-2019","1","9788956026220","77740","745","5",
"92","어린이 과학 형사대 CSI","글: 고희정 ;그림: 서용남","가나출판사","2008-2013","3","9788957364543","74400","400","5",
"92","선생님 몰래 ","조성자 글 ;김준영 그림","좋은책신사고 좋은책어린이","2009","","9788959777310","73810","813.7","5",
"92","학교가 괴물로 가득 찬 날 ","강경수 글·그림","위즈덤하우스","2014","","9788962474466","74810","813.7","5",
"92","맥처럼 될 거야! ","글·그림: 세바스티앙 브라운 ;옮김: 글맛","키즈엠","2013","117","9788967491444","74800","843","5",
"92","멀쩡한 이유정 :유은실 창작 동화 ","글쓴이: 유은실 ;그린이: 변영미","푸른숲","2008","","9788971846278","73810","813.6","5",
"92","화요일의 두꺼비","러셀 에릭슨","사계절","2008","","9788971965559","73840","","5",
