검색조건
대출기간,2018-01-01 ~ 2018-12-31
성별,전체
연령,전체
지역,서울
세부지역,성북구
ISBN 부가기호,아동
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2019-12-23
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","수박 수영장 :안녕달 그림책 ","지은이: 안녕달","창비","2015","","9788936446819","77810","813.7","14",
"2","손 큰 할머니의 만두 만들기 ","글: 채인선 ;그림: 이억배","재미마주","1998","","9788986565065","73810","813.6","13",
"3","사라, 버스를 타다","윌리엄 밀러 글;박찬석 옮김","사계절출판사","2004","","9788958280378","77840","843","12",
"3","100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2009","","9788989863786","73830","833.6","12",
"3","장수탕 선녀님 ","지은이: 백희나","책읽는곰","2012","","9788993242706","77810","813.7","12",
"3","달 샤베트","백희나","스토리보울","2010","","9788996478201","73810","","12",
"7","Why? 갯벌 ","글: 우연정 ;만화: 파피루스","예림당","2011","28","9788930202572","74470","472","11",
"7","으악, 도깨비다!","손정원 글;유애로 그림","느림보","2002","","9788987504568","77810","813.6","11",
"7","그림 도둑, 준모 ","글: 오승희 ;그림: 최정인","낮은산","2005","","9788989646075","73810","813.7","11",
"7","지하 100층짜리 집 ","글·그림: 이와이 도시오 ;옮긴이: 김숙","북뱅크","2011","","9788989863915","73830","833.6","11",
"7","틀려도 괜찮아","마키타 신지 글;유문조 옮김","토토북","2006","","9788990611260","77830","833.6","11",
"12","마법의 설탕 두 조각","미카엘 엔데 글;유혜자 옮김","한길사","2001","","9788935652792","74850","853","10",
"12","종이 봉지 공주","로버트 먼치","비룡소","1998","","9788949110479","77840","","10",
"12","짜장 짬뽕 탕수육","김영주 글;고경숙 그림","재미마주","2002","","9788986565522","73810","813.6","10",
"12","강아지똥 ","글: 권정생 ;그림: 정승각","길벗어린이","2012","","9788986621136","77810","813.6","10",
"12","발레 하는 할아버지 ","신원미 글 ;박연경 그림","머스트비","2013","","9788998433147","73810","813.7","10",
"17","우리는 친구 ","글·그림: 앤서니 브라운 ;옮김: 장미란","웅진씽크빅","2008","","9788901074405","77840","843","9",
"17","Why? 똥 ","글: 허순봉 ;만화: 송회석","예림당","2011","20","9788930202497","74530","511","9",
"17","Why? 응급처치 ","글: 파피루스 ;만화: 이준희","예림당","2011","34","9788930202633","74510","512","9",
"17","Why? 물고기 ","글: 김남길 ;만화: 송회석","예림당","2011","45","9788930202749","74490","497","9",
"17","Why? 컴퓨터 바이러스 ","글: 조영선 ;만화: 이영호","예림당","2014","57","9788930206785","73560","004.6","9",
"17","책 먹는 여우","프란치스카 비어만 지음;김경연 옮김","김영사","2001","","9788934908067","73850","853","9",
"17","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ,그림: 홍종현","미래엔","2011-2019","26","9788937884795","77400","400","9",
"17","(늑대가 들려주는)아기돼지 삼형제 이야기","존 셰스카 글;황의방 옮김","보림","1996","","9788943302245","77840","843.8","9",
"17","아씨방 일곱 동무","이영경 글.그림","비룡소","1998","","9788949100203","77810","813.8","9",
"17","지각대장 존 ","존 버닝햄 글·그림 ;박상희 옮김","비룡소","2006","","9788949110073","74480","843","9",
"17","바다 100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2014","","9788966350278","74830","833.6","9",
"17","(하늘의 법칙을 찾아낸) 조선의 과학자들","고진숙 지음;유준재 그림","한겨레출판","2006","","9788984311916","73990","991.1","9",
"17","세상에서 제일 힘센 수탉 ","글쓴이: 이호백 ;그린이: 이억배","재미마주","1997","","9788986565041","77810","813.6","9",
"17","치킨 마스크 :그래도 난 내가 좋아! ","우쓰기 미호 지음 ;장지현 옮김","책읽는곰","2008","","9788996017059","77830","833.6","9",
"31","Hooray for Fish! (Paperback)","Lucy Coysins","Walker","2008","","9781406301564","78740","","8",
"31","축구선수 윌리","앤서니 브라운 글·그림;허은미 옮김","웅진닷컴","2003","","9788901042374","74800","843","8",
"31","Why? 생활과학 ","글: 파피루스 ;만화: 이두원","예림당","2011","47","9788930202763","74500","400","8",
"31","이게 정말 사과일까? ","요시타게 신스케 글·그림 ;고향옥 옮김","김영사","2014","","9788934968726","77830","833.6","8",
"31","어두운 계단에서 도깨비가:임정자 동화집","임정자 지음;이형진 그림","창작과 비평사","2001","","9788936451042","73810","813.6","8",
"31","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ,그림: 홍종현","미래엔","2011-2019","28","9788937884818","77400","400","8",
"31","개구리네 한솥밥","백석 동화시;유애로 그림","보림","2001","","9788943304508","73810","811.8","8",
"31","100만 번 산 고양이","사노 요코 글·그림;김난주 옮김","비룡소","2002","","9788949110851","77830","833.6","8",
"31","줄무늬가 생겼어요","데이빗 섀논 글·그림;조세현 옮김","비룡소","2006","","9788949111674","77840","843","8",
"31","신기한 스쿨 버스","조애너 콜 글;브루스 디건 그림","비룡소","1999-2010","6","9788949130514","74400","400","8",
"31","시간 가게 ","이나영 글 ;윤정주 그림","문학동네","2013","","9788954620260","73810","813.7","8",
"31","개구리네 한솥밥 ","글: 백석 ;그림: 강우근","길벗어린이","2007","","9788955820591","77810","811.8","8",
