검색조건
대출기간,2018-01-01 ~ 2018-12-31
성별,전체
연령,전체
지역,서울
세부지역,성북구
ISBN 부가기호,아동
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2019-12-23
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","발레 하는 할아버지 ","신원미 글 ;박연경 그림","머스트비","2013","","9788998433147","73810","813.7","19",
"2","선인장 호텔 ","브렌다 기버슨 글 ;이명희 옮김","마루벌","2008","","9788956632001","77800","843","16",
"3","사라, 버스를 타다","윌리엄 밀러 글;박찬석 옮김","사계절출판사","2004","","9788958280378","77840","843","15",
"3","으악, 도깨비다!","손정원 글;유애로 그림","느림보","2002","","9788987504568","77810","813.6","15",
"5","멋진 여우 씨","로알드 달 글;햇살과나무꾼 옮김","논장","2007","","9788984140943","73840","843","14",
"5","짜장 짬뽕 탕수육","김영주 글;고경숙 그림","재미마주","2002","","9788986565522","73810","813.6","14",
"5","잔소리 없는 날 ","안네마리 노르덴 글 ;배정희 옮김","보물창고","2006","","9788990794055","73850","853","14",
"8","우리는 친구 ","글·그림: 앤서니 브라운 ;옮김: 장미란","웅진씽크빅","2008","","9788901074405","77840","843","13",
"8","책 먹는 여우","프란치스카 비어만 지음;김경연 옮김","김영사","2001","","9788934908067","73850","853","13",
"8","쿠바에서 보물찾기 ","글: 곰돌이 co. ;그림: 강경효","미래엔 컬처그룹","2010","23","9788937847998","77900","949.1","13",
"8","종이 봉지 공주","로버트 먼치","비룡소","1998","","9788949110479","77840","","13",
"8","책과 노니는 집 ","이영서 글 ;김동성 그림","문학동네","2009","","9788954607346","73810","813.6","13",
"8","강아지똥 ","글: 권정생 ;그림: 정승각","길벗어린이","2012","","9788986621136","77810","813.6","13",
"8","지하 100층짜리 집 ","글·그림: 이와이 도시오 ;옮긴이: 김숙","북뱅크","2011","","9788989863915","73830","833.6","13",
"15","내 다리는 휠체어","프란츠 요제프 후아이니크 글;김경연 옮김","김영사","2004","","9788934915102","77850","853","12",
"15","마법의 설탕 두 조각","미카엘 엔데 글;유혜자 옮김","한길사","2001","","9788935652792","74850","853","12",
"15","내 동생 싸게 팔아요","글: 임정자;그림: 김영수","대한교과서","2006","","9788937841668","74810","813.6","12",
"15","그림 도둑, 준모 ","글: 오승희 ;그림: 최정인","낮은산","2005","","9788989646075","73810","813.7","12",
"19","돼지책","앤서니 브라운 글·그림;허은미 옮김","웅진닷컴","2001","","9788901033518","74840","843","11",
"19","우리 가족입니다","이혜란 지음","보림출판사","2005","","9788943305796","77810","813.6","11",
"19","뒷집 준범이 ","이혜란 지음","보림출판사","2011","","9788943308629","77810","813.7","11",
"19","모기와 황소 ","글: 현동염 ;그림: 이억배","길벗어린이","2012","","9788955820041","77810","813.6","11",
"19","엽기 과학자 프래니","글·그림: 짐 벤튼;옮김: 박수현","언어세상","2005-2006","5","9788955856279","74840","843","11",
"19","어린이 과학 형사대 CSI","글: 고희정 ;그림: 서용남","가나출판사","2008-2013","3","9788957364543","74400","400","11",
"19","화요일의 두꺼비","러셀 에릭슨","사계절","2008","","9788971965559","73840","","11",
"19","리디아의 정원","데이비드 스몰 그림;이복희 옮김","시공사","1998","","9788972596363","77840","843","11",
"19","100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2009","","9788989863786","73830","833.6","11",
"19","아름다운 아이 ","R. J. 팔라시오 지음 ;천미나 옮김","책과콩나무","2012","","9788994077468","73840","843","11",
"29","기분을 말해 봐! ","글·그림: 앤서니 브라운 ;옮김: 홍연미","웅진씽크빅","2011","","9788901121390","74800","181","10",
"29","Why? 컴퓨터 바이러스 ","글: 조영선 ;만화: 이영호","예림당","2014","57","9788930206785","73560","004.6","10",
"29","미니 부케와 세 마녀 ","글 그림: 안비루 야스코 ;옮김: 송소영","예림당","2012","4","9788930210904","73830","833.6","10",
"29","누구나 할 수 있는 멋진 마법 ","글 그림: 안비루 야스코 ;옮김: 송소영","예림당","2012","5","9788930210911","73830","833.6","10",
"29","조커:학교 가기 싫을 때 쓰는 카드","수지 모건스턴 지음;김예령 옮김","문학과 지성사","2000","","9788932011974","73860","863","10",
"29","베트남에서 보물찾기 ","글: 곰돌이 co. ;그림: 강경효","미래엔 컬처그룹","2009","20","9788937842061","77900","914.1","10",
"29","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ;그림: 홍종현","미래엔컬처그룹","2009-2010","11","9788937847639","77400","400","10",
"29","따로 따로 행복하게","배빗 콜 지음;고정아 옮김","보림","1999","","9788943302504","77840","843","10",
"29","지각대장 존 ","존 버닝햄 글·그림 ;박상희 옮김","비룡소","2006","","9788949110073","74480","843","10",
"29","겁쟁이 빌리","앤터니 브라운 글·그림;김경미 옮김","비룡소","2006","","9788949111636","77840","843","10",
"29","배추흰나비 알 100개는 어디로 갔을까? ","권혁도 글·그림","길벗어린이","2015","","9788955823226","77400","495","10",
"29","엽기 과학자 프래니","글·그림: 짐 벤튼 ;옮김: 박수현","이퍼블릭","2008","7","9788962242409","74840","843","10",
"29","바다 100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2014","","9788966350278","74830","833.6","10",
"29","도깨비를 빨아 버린 우리 엄마","사토 와키코","한림출판사","1991","","9788970940199","77890","","10",
"29","블랙아웃 :박효미 장편동화 ","지은이: 박효미 ;그린이: 마영신","한겨레출판","2014","","9788984318304","73810","813.7","10",
"44","미술관에 간 윌리 ","글·그림: 앤서니 브라운 ;옮긴이: 장미란","웅진닷컴","2004","","9788901029146","74840","843","9",
"44","냄비와 국자 전쟁","미하엘 엔데 글;곰발바닥 옮김","한길사","2006","","9788935653379","74850","853","9",
"44","수박 수영장 :안녕달 그림책 ","지은이: 안녕달","창비","2015","","9788936446819","77810","813.7","9",
"44","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ;그림: 홍종현","대한교과서","2006-2008","6","9788937842238","77400","400","9",
"44","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ,그림: 홍종현","미래엔","2011-2019","18","9788937847707","77400","400","9",
"44","뉴질랜드에서 보물찾기 ","글: 곰돌이 co. ;그림: 강경효","미래엔","2011","26","9788937848261","77900","963","9",
"44","아씨방 일곱 동무","이영경 글.그림","비룡소","1998","","9788949100203","77810","813.8","9",
"44","샌지와 빵집 주인","코키 폴 그림;김중철 옮김","비룡소","2000","","9788949110592","77840","843","9",
"44","100만 번 산 고양이","사노 요코 글·그림;김난주 옮김","비룡소","2002","","9788949110851","77830","833.6","9",
"44","고함쟁이 엄마","유타 바우어 글·그림;이현정 옮김","비룡소","2005","","9788949111469","77850","853","9",
"44","집안 치우기 ","글: 고대영 ;그림: 김영진","길벗어린이","2010","6","9788955821055","77810","813.7","9",
"44","(니키의) 도크 다이어리","지은이: 레이첼 르네 러셀 ;김선희","미래지식","2012-2019","1","9788965840190","74840","843","9",
"44","손 큰 할머니의 만두 만들기 ","글: 채인선 ;그림: 이억배","재미마주","1998","","9788986565065","73810","813.6","9",
"44","만희네 집","글·그림: 권윤덕","길벗어린이","2006","","9788986621105","77810","813.6","9",
"44","소나기","황순원 글;강요배 그림","길벗어린이","2006","","9788986621327","77810","813.6","9",
"44","엄마 까투리 ","권정생 글 ;김세현 그림","낮은산","2008","","9788989646488","77810","813.6","9",
"44","청소기에 갇힌 파리 한 마리 :슬픔을 받아들이는 마음의 5단계 ","멜라니 와트 지음 ;김선희 옮김","여유당","2016","","9788992351584","77840","843","9",
"44","회장이 되고 싶어 ","송아주 글 ;배현선 그림","맥스퍼블리싱(상수리나무)","2013","","9788997449354","74810","813.7","9",
"62","Hooray for Fish! (Paperback)","Lucy Coysins","Walker","2008","","9781406301564","78740","","8",
"62","우리 엄마","앤서니 브라운 글·그림;허은미 옮김","웅진씽크빅","2005","","9788901047904","74800","843","8",
"62","도토리 마을의 빵집 ","글·그림: 나카야 미와 ;옮김: 김난주","웅진씽크빅","2012","","9788901149332","74800","833.6","8",
"62","난 토마토 절대 안 먹어","로렌 차일드 글·그림;조은수 옮김","국민서관","2001","","9788911020003","77840","843","8",
"62","우당탕탕 2학년 3반","글: 안선모;그림: 최현주","청어람주니어","2007","","9788925106533","73810","813.6","8",
"62","Why? 바다 ","글: 이광웅 ;만화: 김강호","예림당","2010","3","9788930202329","74450","408","8",
"62","Why? 동물 ","글: 이광웅 ;만화: 그림수레","예림당","2011","7","9788930202367","74490","408","8",
"62","Why? 똥 ","글: 허순봉 ;만화: 송회석","예림당","2011","20","9788930202497","74530","511","8",
"62","몽실 언니 :권정생 소년소설 ","지은이: 권정생 ;그린이: 이철수","창작과비평사","2000","","9788936440145","73810","813.6","8",
"62","감자꽃","권태응 지음","창작과 비평사","1995","","9788936441449","73810","811.8","8",
"62","마법사 똥맨 :송언 동화 ","송언 [지음] ;김유대 그림","창비","2008","","9788936451158","73810","813.6","8",
"62","스위스에서 보물찾기 ","글: 곰돌이 co. ;그림: 강경효","미래엔 컬처그룹","2010","25","9788937848254","77900","925.9","8",
"62","Banjjogi, der Halbling ","die autorin: Miae Lee ;der illustrator: Ukbae Lee","Borim","c2005","","9788943302634","74810","","8",
"62","개구리네 한솥밥","백석 동화시;유애로 그림","보림","2001","","9788943304508","73810","811.8","8",
"62","말 안 하기 게임 ","앤드루 클레먼츠 글 ;이원경 옮김","비룡소","2010","","9788949121277","74800","843","8",
"62","거짓말 같은 이야기 ","강경수 글·그림","시공사","2011","","9788952760661","77810","813.7","8",
"62","하얀 눈썹 호랑이","이진숙 글;백대승 그림","한솔교육","2006","","9788953536630","74810","813.6","8",
"62","고래가 보고 싶거든 ","줄리 폴리아노 글 ;김경연 옮김","문학동네","2014","","9788954623896","77840","843","8",
"62","어린이 과학 형사대 CSI","글: 고희정 ;그림: 서용남","가나출판사","2008-2013","4","9788957364598","74400","400","8",
"62","어린이 과학 형사대 CSI","글: 고희정 ;그림: 서용남","가나출판사","2008-2013","6","9788957364703","74400","400","8",
"62","병태와 콩 이야기 :송언 창작동화집 ","송언 지음 ;백남원 그림","사계절출판사","2010","","9788958284741","73810","813.7","8",
"62","마당을 나온 암탉 ","황선미 글 ;오돌또기 그림","사계절출판사","2011","","9788958285557","77800","813.7","8",
"62","울보 나무 ","글쓴이: 카토 요코 ;고향옥","한림출판사","2012","","9788970943961","77830","833.6","8",
"62","똥벼락","김회경 글;조혜란 그림","사계절출판사","2001","","9788971967751","77850","813.6","8",
"62","틀려도 괜찮아","마키타 신지 글;유문조 옮김","토토북","2006","","9788990611260","77830","833.6","8",
"62","(엄마가 사랑하는) 책벌레","글: 김현태;그림: 박영미","아이앤북","2007","","9788992830027","73810","813.6","8",
"62","지옥탕 ","손지희 글·그림","책읽는곰","2011","","9788993242409","77810","813.7","8",
"62","슈퍼 거북 ","유설화 글·그림","책읽는곰","2014","","9788993242980","77810","813.7","8",
"62","수다쟁이숲에 놀러 와! :신주선 동화 ","글쓴이: 신주선 ;그린이: 이경석","낮은산","2015","","9791155250433","73810","813.7","8",
"62","산딸기 크림봉봉 ","에밀리 젠킨스 글 ;길상효 옮김","씨드북","2016","","9791185751917","77840","843","8",
"92","선생님, 바보 의사 선생님","이상희 글;김명길 그림","웅진씽크빅","2006","","9788901055190","74800","998.5","7",
"92","바보 1단","김영주 글;정문주 그림","웅진씽크빅","2007","","9788901067926","73810","813.6","7",
"92","도토리 마을의 유치원 ","글·그림: 나카야 미와 ;옮김: 김난주","웅진주니어","2014","","9788901165806","74800","833.6","7",
"92","훨훨 간다","권정생 글;김용철 그림","국민서관","2003","","9788911021406","77810","813.6","7",
"92","길 아저씨 손 아저씨","권정생 글 ;김용철 그림","국민서관","2009","","9788911026319","77810","813.6","7",
"92","Why? 곤충 - 3판","이광웅","예림당","2009","8","9788930202374","74490","","7",
"92","Why? 공룡 ","글: 이항선 ;만화: 송회석","예림당","2011","14","9788930202435","74490","457","7",
"92","Why? 화석 ","글: 이광웅 ;만화: 송회석","예림당","2010","18","9788930202473","74450","457","7",
"92","Why? 남극·북극 ","글: 이광웅 ;만화: 가재발","예림당","2011","19","9788930202480","74400","987","7",
"92","Why? 로봇 ","글: 조영선 ;만화: 이영호","예림당","2011","22","9788930202510","74560","559","7",
"92","Why? 정보통신 - 2판","조영선","예림당","2008","38","9788930202671","74560","","7",
"92","자렛과 장미 계곡의 마녀 ","글·그림: 안비루 야스코 ;옮김: 정문주","예림당","2012","7","9788930210935","73830","833.6","7",
"92","꿈꾸는 포푸리와 세 마녀 ","글·그림: 안비루 야스코 ;옮김: 정문주","예림당","2012","8","9788930210942","73830","833.6","7",
"92","Why? 심리학 ","글: 조영선 ;그림: 그림수레","예림당","2011","11","9788930231428","73180","001","7",
"92","Why? 영화 ","글: 박세준 ;그림: 윤남선","예림당","2011","16","9788930231497","74680","001","7",
"92","최악의 짝꿍 ","하나가타 미쓰루 글 ;고향옥 옮김","김영사","2008","","9788934930112","73850","833.6","7",
"92","연필 하나 ","알랭 알버그 글 ;손미나 옮김","김영사","2009","","9788934930136","77840","843","7",
"92","공자 아저씨네 빵가게 ","김선희 글 ;황희경 도움글","김영사","2012","","9788934956082","74810","152","7",
"92","짜장면 불어요!:이현 동화집","이현 [지음];윤정주 그림","창비","2006","","9788936442248","73810","813.6","7",
"92","홍길동전 ","정종목 글 ;이광익 그림","창비","2005","3","9788936449032","73810","813.5","7",
"92","인도에서 보물찾기","곰돌이 co. 글;강경효 그림","대한교과서","2004","4","9788937813597","77900","915","7",
"92","호주에서 보물찾기","글: 곰돌이 co.;그림: 강경효","대한교과서","2006","11","9788937841972","77900","962","7",
"92","터키에서 보물찾기","글: 곰돌이 co.;그림: 강경효","대한교과서","2007","14","9788937842009","77900","918.7","7",
"92","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ;그림: 홍종현","대한교과서","2006-2008","8","9788937842252","77400","400","7",
"92","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ;그림: 홍종현","대한교과서","2006-2008","9","9788937842269","77400","400","7",
"92","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ;그림: 홍종현","미래엔컬처그룹","2009-2010","15","9788937847677","77400","400","7",
"92","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ,그림: 홍종현","미래엔","2011-2019","27","9788937884801","77400","400","7",
"92","누가 누구를 먹나 ","알렉산드라 미지엘린스카,이지원 옮김","보림출판사","2012","","9788943308971","77890","892.95","7",
"92","빨강 연필 :신수현 장편동화 ","글쓴이: 신수현 ;그린이: 김성희","비룡소","2011","","9788949121338","74800","813.7","7",
"92","신기한 스쿨 버스","조애너 콜 글;브루스 디건 그림","비룡소","1999-2010","1","9788949130460","74400","400","7",
"92","신기한 스쿨 버스","조애너 콜 글;브루스 디건 그림","비룡소","1999-2010","3","9788949130484","74400","400","7",
"92","칠판 앞에 나가기 싫어!","다니엘 포세트 글;최윤정 옮김","비룡소","1997","217","9788949160368","73860","863","7",
