검색조건
대출기간,2018-01-01 ~ 2018-12-31
성별,전체
연령,전체
지역,서울
세부지역,성북구
ISBN 부가기호,아동
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2019-12-23
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","강아지똥 ","글: 권정생 ;그림: 정승각","길벗어린이","2012","","9788986621136","77810","813.6","23",
"2","내 동생 싸게 팔아요","글: 임정자;그림: 김영수","대한교과서","2006","","9788937841668","74810","813.6","19",
"3","우리 가족입니다","이혜란 지음","보림출판사","2005","","9788943305796","77810","813.6","17",
"4","돼지책","앤서니 브라운 글·그림;허은미 옮김","웅진닷컴","2001","","9788901033518","74840","843","16",
"4","종이 봉지 공주","로버트 먼치","비룡소","1998","","9788949110479","77840","","16",
"6","책 먹는 여우","프란치스카 비어만 지음;김경연 옮김","김영사","2001","","9788934908067","73850","853","14",
"7","시리동동 거미동동 :제주도꼬리따기노래 ","권윤덕 고쳐 쓰고 그림","창비","2011","","9788936454036","77810","811.8","13",
"7","나는 나의 주인 ","채인선 글 ;안은진 그림","토토북","2010","","9788964960035","73190","189","13",
"9","아씨방 일곱 동무","이영경 글.그림","비룡소","1998","","9788949100203","77810","813.8","12",
"10","마법사 똥맨 :송언 동화 ","송언 [지음] ;김유대 그림","창비","2008","","9788936451158","73810","813.6","11",
"10","겁쟁이 빌리","앤터니 브라운 글·그림;김경미 옮김","비룡소","2006","","9788949111636","77840","843","11",
"10","거짓말 같은 이야기 ","강경수 글·그림","시공사","2011","","9788952760661","77810","813.7","11",
"10","사라, 버스를 타다","윌리엄 밀러 글;박찬석 옮김","사계절출판사","2004","","9788958280378","77840","843","11",
"10","화요일의 두꺼비","러셀 에릭슨","사계절","2008","","9788971965559","73840","","11",
"10","리디아의 정원","데이비드 스몰 그림;이복희 옮김","시공사","1998","","9788972596363","77840","843","11",
"10","학교에 간 사자 ","지은이: 필리파 피어스 ;옮긴이: 햇살과나무꾼","논장","2010","","9788984141186","73840","843","11",
"10","랑랑별 때때롱 :권정생 장편 동화 ","권정생 [지음] ;정승희 그림","보리","2008","","9788984285422","73810","813.6","11",
"10","으악, 도깨비다!","손정원 글;유애로 그림","느림보","2002","","9788987504568","77810","813.6","11",
"10","틀려도 괜찮아","마키타 신지 글;유문조 옮김","토토북","2006","","9788990611260","77830","833.6","11",
"10","장수탕 선녀님 ","지은이: 백희나","책읽는곰","2012","","9788993242706","77810","813.7","11",
"10","아름다운 아이 ","R. J. 팔라시오 지음 ;천미나 옮김","책과콩나무","2012","","9788994077468","73840","843","11",
"22","마법의 설탕 두 조각","미카엘 엔데 글;유혜자 옮김","한길사","2001","","9788935652792","74850","853","10",
"22","(들키고 싶은)비밀","황선미 동화;김유대 그림","창작과 비평사","2001","","9788936451059","73810","813.6","10",
"22","(아주 바쁜) 입 ","글: 신순재 ;그림: 이형진","미래엔 컬처그룹","2010","2","9788937845086","74400","511","10",
"22","책과 노니는 집 ","이영서 글 ;김동성 그림","문학동네","2009","","9788954607346","73810","813.6","10",
"22","바다 100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2014","","9788966350278","74830","833.6","10",
"22","똥벼락","김회경 글;조혜란 그림","사계절출판사","2001","","9788971967751","77850","813.6","10",
"22","7년 동안의 잠 :박완서 그림동화 ","글: 박완서 ;그림: 김세현","작가정신","2015","","9788972887683","74810","813.6","10",
"22","100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2009","","9788989863786","73830","833.6","10",
"30","임금님의 집 창덕궁 ","최재숙 글 ;달·리 그림","웅진씽크빅","2008","","9788901089874","74900","611","9",
"30","Why? 사춘기와 성 ","글: 전지은 ;만화: 이혜조","예림당","2011","13","9788930202428","74470","408","9",
"30","Why? 유전과 혈액형 ","글: 전재운 ;만화: 최명구","예림당","2011","43","9788930202725","74400","476","9",
"30","초정리 편지:배유안 장편동화","배유안 [지음];홍선주 그림","창비","2006","","9788936442293","73810","813.6","9",
"30","고양이는 나만 따라 해 :권윤덕 그림책 ","그림과 글: 권윤덕","창비","2005","","9788936454104","77810","813.7","9",
"30","내일은 실험왕 :본격 대결 과학실험 만화","글: 곰돌이 co. ,그림: 홍종현","미래엔","2011-2019","24","9788937884078","77400","400","9",
"30","고릴라","앤서니 브라운","비룡소","1998","","9788949110486","77840","","9",
"30","100만 번 산 고양이","사노 요코 글·그림;김난주 옮김","비룡소","2002","","9788949110851","77830","833.6","9",
"30","신기한 스쿨 버스","조애너 콜 글;브루스 디건 그림","비룡소","1999-2010","6","9788949130514","74400","400","9",
"30","고구마구마 ","지은이: 사이다","반달","2017","","9788956187372","77810","813.7","9",
"30","선인장 호텔 ","브렌다 기버슨 글 ;이명희 옮김","마루벌","2008","","9788956632001","77800","843","9",
"30","짜증방 ","글: 소중애 ;그림: 방새미","거북이북스","2014","","9788966071005","73810","813.7","9",
"30","무지개 물고기","마르쿠스 피스터 글.그림;공경희 옮김","시공사","1994","","9788972590637","77890","853","9",
"30","생각을 모으는 사람","모니카 페트 지음;김경연 옮김","풀빛","2001","","9788974749248","77850","853","9",
"30","투발루에게 수영을 가르칠 걸 그랬어! ","유다정 글 ;박재현 그림","미래M&B","2008","","9788983944245","77810","813.6","9",
"30","쇠를 먹는 불가사리 ","글쓴이: 정하섭 ;그린이: 임연기","길벗어린이","2012","","9788986621440","77810","813.7","9",
"30","내가 조금 불편하면 세상은 초록이 돼요 :지구를 지키는 어린이들의 환경 실천법 50 ","김소희 글 ;정은희 그림","토토북","2009","","9788990611734","73530","539","9",
"30","슈퍼 거북 ","유설화 글·그림","책읽는곰","2014","","9788993242980","77810","813.7","9",
"30","아름다운 가치 사전","채인선 글;김은정 그림","한울림어린이","2005","","9788995516287","73190","190","9",
"30","치킨 마스크 :그래도 난 내가 좋아! ","우쓰기 미호 지음 ;장지현 옮김","책읽는곰","2008","","9788996017059","77830","833.6","9",
"30","발레 하는 할아버지 ","신원미 글 ;박연경 그림","머스트비","2013","","9788998433147","73810","813.7","9",
"51","Hooray for Fish! (Paperback)","Lucy Coysins","Walker","2008","","9781406301564","78740","","8",
