검색조건
대출기간,2018-01-01 ~ 2018-12-31
성별,전체
연령,영유아(0~5세)
지역,서울
세부지역,성북구
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2019-12-17
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","The Panda Puzzle (Paperback)","Ron Roy","RANDOMHOUSE","2011","16","9780375802713","80271","","3",
"1","The School Skeleton (Paperback)","론 로이","RandomHouse","2003","19","9780375813689","81368","","3",
"1","Pants (Paperback)","Giles Andreae","JYbooks(제이와이북스)","2007","","9780552555722","","","3",
"1","The Mission to Find Max: Egypt (Paperback) (Jack Stalwart #14)","Elizabeth Singer Hunt","PerseusBooksGroup","2011","14","9781602861527","50599","","3",
"1","Secret agent jack stalwart","by Elizabeth Singer Hunt ;Illustrated by Brian Williamson","","2008","10","9788925604763","","843","3",
"1","기차박물관 - 기차에 관한 모든 것!","유수현 (지은이), 김미정 (그림)","초록아이","2017","","9788992963626","","","3",
"7","이야기하며 종이접기 (공룡)","올챙이","아이세움","2015","","8809254941228","","","2",
"7","다이노 X 탐험대","정준하, 하하 (Haha) (목소리), 이동희 (감독)","비디오여행","2017","","8809308189392","","","2",
"7","대한민국 쓰레기 시멘트의 비밀","최병성","","2015","","8993690316978","","541.5","2",
"7","Does a Kangaroo Have a Mother Too? (Paperback)","에릭 칼 (지은이)","Harper Collins","2001","","9780007106165","","","2",
"7","Biscuit (Paperback, 10, Anniversary)","알리사 사틴 카푸칠리 (지은이), Pat Schories (그림)","Harpercollins Childrens Books","2006","3","9780064442121","44212","","2",
"7","Bathtime for Biscuit (Paperback)","CAPUCILLI","HARPER","2002","1","9780064442640","50399","","2",
"7","Biscuit's New Trick (Paperback)","알리사 사틴 카푸칠리 (지은이), Pat Schories (그림)","Harpercollins Childrens Books","2001","6","9780064443081","50399","","2",
"7","Biscuit wants to play","story by Alyssa Satin Capucilli;pictures by Pat Schories","HarperCollinsPublishers","c2001","5","9780064443159","50399","","2",
"7","The Pear in the Pear Tree (Paperback) - My Little Library 2-09","파멜라 앨런","PuffinBooks","2001","","9780140564976","90601","","2",
"7","One to Ten and Back Again (Paperback)","수 힙 (글), 닉 샤렛 (그림)","Puffin Books","2005","","9780140567861","","","2",
"7","Alphabet Ice Cream : A Fantastic Fun-filled ABC (Paperback)","닉 샤렛, 수 힙 (지은이)","Puffin Books","2007","","9780141500621","","","2",
"7","Who Is the Beast? (Paperback)","Kaye, Marilyn|Cogancherry, Helen(ILT)","VoyagerBooks","1994","","9780152001223","50600","","2",
"7","The Missing Mummy (Paperback)","Ron Roy","RANDOMHOUSE","2011","13","9780375802683","80268","","2",
"7","If You Take a Mouse to the Movies (Paperback)","로라 누메로프 (지은이)","New York:Scholastic","2005","5","9780439254069","","843","2",
"7","If You Take a Mouse to School (Paperback)","Numeroff, Laura Joffe|Bond, Felicia","Scholastic","2008","4","9780439442602","","","2",
"7","If you give a mouse a cookie ","Laura Joffe Numeroff ;illustrated by Felicia Bond","Scholastic","c1985","2","9780590402330","","","2",
"7","Clifford takes a trip","story and pictures by Norman Bridwell","Scholastic Inc.","c1966","5","9780590442602","","","2",
"7","Clifford at the Circus","Bridwell|Norman","scholastic","1985","4","9780590442930","50399","","2",
"7","Clifford the small red puppy ","story and pictures by Norman Bridwell","Scholastic","2007, c197","6","9780590442947","50399","","2",
"7","1 Hunter (Paperback)","팻 허친스","HarperTrophy","1986","","9780688065225","50699","","2",
"7","Have You Seen My Duckling? (Paperback)","편집부","HarperCollins","1991","","9780688109943","50699","","2",
"7","The Chick and the Duckling (Paperback)","미라 긴스버그 (지은이), Ariane Dewey (그림), V. Suteyev (옮긴이)","Aladdin","1988","","9780689712265","50699","","2",
"7","A Cat and a Dog (Paperback)","Masurel, Claire|Kolar, Bob (ILT)","North-SouthBooks","2003","","9780735817807","","","2",
"7","There Were Ten in the Bed (Hardcover)","Annie Kubler, audrey wood (그림)","Childs Play Intl Ltd","2001","6","9780859538978","","","2",
"7","Little gorilla ","story and pictures by Ruth Bornstein","Houghton Mifflin Harcourt","[2014]","","9780899194219","90000","","2",
"7","The Pop-Up Dear Zoo (Paperback)","Rod Campbell","CAMPBELLBOOKS","2008","","9781405091213","90100","","2",
"7","Don't Do That! (Paperback)","토니 로스","AndersenPress","2010","224","9781842709368","","","2",
"7","돼지책","앤서니 브라운 글·그림;허은미 옮김","웅진닷컴","2001","","9788901033518","74840","843","2",
"7","흥부와 놀부","사석원 그림;이주혜 글","웅진닷컴","[2003]","4","9788901040042","78810","813.5","2",
"7","못된 돼지 삼 형제와 정말 착한 늑대 ","리즈 피촌 글·그림 ;홍연미 옮김","웅진씽크빅","2009","23","9788901085593","74800","808.3","2",
"7","난 하나도 안 졸려, 잠자기 싫어!","로렌 차일드 글·그림;조은수 옮김","국민서관","2002","","9788911020720","77840","843","2",
"7","즐겁게 연주해요! ","가브리엘 알보로조 지음 ;김혜진 옮김","국민서관","2015","","9788911124084","74840","843","2",
"7","천연화장품 레시피 :내 피부에 맞는 화장품 내가 만들어 쓴다 ","조영길 지음","RHK(알에이치코리아)","2015","","9788925557731","13590","579.55","2",
"7","시골생활 :지리산에서 이렇게 살 줄 몰랐지? ","정상순 지음","문학과지성사","2015","","9788932027777","03330","331.404","2",
"7","감정에 휘둘리는 아이 감정을 다스리는 아이 ","함규정 지음","청림출판","2011","","9788935208906","13370","598.1","2",
"7","치마를 입어야지, 아멜리아 블루머!:아주 올바르지 않은 이야기","섀너 코리 글;김서정 옮김","대한교과서","2003","","9788937813481","77840","843","2",
"7","일월강천 1-6 -소판 신무협","","","2008","","9788950000000","","","2",
"7","아빠는 1등만 했대요 ","노경실 글 ;김진화 그림","시공사","2008","","9788952752499","77810","813.6","2",
"7","구름빵 : 키 크는 빵 주세요","GIMC|DPS","한솔수북","2011","2","9788953581166","74800","","2",
"7","구름빵 과일 좋아! 채소 좋아! ","글·그림: GIMC,김향수","한솔교육","2013","12","9788953588202","7480","813.7","2",
"7","Silly Billy (Paperback + Audio CD 1장 + Mother Tip) - 오디오로 배우는 문진 영어 동화 시리즈","Antony Browne (지은이)","문진미디어(외서)","2008","","9788953919235","87740","","2",
"7","FASTER FASTER NICE AND SLOW","문진미디어 편집부","문진미디어","2008","","9788953919402","78840","","2",
"7","Little Miss Muffet (Paperback) (My Little Library 마더구스 1-18)","Rozanne Lanczak Williams","BrollyBooks","2010","","9788953929661","77740","","2",
"7","Dinosaur Roar!  + cd","","","2014","","9788954916028","73740","","2",
"7","(대단한 고양이) 포포 ","민정영 글·그림","길벗어린이","2015","","9788955823387","77810","813.7","2",
"7","이보영의 영어 만화 Hansel and Gretel (책 + 워크북 + CD 1장) - 헨젤과 그레텔","그림 형제, 이보영 (지은이), 장승이 (그림)","가나출판사","2007","","9788957363294","74740","","2",
"7","담배보다 해로운 미세먼지 :그림으로 알기 쉽게 풀이한 미세먼지 이야기 ","글/그림: 홍동주","아름다운사회","2017","","9788957931943","03510","539.92","2",
"7","줄줄이 꿴 호랑이","권문희 글·그림","사계절출판사","2005","","9788958281047","77810","813.5","2",
"7","(세상에서 제일 쉬운) 식초 살림백과 :쉽다! 편하다! 경제적이다! ","빅키 랜스키 지음 ;생활의 지혜 연구회 편역","황금부엉이","2017","","9788960304918","13590","597.3","2",
"7","(세상에서 제일 쉬운) 베이킹 소다 살림백과 :쉽다! 편하다! 경제적이다! ","빅키 랜스키 지음 ;생활의 지혜 연구회 편역","BM황금부엉이","2017","","9788960304925","13590","597.3","2",
"7","세상에서 가장 힘센 신랑을 찾습니다! ","하인츠 야니쉬 글 ;최용주 옮김","큰나","2010","","9788960652279","77850","853","2",
"7","고오마워! 탐정단 ","김리리 글 ;조승연 그림","다림","2016","","9788961771276","73810","813.7","2",
"7","남궁준 - 거미줄에 걸린 거미 박사","김경란 (지은이), 임양 (그림)","한국톨스토이","2014","1","9788963292915","74990","","2",
"7","라이트 형제 - 형제 하늘을 날다","김현태 (지은이), 이미정 (그림)","한국톨스토이","2014","4","9788963292946","74990","","2",
"7","아인슈타인 천재는 좀 이상해","신혜진 (지은이), 정광필 (그림)","한국톨스토이","2014","8","9788963292984","74990","","2",
"7","그린잡 =미래를 여는 녹색직업을 만나다 /Green job ","박경화 지음","양철북","2016","","9788963721996","03300","321.55","2",
"7","벌서다가 ","초등학교 93명 아이들 지음 ;정문주 그림","휴먼어린이","2013","","9788965910282","73810","811.8","2",
"7","어떤 고양이가 보이니? - 2017 칼데콧상 명예상 수상작","브랜든 웬젤 (지은이)","애플비","2016","","9788967814632","","","2",
"7","지름길","마이클 그레니엣 글·그림;이선아 옮김","파랑새어린이","2006","","9788970577852","77830","833.6","2",
"7","콧구멍 이야기","야규 겐이치로 글·그림;[예상열 옮김]","한림출판사","2002","10","9788970942988","77890","375.1","2",
"7","나무를 심은 사람 ","장 지오노 지음 ;최수연 그림","두레","2018","","9788974431143","03860","863","2",
"7","도둑 맞은 미래:<환경호르몬>의 실체를 최초로 밝힌다","테오 콜본,권복규 옮김","사이언스북스","2006","","9788983710017","03400","539.9","2",
"7","북극곰은 걷고 싶다 :북극에서 남극까지 나의 지구온난화 여행 ","남종영 지음","한겨레출판","2009","","9788984313521","03810","539.92","2",
"7","무슨 일이 일어났을까? ","글·그림: 이호백","재미마주","2000","","9788986565331","77810","813.7","2",
"7","I went walking","Sue Williams","JYBooks","2001","","9788989312260","73740","","2",
"7","100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2009","","9788989863786","73830","833.6","2",
"7","Sleepyhead, get up! ","written by Ilyoon Ryu ;illustrated by Sejin Kim","Butter English press","[2009]","21","9788991782839","74080","740","2",
"7","(10대와 통하는) 환경과 생태 이야기 ","최원형 지음","철수와영희","2015","","9788993463835","43300","472","2",
"7","관경하다 :비단길 풍경과 생태학적 상상 ","이도원 지음","지오북","2016","","9788994242446","93470","472.52","2",
"7","여우의 정원 ","카미유 가로쉬 지음","담푸스","2015","","9788994449630","73860","863","2",
"7","침묵의 봄","레이첼 카슨 지음;김은령 옮김","에코리브르","2002","","9788995218792","03330","539.98","2",
"7","사막에 펭귄이? 허풍도 심하시네","장 폴 크루아제 지음;문신원 옮김","앨피","2005","","9788995646250","03800","539.904","2",
"7","김치가 최고야 ","김난지 글 ;최나미 그림","천개의바람","2014","","9788997984350","77380","594","2",
"7","할배의 탄생 :어르신과 꼰대 사이, 가난한 남성성의 시원을 찾아 ","최현숙 지음","이매진","2016","","9791155310779","03300","331.236","2",
"7","Who? 의자왕.계백","박현비 (지은이), 이대종 (그림), 방민호, 경기초등사회과교육연구회 (감수)","다산어린이","2017","","9791156395560","","","2",
"7","천년도서관 숲 :숲 박사가 전하는 자연과 인간 그리고 생명 이야기 ","김외정 지음","메디치","2015","","9791157060399","03400","472.52642","2",
"7","일주일 ","글·그림: 김라임","키다리","2015","","9791157850549","77810","813.7","2",
"7","펭귄은 너무해","조리 존 (지은이), 레인 스미스 (그림), 김경연 (옮긴이)","미디어창비","2017","","9791186621288","","","2",
"7","예언 =Prediction ","지은이: 김진명","새움","2017","","9791187192466","03810","813.7","2",
"7","고르고 고른 천연 화장품 레시피 170 :천연 재료 쇼핑몰 왓솝의 10년 노하우를 담다 ","채병제,김근섭 지음","PAN n PEN(팬앤펜)","2016","","9791195882809","13590","579.55","2",
"87","점박이: 한반도의 공룡","한상호 감독, 구자형 외 목소리","이엔이미디어","2013","","8809036445562","","688.6","1",
"87","이웃집 토토로","미야자키 하야오 (감독)","대원DVD","2003","","8809105873036","","688.6","1",
"87","바람계곡의 나우시카","미야자키 하야오 (Hayao Miyazaki) 감독","대원DVD","2004","","8809105873173","","688.6","1",
"87","신기한 스쿨버스 1집 (5disc) - 영한대본 5권 포함","조애너 콜|Bruce Degen","스크린에듀케이션(DVD)","2007","1","8809130052383","","","1",
"87","신기한 스쿨버스 1집 (5disc) - 영한대본 5권 포함","조애너 콜|Bruce Degen","스크린에듀케이션(DVD)","2007","2","8809130052383","","","1",
