검색조건
대출기간,2018-01-01 ~ 2018-12-31
성별,전체
연령,영유아(0~5세)
지역,서울
세부지역,성북구
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2019-12-17
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","센과 치히로의 행방불명 보정판 (2disc) - DTS-ES","미야자키 하야오 (감독)","대원DVD","2002","","8809105873012","","688.6","2",
"1","신기한 스쿨버스 3집 (5disc) - 영한대본5권 포함","조애너 콜","스크린에듀케이션(DVD)","2007","5","8809130052611","","","2",
"1","토이스토리","존 라쎄터 감독","","2010","2","8809274082208","","688.6942","2",
"1","마야 - 한국어 더빙 수록","알렉스 슈타더만 감독, 김서영 외 목소리","아트서비스","2015","","8809306456939","","688.6","2",
"1","I Want To Be [Book & CD]","토니 로스","Harper Collins UK","1900","2","9780007333677","","843","2",
"1","Happy birthday, Danny and the dinosaur!","story and pictures by Syd Hoff","HarperCollinsPublishers","c1995","16","9780060264383","","","2",
"1","Where have you been?","Margaret Wise Brown;pictures by Leo and Diane Dillon","Harper Collins","c2004","","9780060283780","","","2",
"1","Pish and Posh wish for fairy wings ","by Barbara Bottner,pictures by Barbara Bottner","HarperCollins","c2006","283","9780060514211","","","2",
"1","Dirk Bones and the Mystery of the Haunted House (Paperback)","Doug Cushman","Harpercollins Childrens Books","2009","147","9780060737672","50399","","2",
"1","Back in the saddle ","by Catherine Hapka ;pictures by Anne Kennedy","Harper","c2011","285","9780061255410","","","2",
"1","Owl at home","by Arnold Lobel","HarperCollins Publishers","1975","225","9780064440349","","","2",
"1","The Horse in Harry's Room (Paperback)","Syd Hoff (지은이)","Harpercollins Childrens Books","2002","122","9780064440738","44073","","2",
"1","Morris the Moose (Paperback)","Wiseman|B.","HarperTrophy","2002","113","9780064441469","50399","","2",
"1","Danny and the dinosaur go to camp","story and pictures by Syd Hoff","HarperCollinsPublishers","c1996","12","9780064442442","50399","","2",
"1","(The)very hungry caterpillar","by Eric Carle","Puffin Books","2002, c196","","9780140569322","","","2",
"1","Alphabet Ice Cream : A Fantastic Fun-filled ABC (Paperback)","닉 샤렛, 수 힙 (지은이)","Puffin Books","2007","43","9780141500621","","","2",
"1","Big Fat Hen (Paperback)","편집부","문진미디어","2005","1","9780152019518","50600","","2",
"1","Go away, big green monster!","by Ed Emberley","Little, Brown","1992","","9780316236539","","","2",
"1","Blizzard of the blue moon","by Mary Pope Osborne;illustrated by Sal Murdocca","Random House","c2006","","9780375830389","50499","","2",
"1","Monday with a mad genius ","by Mary Pope Osborne ;illustrated by Sal Murdocca","Random House","c2007","","9780375837302","50499","","2",
"1","(A) tiny family ","Norman Bridwell","Scholastic","2003","147","9780439040198","50399","","2",
"1","Super Burp! (George Brown #1)","Krulik, Nancy E.|Blecha, Aaron","PenguinUSA","2010","1","9780448453675","50499","","2",
"1","Trouble Magnet (George Brown #2)","Krulik, Nancy E.|Blecha, Aaron","PenguinUSA","2010","2","9780448453682","50499","","2",
"1","World''s Worst Wedgie (George Brown #3)","Krulik, Nancy E.|Blecha, Aaron (ILT)","PenguinUSA","2010","3","9780448453699","50499","","2",
"1","What's Black and White and Stinks All Over? (Paperback) (George Brown #4)","Nancy Krulik","PenguinGroupUSA","2011","4","9780448453705","50499","","2",
"1","Help! I'm Stuck in a Giant Nostril! (Paperback) (George Brown #6)","Nancy Krulik","PenguinGroupUSA","2011","6","9780448455747","50499","","2",
"1","My dog talks ","by Gail Herman ;illustrated by Ron Fritz","Scholastic","1995","137","9780590221962","50399","","2",
"1","I hate my bow! ","by Hans Wilhelm","Scholastic","1995","18","9780590255196","50399","","2",
"1","I am an apple ","by Jean Marzollo ;illustrated by Judith Moffatt","Scholastic","1997","153","9780590372237","37223","","2",
"1","That's not santa! ","story and pictures by Leonard Kessler","Scholastic","1994","129","9780590481403","50399","","2",
"1","There Was an Old Lady Who Swallowed a Fly (Paperback)","Pam Adams (지은이)","Childs Play Intl Ltd","1973","","9780859530187","","","2",
"1","Bear at Home (Boardbook)","Stella Blackstone (지은이)","Barefoot Books Ltd","2002","","9781841489247","","","2",
"1","Baby ABC (Board Book) (My Little Library Infant & Toddler 03)","로저 프리디","MacmillanChildren'sBooks","2007","3","9781843324430","32443","","2",
"1","One Elephant Went Out to Play (Paperback / New Edition) (Classic Books With Holes)","Rescek|Sanja (ILT)","ChildsPlayIntlLtd","2008","","9781846431074","","","2",
"1","돼지책","앤서니 브라운 글·그림;허은미 옮김","웅진닷컴","2001","","9788901033518","74840","843","2",
"1","Baby Learn : 와글와글 동물원","Nathalie Choux","삼성출판사","2016","","9788915100633","","","2",
"1","내 다리는 휠체어","프란츠 요제프 후아이니크 글;김경연 옮김","김영사","2004","","9788934915102","77850","853","2",
"1","연필 하나 ","알랭 알버그 글 ;손미나 옮김","김영사","2009","","9788934930136","77840","843","2",
"1","수박 수영장 :안녕달 그림책 ","지은이: 안녕달","창비","2015","","9788936446819","77810","813.7","2",
"1","할머니의 여름휴가","안녕달","창비","2016","","9788936454951","","","2",
"1","세상에서 가장 큰 아이","케빈 헹크스 글;이경혜 옮김","비룡소","1999","","9788949110509","77840","843","2",
"1","치과에 상어를 데려가면 큰일나요, 큰일 나! ","쥬디 바레트 글 ;정회성 옮김","살림출판사","2010","","9788952210173","77840","843","2",
"1","무지개 물고기와 신기한 친구들 ","마르쿠스 피스터 그림·글 ;조경수 옮김","시공사","2009","","9788952754851","77890","853","2",
"1","Dinosaur Roar!  + cd","","","2014","","9788954916028","73740","","2",
"1","공룡유치원","스티브 메쩌 글;한스 윌헬름 그림","크레용하우스","2001","9","9788955470093","77840","375.16","2",
"1","고구마구마 ","지은이: 사이다","반달","2017","","9788956187372","77810","813.7","2",
"1","저승사자에게 잡혀간 호랑이 ","김미혜 글 ;최미란 그림","사계절출판사","2008","","9788958282785","77810","813.6","2",
"1","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016-2019","2","9788960869929","67400","408","2",
"1","일어나서 잠들기까지 엄마랑 생활영어 - 시작 방법을 알면 만만해지는 엄마표 영어","이수현","길벗스쿨","2012","","9788962224771","13740","","2",
"1","어디가 이상해? ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2013","","9788966350131","77830","375.1","2",
"1","울보 나무 ","글쓴이: 카토 요코 ;고향옥","한림출판사","2012","","9788970943961","77830","833.6","2",
"1","날 좀 도와 줘, 무지개 물고기!","마르쿠스 피스터 그림.글;우미경 옮김","시공사","1996","","9788972592976","77890","853.8","2",
"1","나는 책이 싫어","맨주샤 퍼워기 글;이상희 옮김","풀빛","2003","","9788974749569","77840","843","2",
"1","께롱께롱 놀이 노래 :아침부터 잠잘때까지 부르는 전래동요 50곡 ","노래 엮은이: 편해문 ;그린이: 윤정주","보리","2008","","9788984285392","78370","811.8","2",
"1","마들렌카","피터 시스 글·그림;윤정 옮김","베틀북","2002","1","9788984880931","77840","843","2",
