검색조건
대출기간,2018-01-01 ~ 2018-12-31
성별,전체
연령,영유아(0~5세)
지역,서울
세부지역,성북구
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2019-12-17
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","Rain : 비 내리는 날의 기적","샘 어셔 (지은이), 이상희 (옮긴이)","주니어RHK(주니어랜덤)","2018","","9788925563404","","","3",
"1","콩콩콩! :접시까지 온 콩 이야기 ","앤디 컬런 글 ;엄혜숙 옮김","내인생의책","2009","","9788991813335","73590","843","3",
"3","점박이: 한반도의 공룡","한상호 감독, 구자형 외 목소리","이엔이미디어","2013","","8809036445562","","688.6","2",
"3","붉은 돼지","미야자키 하야오 (Hayao Miyazaki) 감독","대원DVD","2004","","8809105873203","","688","2",
"3","하울의 움직이는 성 일반판 (2disc)","미야자키 하야오 감독, 기무라 타쿠야 외 목소리","대원DVD","2005","","8809105873333","","688.6","2",
"3","Tintin : 틴틴의 모험 (7disc)","스크린에듀케이션 편집부","스크린에듀케이션","2012","2","8809130055889","","","2",
"3","엘레나와 비밀의 아발로 왕국","제인 폰다, 에어리얼 윈터, 아미 카레로 (목소리), 제이미 미첼 (감독)","월트디즈니","2017","4","8809505721395","","688.6","2",
"3","Biscuit And The Baby","Capucilli, Alyssa Satin|Schories, Pat (ILT)","HarpercollinsChildrensBooks","2005","25","9780060094614","50399","","2",
"3","The Giving Tree with CD [With CD] (Hardcover, 40, Anniversary)","편집부","HARPERCOLLINS","2005","","9780060586751","51899","","2",
"3","Fancy Nancy at the Museum (Paperback)","테드 에니크, 제인 오코너, Robin Preiss-Glasser (지은이)","Harpercollins Childrens Books","2008","138","9780061236075","50399","","2",
"3","Fancy Nancy:splendid speller ","by Jane O'Connor ;interior illustrations by Ted Enik","Harper","c2011","143","9780062001757","50399","","2",
"3","Father Bear comes home","by Else Holmelund Minarik;pictures by Maurice Sendak","HarperCollins","1987, c195","15","9780064440141","","","2",
"3","Sid and Sam (Paperback)","놀라 벅 (지은이), G. 브라이언 카라스 (그림)","Harpercollins Childrens Books","1997","14","9780064442114","44211","","2",
"3","The Magic Finger (Paperback)","로알드 달","PUFFINBOOKS","2010","","9780142413852","50599","","2",
"3","Where Is the Green Sheep? (Paperback)","by Mem Fox","Harcourt","2004","","9780152062866","","747","2",
"3","Winnie's Magic Wand (Paperback)","밸러리 토머스, Thomas, Val'rie (지은이)","Oxford University Press","2006","4","9780192726445","","","2",
"3","Wedding Night (Paperback)","KINSELLA|Sophie","RandomHouse","2014","","9780553841046","","","2",
"3","There Was an Old Lady Who Swallowed a Fly (Paperback)","Pam Adams (지은이)","Childs Play Intl Ltd","1973","","9780859530187","","","2",
"3","Hooray for Fish! (Paperback)","Lucy Coysins","Walker","2008","","9781406301564","78740","","2",
"3","The Three Little Pigs (Paperback)","Not Available (NA)","Dalmatian Pr","2002","","9781577594772","","","2",
"3","Where's My Teddy? (Paperback, New ed)","Alborough|Jez","Walker","2004","","9781844284818","90100","","2",
"3","꿈꾸는 윌리 ","글·그림: 앤서니 브라운 ;옮긴이: 허은미","웅진닷컴","2004","","9788901044972","74800","843","2",
"3","(앤서니 브라운의) 마술 연필 ","글·그림: 앤서니 브라운 ;옮김: 서애경","웅진씽크빅","2010","","9788901113241","74800","843","2",
"3","점박이 한반도의 공룡 :애니메이션 그림책","원작: 이용규,드림써치C&C","웅진씽크빅","2012","1","9788901140551","77450","457","2",
"3","알프스 소녀 하이디 ","글: 요하나 슈피리 ;그림: IGFA","삼성비엔씨","2008","70","9788925002934","74080","808.3","2",
"3","잠수네 초등 3, 4학년 공부법 :영어수학국어사회과학 ","이신애 지음","RHK(알에이치코리아)","2016","","9788925558455","04370","375.34","2",
"3","숨은 그림찾기로 보는 우리 역사 ","전지은 글 ;김재일 그림","예림당","2011","","9788930233224","73910","911","2",
"3","올리비아의 잃어버린 인형","이언 포크너 (지은이), 김소연 (옮긴이)","주니어김영사","2014","","9788934966401","77840","","2",
"3","눈 오는 날","에즈라 잭 키츠","비룡소","1995","","9788949110172","","","2",
"3","막대기 아빠 ","줄리아 도널드슨 글 ;노은정 옮김","비룡소","2009","","9788949112039","74800","843","2",
"3","너, 공룡 사촌이니?","버나드 모스트 글·그림;고정아 옮김","비룡소","2003","17","9788949151175","77490","457","2",
"3","못된 개가 쫓아와요!","마이런 얼버그","시공주니어","2001","","9788952709967","","","2",
"3","괴물들이 사는 나라 ","모리스 샌닥 글·그림 ;강무홍 옮김","시공주니어","2002","","9788952723925","77840","843","2",
"3","무지개 물고기와 신기한 친구들 ","마르쿠스 피스터 그림·글 ;조경수 옮김","시공사","2009","","9788952754851","77890","853","2",
"3","붉은 여우 아저씨 ","송정화 글 ;민사욱 그림","시공사","2015","","9788952781680","77810","813.7","2",
