검색조건
대출기간,2018-01-01 ~ 2018-12-31
성별,전체
연령,영유아(0~5세)
지역,서울
세부지역,성북구
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2019-12-17
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","Hooray for Fish! (Paperback)","Lucy Coysins","Walker","2008","","9781406301564","78740","","6",
"2","(The)very hungry caterpillar","by Eric Carle","Puffin Books","2002, c196","","9780140569322","","","4",
"2","Today Is Monday (Paperback)","에릭 칼","PaperStarBook","1997","","9780698115637","50699","","4",
"4","From Head to Toe (Paperback)","에릭 칼 (지은이)","HarperTrophy","1999","","9780064435963","50699","","3",
"4","Monkey Puzzle (Paperback)","Donaldson|Julia","Macmillan","2000","","9780333720011","90200","","3",
"4","My Dad (Paperback )","앤서니 브라운","CorgiBooks","2001","","9780552546683","","","3",
"4","The Chick and the Duckling (Paperback)","미라 긴스버그 (지은이), Ariane Dewey (그림), V. Suteyev (옮긴이)","Aladdin","1988","","9780689712265","50699","","3",
"4","노부영 Walking Through the Jungle (하이브리드 CD 포함) (Paperback + Hybrid CD) - 노래부르는 영어동화","Debbie Harter (지은이)","JYbooks(제이와이북스)","2013","","9781782850045","","","3",
"9","신기한 스쿨버스 1집 (5disc) - 영한대본 5권 포함","조애너 콜|Bruce Degen","스크린에듀케이션(DVD)","2007","5","8809130052383","","","2",
"9","뽀로로 극장판 컴퓨터왕국 대모험 - 한국어 더빙판","이선, 함수정, 이미자 (목소리), 박영균 (감독)","KD미디어(케이디미디어)","2016","","8809362349671","","","2",
"9","앵그리버드 더 무비 - 한국어 더빙 수록","대니 맥브라이드, 조시 개드, 제이슨 서디키스 (목소리), 퍼갈 라일리, 클레이 케이티스 (감독)","소니픽쳐스","2016","","8809461424965","","688.6","2",
"9","꼬마 의사 맥스터핀스 박스세트 1탄 (3disc)","","월트디즈니","2017","3","8809505721326","","","2",
"9","My Parents Think I'm Sleeping (Paperback)","잭 프렐루스키 (지은이), Yossi Abolafia (그림)","Harpercollins Childrens Books","2008","319","9780060537227","50399","","2",
"9","Do You Want to Be My Friend? (Paperback)","에릭 칼","HARPER","1987","","9780064431279","50699","","2",
"9","Chicken Said, &quot;Cluck!&quot","Grant, Judyann Ackerman|Truesdell, Sue (ILT)","HarpercollinsChildrensBooks","2010","26","9780064442763","","","2",
"9","Peace at Last (Paperback, Reprint)","질 머피 (지은이)","Puffin","1992","","9780140546859","50699","","2",
"9","Suddenly!: A Preston Pig Story (Paperback, Voyager Books)","MCNAUGHTON|Colin","VoyagerBooks","1998","","9780152016999","50600","","2",
"9","(The) magic school bus :a science chapter book","[written by Judith Bauer Stamper;illustrations by Ted Enik]","Scholastic Inc.","c1999-c200","","9780439204224","50499","","2",
"9","Princess Poppy : The Play (Paperback + CD 1장)","Janey Louise Jones (지은이)","Random House Childrens Books","2008","","9780552557610","","","2",
"9","Today Is Monday","by Eric Carle","","2009","11","9780689115637","50699","808.9","2",
"9","Have You Seen My Cat? (Paperback, 97, Reprint)","에릭 칼","Aladdin","2006","7","9780689817311","50699","","2",
"9","We're Going on a Bear Hunt (Paperback)","마이클 로젠 (글), 헬린 옥슨버리 (그림)","Simon & Schuster Children's","2003","","9780689853494","50799","","2",
"9","Draw Me a Star                                                                                       (Paperback)","ERIC CARLE","PenguinUSA","1998","","9780698116320","78840","","2",
"9","Where's Spot? (PECD00047, BOARD)","ERIC HILL","FrederickWarne","2001","1","9780723249672","","","2",
"9","Things i like","문진미디어 편집부","문진미디어","0001","","9780744554427","","","2",
"9","I like books","Anthony Browne","Walker Books","2003, c198","","9780744598575","90100","","2",
"9","Ten Little Monkeys Jumping on the Bed (Paperback)","토니 고프, Ann Love (지은이)","Childs Play Intl Ltd","2001","","9780859538886","","","2",
"9","First the Egg (Paperback)","로라 바카로 시거 (지은이)","문진미디어(외서)","2010","","9781596437227","50699","","2",
"9","Dirty Bertie (Package)","Jack Tickle","Little Tiger Press","2007","","9781845065263","90100","","2",
"9","One Elephant Went Out to Play (Paperback / New Edition) (Classic Books With Holes)","Rescek|Sanja (ILT)","ChildsPlayIntlLtd","2008","","9781846431074","","","2",
"9","Bear about Town (Paperback) - My Little Library Pre-Step 14","스텔라 블랙스턴","BarefootBooks","2005","14","9781846860270","","","2",
"9","Let's Go Visiting","편집부","InterAustraliaCo","2001","10","9781876288044","","","2",
"9","Walking Through the Jungle (Paperback, Compact Disc, Original) - 노래부르는 영어동화","Debbie Harter (지은이)","Barefoot Books","2005","","9781905236992","","","2",
"9","The Big Bigger Biggest Book (Paperback)","사미","문진미디어(외서)","2010","","9781934706831","","","2",
"9","온 세상을 노래해 ","리즈 가튼 스캔런 글 ;이상희 옮김","웅진씽크빅","2010","","9788901109411","74800","841","2",
"9","개와 고양이 ","글: 이상교 ;그림: 김민선","미래엔컬처그룹","2010","13","9788937855597","74370","813.5","2",
"9","코를 킁킁","루스 크라우스 글;고진하 옮김","비룡소","1997","","9788949110363","77840","843","2",
"9","아이스크림 똥 ","글·그림: 김윤정","살림어린이","2013","","9788952227454","77810","813.7","2",
"9","Cloud bread ","written and illustrated by Baek Hee Na ;[translated by 한수연]","한솔교육","2006","","9788953538610","73740","","2",
"9","I m a Little Teapot","Rozanne Lanczak Williams","문진미디어","2012","21","9788953934801","","","2",
"9","Have you seen my duckling?","Nancy Tafuri 글·그림","제이와이북스","2006","","9788954903035","78740","747.2","2",
"9","Broken moon and little fox","Written by Butter English","글뿌리","2008","139","9788960616219","74080","747","2",
"9","토끼의 재판 ","글: 심정인 ;그림: 신경란","아람","2009","42","9788962611830","74810","813.5","2",
"9","(Disney) 피노키오 ","옮김: 유미성","예림아이","2011","6","9788965670322","77840","843","2",
"9","빨강 파랑 강아지 공 :크리스 라쉬카 그림책 ","크리스 라쉬카 그림","지양사","2012","","9788983090324","73840","843","2",
"9","해리포터와 마법사의 돌","조앤 K. 롤링 지음;김혜원 옮김","문학수첩","1999","12","9788983920690","04840","843","2",
"9","해리포터와 비밀의 방","조앤 K. 롤링 지음;김혜원 옮김","문학수첩","2000","21","9788983920706","04840","843","2",
"9","코딱지 ","제랄딘느 콜레 글 ;박정연 옮김","미래M&B","2009","","9788983945136","77860","863","2",
"9","마법에 걸린 병","고경숙 글·그림","재미마주","2005","","9788986565706","77810","813.6","2",
"9","신데룰라","엘렌 잭슨 글;이옥용 옮김","보물창고","2007","","9788990794925","77840","843","2",
"9","아빠 몰래 할머니 몰래 ","글: 김인자 ;음악: 김현","하니커뮤니케이션즈 <글로연>","2010","","9788992704243","77810","813.6","2",
"9","광합성 소년 ","존 레이놀즈 가디너 글 ;천미나 옮김","책과콩나무","2010","","9788994077079","73840","843","2",
"9","숫자 전쟁 ","후안 다리엔 글·그림 ;박지영 옮김","파란자전거","2010","","9788994258065","77870","873","2",
"9","오버록 미싱으로 만드는 아기옷 :Kurai Muki pattern sewing ","저자: Kurai Muki ;번역: 김소영","코하스 소잉스토리","2012","","9788994710334","14590","592.21","2",
"9","우린 동그란 세포였어요:작은 세포가 사람으로 변해온 진화 이야기","리사 웨스트버그 피터스 글;박정선 옮김","서돌","2004","","9788995533208","73470","476","2",
"9","책 먹는 괴물 ","저스틴 클라크,김경연 옮김","노란상상","2016","","9788997367603","77890","843","2",
"9","누굴까? 왜일까? ","글·그림: 올리비에 탈레크 ;옮긴이: 김벼리","한울림어린이","2015","2","9788998465643","77860","863","2",
"58","한글이야호 1차시리즈 전편 박스세트 (5disc) - 1~5탄","","EBS교육방송","2016","1","2533264534007","","","1",
"58","뽀롱뽀롱 뽀로로","EBS교육방송 [제작]","EBS교육방송","2012","42","8803610032087","","688.6","1",
"58","이상한 나라의 폴 박스 세트 (3disc) [알라딘 특가]","","기타 (DVD)","2003","2","8809014812362","","","1",
"58","출동! 도시의 영웅들 (9disc)","팔레 페르너 (감독)","다모아엔터테인먼트","2013","1","8809079264168","","","1",
"58","출동! 도시의 영웅들 (9disc)","팔레 페르너 (감독)","다모아엔터테인먼트","2013","7","8809079264168","","","1",
