검색조건
대출기간,2018-01-01 ~ 2018-12-31
성별,전체
연령,영유아(0~5세)
지역,서울
세부지역,성북구
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2019-12-17
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","Tooth Fairy (Paperback)","오드리 우드, audrey wood (지은이)","Childs Play","2003","","9780859532938","","","3",
"1","상자를 열면","안비루 야스코 글·그림","한국슈타이너","2006","65","9788916034203","74830","808.9","3",
"1","내가 도와줄게 ","글: 미쉘라 모건 ;그림: 모이라 켐프","글뿌리","c2010","24","9788960613843","74800","808.3","3",
"1","채소가 최고야 ","이시즈 치히로 글 ;엄혜숙 옮김","천개의바람","2011","","9788996622437","77710","833.6","3",
"5","이웃집 토토로","미야자키 하야오 (감독)","대원DVD","2003","","8809105873036","","688.6","2",
"5","What's the Time, Little Wolf? (Package)","Whybrow, Ian|Ross, Tony (ILT)","Harper Collins US","2006","","9780007215126","","","2",
"5","Rosie's Walk (Paperback)","팻 허친스","Simon&Schuster","1971","","9780020437505","","","2",
"5","Never Kick a Ghost and Other Silly Chillers (Paperback)","주디 시에라","HarperCollins","2011","281","9780061435218","","","2",
"5","The Secret Birthday Message (Paperback)","에릭 칼","HarperCollins","1986","22","9780064430999","50699","","2",
"5","It looked like spilt milk ","by Charles G. Shaw","HarperCollins Publishers","1992, c194","13","9780064431590","50699","","2",
"5","Who says woof?","John Butler","Puffin Books","2003","","9780140568998","","","2",
"5","Bear Hunt (Paperback)","앤서니 브라운 (지은이)","Puffin","2010","","9780141331591","","","2",
"5","Polar Bear, Polar Bear, What Do You Hear? (Paperback)","에릭 칼 (지은이)","Puffin","2011","4","9780141334813","","","2",
"5","Go away, big green monster!","by Ed Emberley","Little, Brown","1992","","9780316236539","","","2",
"5","The Berenstain Bears and the Ghost of the Forest (Paperback) - The Berenstain Bears #5","Stan Berenstain, Jan Berenstain (지은이)","Random House Childrens Books","1988","5","9780394805658","50399","","2",
"5","The Berenstain Bears Visit the Dentist (Paperback) - The Berenstain Bears #38","Stan Berenstain, Jan Berenstain (지은이)","Random House Childrens Books","1981","38","9780394848365","50399","","2",
"5","The Berenstain Bears and the Sitter (Paperback) - The Berenstain Bears #24","Stan Berenstain, Jan Berenstain (지은이)","Random House Childrens Books","1981","24","9780394848372","50399","","2",
"5","I love color! ","by Hans Wilhelm","Scholastic","2003","124","9780439192880","50399","","2",
"5","Titch","by Pat Hutchins","Aladdin Paperbacks","1993","","9780689716881","","","2",
"5","Papa, Please Get the Moon for Me (Paperback)","에릭 칼","ALADDIN","1999","","9780689877568","50799","","2",
"5","Seven blind mice","Ed Young","Puffin Books","2002","","9780698118959","","","2",
"5","Where's Spot? (PECD00047, BOARD)","ERIC HILL","FrederickWarne","2001","1","9780723249672","","","2",
"5","My body, your body","Mick Manning and Brita Granstr¨om","Franklin Watts","2005","9","9780749658625","","","2",
"5","The Great Big Enormous Turnips","Alexei Tolstoy","Mammoth","1998","","9780749724054","78740","","2",
"5","The Little Mouse, the Red Ripe Strawberry and the Big Hungry Bear (Paperback)","AUDREY WOOD","ChildsPlay","1999","110","9780859530125","","","2",
"5","The Wheels on the Bus Go Round and Round (Paperback)","Annie Kubler (지은이)","Childs Play Intl Ltd","2001","","9780859538879","","","2",
"5","What's the time, Mr Wolf?","illustrated by Annie Kubler","Child's Play Ltd","c2003","","9780859539449","","","2",
"5","Over in the Meadow (Paperback)","Annie Kubler, Michael Evans (지은이)","Childs Play Intl Ltd","2002","","9780859539494","","","2",
"5","Colour Me Happy! (Paperback, Reprint) - My Little Library Pre-Step 20","Shen Roddie (지은이), Ben Cort (그림)","Macmillan Children's Books","2007","20","9781405009096","","","2",
"5","Silly Suzy Goose (Paperback, New ed)","Petr Horacek (지은이)","Walker Books","2007","120","9781406304589","","","2",
"5","Mr Large in Charge (Package)","질 머피 (지은이)","Walker","2009","","9781406320961","90100","","2",
"5","Beep Beep (My Little Library Infant & Toddler 14)","Horcek|Petr","Walker","2009","14","9781406325058","90100","","2",
