검색조건
대출기간,2018-01-01 ~ 2018-12-31
성별,전체
연령,영유아(0~5세)
지역,서울
세부지역,성북구
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2019-12-17
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","Hooray for Fish! (Paperback)","Lucy Coysins","Walker","2008","","9781406301564","78740","","4",
"2","Bark, George","Jules Feiffer","HarperCollins Publishers","1999","","9780062051851","","","3",
"2","마음에 상처 주는 말 - 다른 사람을 배려하는 언어 습관 기르기","엘리자베스 베르딕","보물창고","2016","","9788961705707","","","3",
"2","수영장에 간 아빠","유진 (지은이)","한림출판사","2018","","9788970948027","","","3",
"2","지하 100층짜리 집 ","글·그림: 이와이 도시오 ;옮긴이: 김숙","북뱅크","2011","","9788989863915","73830","833.6","3",
"6","피노키오 PE (1disc)","노먼 퍼거슨 (감독), 디키 존스, 크리스천 럽 (목소리)","월트디즈니","2014","","8809362345420","","","2",
"6","미녀와 야수","이완 맥그리거, 엠마 왓슨, 댄 스티븐스, 조시 개드, 루크 에반스 (출연), 빌 콘돈 (감독)","월트디즈니","2017","","8809505721418","","688.26","2",
"6","Whose Hat Is It?","Gorbachev|Valeri","HarpercollinsChildrensBooks","2005","23","9780060534363","50399","","2",
"6","Fancy Nancy and the boy from Paris ","by Jane O'Connor ;interior illustrations by Ted Enik","HarperCollinsPublishers","c2008","139","9780061236099","50399","","2",
"6","Go away, dog","story by Joan L. Nodset;pictures by Paul Meisel","HarperCollinsPublishers","[1999], c1","9","9780064442312","","","2",
"6","Biscuit's New Trick (Paperback)","알리사 사틴 카푸칠리 (지은이), Pat Schories (그림)","Harpercollins Childrens Books","2001","6","9780064443081","50399","","2",
"6","Who Is the Beast? (Paperback)","Kaye, Marilyn|Cogancherry, Helen(ILT)","VoyagerBooks","1994","","9780152001223","50600","","2",
"6","Big Fat Hen (Paperback)","편집부","문진미디어","2005","","9780152019518","50600","","2",
"6","Where Is the Green Sheep? (Paperback)","by Mem Fox","Harcourt","2004","","9780152062866","","747","2",
"6","Hurry! Hurry! (Paperback) - My Little Library Infant & Toddler 09","이브 번팅","HarcourtBrace","2007","","9780152064938","90000","","2",
"6","Winnie the Witch 25th Anniversary Edition (Paperback with CD","밸러리 토머스","OUPOxford","2012","5","9780192793072","","","2",
"6","Oxford Reading Tree: Level 1+: More First Sentences B: Chip's Robot (Paperback)","Roderick Hunt","OxfordUniversityPress","2011","117","9780198480853","","","2",
