검색조건
대출기간,2018-01-01 ~ 2018-12-31
성별,전체
연령,영유아(0~5세)
지역,서울
세부지역,성북구
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2019-12-17
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","고고기글스 5종 박스세트 (5disc)","","EBS교육방송","2014","2","2513162062000","","","3",
"1","THE FIGHT FOR THE FROZEN LAND","Elizabeth Singer Hunt","WEINSTEINBOOKS","2010","12","9781602860995","50599","","3",
"1","The Hunt for the Yeti Skull: Nepal(Paperback) (Jack Stalwart #13)","Elizabeth Singer Hunt","PerseusBooksGroup","2011","13","9781602861510","50599","","3",
"1","Secret agent jack stalwart","by Elizabeth Singer Hunt ;Illustrated by Brian Williamson","","2008","10","9788925604763","","843","3",
"1","코끼리 ","글·그림: 앤서니 브라운 ;옮김: 하빈영","현북스","2015","","9791157410187","77840","843","3",
"6","고고기글스 5종 박스세트 (5disc)","","EBS교육방송","2014","1","2513162062000","","","2",
"6","신기한 스쿨버스 2집 (5disc) - 영한대본 5권 포함","조애너 콜","스크린에듀케이션(DVD)","2007","4","8809130052390","","","2",
"6","호비와 쿠우의 어드벤처: 고래의 노래 -  극장판 / 한국어 더빙판","히라바야시 이사무, 카와마타 히로시 (감독), 최윤영, 배진홍, 김두리 (목소리)","미디어허브","2014","2","8809270742212","","","2",
"6","고녀석 맛나겠다","후지모리 마사야 감독, 야마구치 캇페이 목소리","이오스엔터","2011","","8809285871655","","688.6","2",
"6","겨울왕국 - 한국어 더빙 수록","크리스 벅 외 감독, 크리스틴 벨 외 목소리","월트디즈니","2014","","8809362345505","","688.6","2",
"6","[I Can Read] Level 2 : Merry Christmas, Amelia Bedelia (Paperback)","Peggy Parish","HarperTrophy","2002","236","9780060099459","09945","","2",
"6","Fancy Nancy: The Dazzling Book Report (Paperback)","제인 오코너, Jane O'Connor (지은이), 테드 에니크 (그림)","Harpercollins Childrens Books","2009","137","9780061703683","50399","","2",
"6","Splat the cat sings flat ","text by Chris Strathearn ;interior illustrations by Robert Eberz","Harper","c2011","185","9780061978531","50399","","2",
"6","Splat the cat and the duck with no quack ","cover art and text by Rob Scotton ;interior illustrations by Robert Eberz","Harper","c2011","181","9780061978579","50399","","2",
"6","Splat the Cat (The Rain Is a Pain)","HarperCollins","HarperCollins","2012","187","9780062090171","50366","","2",
"6","Splat the Cat with a Bang and a Clang","롭 스코튼","HarpercollinsChildrensBooks","2013","183","9780062090195","50399","","2",
"6","Goodnight moon","by Margaret Wise Brown;pictures by Clement Hurd","HarperTrophy","1982, c197","","9780064430173","","","2",
"6","Baa-Choo! (Paperback)","사라 윅스, Jane Manning (지은이)","Harpercollins Childrens Books","2006","149","9780064437400","50399","","2",
"6","Chester (Paperback, Reprint)","Syd Hoff (지은이)","Harpercollins Childrens Books","1986","159","9780064440950","","","2",
"6","Mrs. Brice's mice","story and pictures by Syd Hoff","HarperCollinsPublishers","c1988","123","9780064441452","","","2",
"6","Digby (Paperback)","Barbara Shook Hazen (지은이)","Harpercollins Childrens Books","1998","135","9780064442398","50499","","2",
"6","Five Little Monkeys Jumping on the Bed (Paperback)","Eileen Christelow","ClarionBooks","2003","","9780395557013","90000","","2",
"6","Food chain frenzy ","written by Anne Capeci ;illustrations by John Speirs","Scholastic","c2003","","9780439560504","50499","","2",
"6","(The) magic school bus :a science chapter book","Gail Herman (지은이)","Scholastic Inc.","c1999-c200","","9780439560511","50499","","2",
"6","(The) magic school bus :a science chapter book","Martin Schwabacher (지은이)","Scholastic Inc.","c1999-c200","","9780439560528","50499","","2",
"6","(The) magic school bus :a science chapter book","주디스 바우어 스탬퍼 (지은이)","Scholastic Inc.","c1999-c200","","9780439560535","50499","","2",
"6","Harry Potter and the deathly hallows","by J.K. Rowling;illustrations by Mary GrandPre?","Arthur A. Levine Books","c2007","7","9780545010221","53499","","2",
"6","Roaring Rockets (Paperback + CD 1장)","토니 미턴 (지은이), 앤트 파커 (그림)","Kingfisher Books Ltd","2007","","9780753414903","90100","","2",
"6","What's the time, Mr Wolf?","illustrated by Annie Kubler","Child's Play Ltd","c2003","","9780859539449","","","2",
"6","One (Intl) (Paperback)","Otoshi|Kathryn","KoKidsBooks","2008","","9780972394659","50995","","2",
"6","The Pig in the Pond (Paperback, New ed)","마틴 워델","WalkerBooks","2006","","9781406301595","90100","","2",
"6","Glog (Paperback)","Pippa Goodhart","WalkerBooks","2007","11","9781406304053","","","2",
"6","Popcorn ELT Readers. 1: Ice Age","편집부","Scholastic","2015","14","9781407167466","","","2",
"6","Drawing Together (Paperback)","Mimi Thebo","Walker Books Ltd","2005","12","9781844281176","","843","2",
"6","See you later, Alligator!","by Annie Kubler","Child's Play","c2004","","9781904550051","","","2",
"6","(The)animal boogie","Debbie Harter","Barefoot Books","2006","","9781905236220","","","2",
"6","Walking Through the Jungle (Paperback, Compact Disc, Original) - 노래부르는 영어동화","Debbie Harter (지은이)","Barefoot Books","2005","","9781905236992","","","2",
"6","프뢰벨 자연관찰=(The)picture book of nature and science","프뢰벨관 기획;프뢰벨유아교육연구소 재구성","한국프뢰벨","2003","80","9788940903520","74490","408","2",
"6","이상한 화요일","데이비드 위즈너 글·그림","비룡소","2002","","9788949110844","77840","843","2",
"6","너를 만나 행복해! ","지은이: 나라 요시토모 ;옮긴이: 배주영","살림출판사","2010","","9788952214300","77830","833.6","2",
"6","빨간 부채 파란 부채","심은숙 그림;이상교 글","시공사","2006","","9788952745941","77810","813.5","2",
"6","토끼의 자전거","오하이 에미코 글","한국헤밍웨이","2007","39","9788954814294","74000","108","2",
"6","[노부영] Dinosaur Roar (Hardcover + CD 1장)","폴 스틱랜드","JYbooks(제이와이북스)","2011","","9788954916011","78740","","2",
"6","빵빵! 무슨 일이야? ","오무라 토모코 글·그림 ;고향옥 옮김","길벗어린이","2016","","9788955823516","77830","833.6","2",
"6","난 신기하고 이상한 것이 참 좋아!","나카가와 히로타카 (지은이), 야마무라 코지 (그림), 고향옥 (옮긴이)","길벗어린이","2017","","9788955824223","","","2",
"6","11마리 고양이 마라톤 대회","글·그림: 바바 노보루;옮김: 이장선","꿈소담이","2007","","9788956893945","77830","833.6","2",
"6","Little Tarzan Says"Hi"","written by Butter English","glbburi","2008","131","9788960616134","74080","747","2",
"6","A Monster under my Bed","written by Eun Jeong Kim-Zoller","glbburi","2008","132","9788960616141","74080","747","2",
"6","The Birthday Giff","written by Butter English","glbburi","2008","133","9788960616158","74080","747","2",
"6","(The)Spaceman and the Mouse","written by Butter English","glbburi","2008","134","9788960616165","74080","747","2",
"6","Busy Germs","written by Butter English","glbburi","2008","135","9788960616172","74080","747","2",
"6","진정한 일곱 살 ","글: 허은미 ;그림: 오정택","양철북","2011","","9788963720456","77810","813.7","2",
"6","엄마표 생활영어 표현사전 :'영어'하면 기죽는 보통엄마들의 고민 끝! ","쑥쑥닷컴영어교육연구소(홍현주 외) 저","이퍼블릭","2011","","9788964806548","18740","740","2",
"6","도깨비를 빨아 버린 우리 엄마","사토 와키코","한림출판사","1991","","9788970940199","77890","","2",
"6","공룡 엑스레이","경혜원 (지은이)","한림출판사","2017","","9788970949635","","","2",
"6","나는 승무원이다! - 청소년.입문 편","김유미","밝은누리","2011","","9788981001230","13740","","2",
"6","병아리 싸움","도종환","바우솔","2016","","9788983896742","","","2",
"6","하늘에서 음식이 내린다면","쥬디 바레트 글;홍연미 옮김","토토북","2007","","9788990611338","73840","843","2",
"6","신데룰라","엘렌 잭슨 글;이옥용 옮김","보물창고","2007","","9788990794925","77840","843","2",
"6","더 놀고 싶은데 ","채인선 글 ;황보순희 그림","한울림어린이","2012","","9788991871953","77810","813.7","2",
"6","척척척 굴삭기","윤미경 글","나무와햇살","2011","11","9788992931786","74080","550","2",
"6","이젠 안속아","곽부강 글","나무와햇살","2011","14","9788992931847","74080","550","2",
"6","출동이다, 경찰차","햇살기획 글","나무와햇살","2009","7","9788992931892","74080","550","2",
"6","밥한그릇 뚝딱! ","글·그림: 이진경","상상박스","2009","","9788995640623","74080","813.7","2",
"6","우리 가족 납치 사건 ","김고은 글·그림","책읽는곰","2015","","9791158360009","77810","813.7","2",
"6","떠나요 공룡 탐험","타샤 퍼시 (지은이), 다이나모 (그림), 박여진 (옮긴이)","애플트리태일즈","2017","","9791187743088","74400","","2",
"67","곤 2종 박스세트 (2disc) - 1 · 2탄","김길태 (감독), 엄상현, 시영준, 안장혁 (목소리)","EBS교육방송","2014","2","2513162070005","","","1",
"67","한글이야호 1차시리즈 전편 박스세트 (5disc) - 1~5탄","","EBS교육방송","2016","2","2533264534007","","","1",
"67","한글이야호 1차시리즈 전편 박스세트 (5disc) - 1~5탄","","EBS교육방송","2016","3","2533264534007","","","1",
"67","한글이야호 1차시리즈 전편 박스세트 (5disc) - 1~5탄","","EBS교육방송","2016","5","2533264534007","","","1",
"67","피터 래빗과 친구들 박스세트 (10disc) - 본편(9disc) + 보너스 DVD","조프 던파, 다이앤 잭슨 (출연)","아인스엠앤엠(구 태원)","2005","2","8809113258931","","","1",
"67","신기한 스쿨버스 1집 (5disc) - 영한대본 5권 포함","조애너 콜|Bruce Degen","스크린에듀케이션(DVD)","2007","3","8809130052383","","","1",
"67","신기한 스쿨버스 1집 (5disc) - 영한대본 5권 포함","조애너 콜|Bruce Degen","스크린에듀케이션(DVD)","2007","4","8809130052383","","","1",
"67","신기한 스쿨버스 1집 (5disc) - 영한대본 5권 포함","조애너 콜|Bruce Degen","스크린에듀케이션(DVD)","2007","5","8809130052383","","","1",
