검색조건
대출기간,2018-01-01 ~ 2018-12-31
성별,전체
연령,영유아(0~5세)
지역,서울
세부지역,성북구
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2019-12-17
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","왜냐면…","안녕달 (지은이)","책읽는곰","2017","","9791158360382","","","4",
"2","Polar Bear, Polar Bear, What Do You Hear? (Paperback)","Bill Martin Jr.","PUFFINBOOKS","1999","","9780140545197","","","3",
"2","Ramona the pest ","Beverly Cleary ;illusrated by Tracy Dockray","HarperTrophy","2006","","9780380709540","50599","","3",
"2","Hooray for Fish! (Paperback)","Lucy Coysins","Walker","2008","","9781406301564","78740","","3",
"2","The Mystery of the Mona Lisa (Paperback) (Secret Agent Jack Stalwart)","Hunt|Elizabeth Singer","LittleBrown&Co","2007","3","9781602860018","55499","","3",
"2","The Search for the Sunken Treasure (Secret Agent Jack Stalwart #02)","Hunt, Elizabeth Singer|Williamson, Brian (ILT)","LittleBrown&Co","2007","2","9781602860025","55499","","3",
"2","지하 100층짜리 집 ","글·그림: 이와이 도시오 ;옮긴이: 김숙","북뱅크","2011","","9788989863915","73830","833.6","3",
"8","그리스 로마 신화 : 전설의 수호자들 1~4 세트 (4DISC)","","비앰코리아","2009","1","8809038201784","","","2",
"8","신기한 스쿨버스 2집 (5disc) - 영한대본 5권 포함","조애너 콜","스크린에듀케이션(DVD)","2007","3","8809130052390","","","2",
"8","The High-Rise Private Eyes #4: The Case of the Troublesome Turtle (Paperback) - The High-Rise Private Eyes #4","신시아 라일런트 (지은이), G. 브라이언 카라스 (그림)","Greenwillow","2002","274","9780060013233","50399","","2",
"8","Zack's alligator","story by Shirley Mozelle;pictures by James Watts","HarperTrophy","1995, c198","288","9780060243104","","","2",
"8","Seasons: A Book of Poems (I Can Read Book 3) (Paperback)","Charlotte Zolotow","HarperTrophy","2003","326","9780060518547","","","2",
