기간,구분,구분,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상+
2018,중랑구,여자,"201,177.50","6,542.00","6,723.50","6,502.50","8,746.00","13,043.00","15,478.50","14,515.00","15,364.00","13,505.00","16,765.00","17,213.50","18,685.50","15,309.00","10,658.00","8,537.50","6,775.00","3,888.00","1,978.50",732,189,27
2018,성북구,계,"432,108.50","14,703.50","17,725.50","18,346.50","22,411.00","31,199.50","32,067.50","28,661.00","33,817.50","34,061.00","39,633.00","33,218.50","33,476.50","28,331.50","20,356.00","16,978.00","14,382.50","7,920.50","3,378.00","1,144.00",264.5,32.5
2018,성북구,남자,"210,416.00","7,520.00","9,098.00","9,487.50","11,320.00","15,003.50","16,371.00","14,299.00","16,786.50","16,869.00","19,913.00","16,406.50","16,162.50","13,402.00","9,421.00","7,492.00","6,311.50","3,131.00","1,074.50",274.5,64,9
2018,성북구,여자,"221,692.50","7,183.50","8,627.50","8,859.00","11,091.00","16,196.00","15,696.50","14,362.00","17,031.00","17,192.00","19,720.00","16,812.00","17,314.00","14,929.50","10,935.00","9,486.00","8,071.00","4,789.50","2,303.50",869.5,200.5,23.5
2018,강북구,계,"316,094.00","9,099.00","10,576.00","10,962.50","14,947.00","21,281.50","22,361.00","20,083.50","23,753.00","23,106.00","27,735.00","25,454.00","27,578.50","23,553.50","17,835.50","15,202.00","12,541.00","6,401.50","2,538.50",841.5,215,28.5
2018,강북구,남자,"154,587.50","4,636.00","5,452.00","5,612.50","7,736.00","10,513.00","11,247.00","10,541.00","12,491.00","11,808.00","13,937.00","12,429.50","13,152.00","11,104.50","8,001.50","6,678.00","5,545.50","2,632.00",797.5,217,51,5.5
2018,강북구,여자,"161,506.50","4,463.00","5,124.00","5,350.00","7,211.00","10,768.50","11,114.00","9,542.50","11,262.00","11,298.00","13,798.00","13,024.50","14,426.50","12,449.00","9,834.00","8,524.00","6,995.50","3,769.50","1,741.00",624.5,164,23
2018,도봉구,계,"337,404.00","10,652.50","12,180.00","12,962.00","17,578.00","23,041.50","23,201.50","21,086.00","24,666.50","24,011.50","29,680.00","28,110.00","30,627.00","25,980.50","17,470.50","13,854.50","11,605.50","6,387.00","3,016.00","1,029.00",227,37.5
2018,도봉구,남자,"165,213.50","5,479.00","6,297.50","6,666.00","9,048.00","11,921.50","11,816.00","10,890.00","12,486.50","11,930.50","14,368.00","13,446.50","14,475.00","12,585.00","8,438.00","6,411.50","5,205.50","2,483.50",935.5,274.5,50.5,5
2018,도봉구,여자,"172,190.50","5,173.50","5,882.50","6,296.00","8,530.00","11,120.00","11,385.50","10,196.00","12,180.00","12,081.00","15,312.00","14,663.50","16,152.00","13,395.50","9,032.50","7,443.00","6,400.00","3,903.50","2,080.50",754.5,176.5,32.5
2018,노원구,계,"543,267.50","18,055.50","21,592.50","26,437.50","35,586.00","40,943.50","35,181.50","32,601.50","39,800.00","42,101.00","52,809.00","44,533.50","43,685.00","35,720.00","24,318.00","18,563.00","15,681.50","9,352.50","4,418.00","1,480.00",368,40
2018,노원구,남자,"263,817.50","9,295.50","11,068.50","13,721.00","18,558.50","21,288.00","18,183.00","16,191.50","19,757.50","20,039.00","25,277.00","21,791.00","20,834.50","16,867.50","11,369.50","8,158.00","6,439.00","3,233.50","1,334.50",328.5,78,4
2018,노원구,여자,"279,450.00","8,760.00","10,524.00","12,716.50","17,027.50","19,655.50","16,998.50","16,410.00","20,042.50","22,062.00","27,532.00","22,742.50","22,850.50","18,852.50","12,948.50","10,405.00","9,242.50","6,119.00","3,083.50","1,151.50",290,36
2018,은평구,계,"476,894.50","16,066.00","18,327.50","19,147.50","24,592.00","31,021.00","33,772.00","32,639.00","39,175.00","37,528.50","42,663.00","37,058.00","38,882.00","32,708.00","23,637.00","19,605.50","16,093.50","8,800.50","3,623.50","1,255.50",270,29.5
2018,은평구,남자,"231,023.00","8,217.50","9,438.00","9,924.50","12,536.00","15,507.00","16,516.50","16,095.50","19,765.00","18,704.00","21,013.00","17,846.00","18,432.00","15,238.50","10,790.50","8,705.00","7,180.00","3,557.00","1,192.00",303.5,56.5,5
2018,은평구,여자,"245,871.50","7,848.50","8,889.50","9,223.00","12,056.00","15,514.00","17,255.50","16,543.50","19,410.00","18,824.50","21,650.00","19,212.00","20,450.00","17,469.50","12,846.50","10,900.50","8,913.50","5,243.50","2,431.50",952,213.5,24.5
2018,서대문구,계,"304,796.50","10,454.00","11,007.50","11,259.50","14,802.50","22,721.00","25,106.00","21,581.50","23,695.00","22,570.50","26,579.50","23,776.00","24,062.00","19,721.50","14,132.00","12,321.00","10,900.50","6,333.50","2,646.00",903.5,194,29.5
2018,서대문구,남자,"147,160.50","5,371.00","5,570.50","5,684.50","7,547.00","10,791.50","12,784.00","10,729.50","11,774.00","11,207.00","13,102.00","11,545.50","11,643.50","9,366.50","6,396.50","5,342.50","4,672.00","2,500.50",872,222,32.5,6
2018,서대문구,여자,"157,636.00","5,083.00","5,437.00","5,575.00","7,255.50","11,929.50","12,322.00","10,852.00","11,921.00","11,363.50","13,477.50","12,230.50","12,418.50","10,355.00","7,735.50","6,978.50","6,228.50","3,833.00","1,774.00",681.5,161.5,23.5
2018,마포구,계,"367,176.50","14,129.00","14,198.50","14,382.00","16,699.50","25,303.50","32,834.00","32,691.00","33,817.50","30,607.00","32,346.00","26,188.00","25,677.50","20,528.00","14,509.00","12,455.50","10,642.00","6,255.50","2,785.00",859,233,36
2018,마포구,남자,"174,776.00","7,215.00","7,206.50","7,291.50","8,436.00","11,793.50","15,260.50","15,307.50","16,554.50","14,920.00","15,986.00","12,773.50","12,464.50","9,548.00","6,420.00","5,306.50","4,616.00","2,437.50",937.5,234.5,61,6
2018,마포구,여자,"192,400.50","6,914.00","6,992.00","7,090.50","8,263.50","13,510.00","17,573.50","17,383.50","17,263.00","15,687.00","16,360.00","13,414.50","13,213.00","10,980.00","8,089.00","7,149.00","6,026.00","3,818.00","1,847.50",624.5,172,30
2018,양천구,계,"462,235.00","15,317.50","20,434.50","25,095.00","30,927.00","32,192.00","30,007.00","28,500.00","34,712.50","37,131.00","46,102.50","39,417.50","37,372.00","29,678.50","20,146.50","14,226.00","10,431.00","6,169.00","3,047.00","1,035.00",263,30.5
2018,양천구,남자,"227,756.50","7,785.50","10,549.00","13,128.50","16,243.50","16,930.50","15,090.00","14,151.50","16,925.00","17,487.50","22,326.50","19,686.00","18,447.00","14,316.50","9,917.50","6,841.50","4,606.00","2,165.00",861,237.5,56.5,4.5
2018,양천구,여자,"234,478.50","7,532.00","9,885.50","11,966.50","14,683.50","15,261.50","14,917.00","14,348.50","17,787.50","19,643.50","23,776.00","19,731.50","18,925.00","15,362.00","10,229.00","7,384.50","5,825.00","4,004.00","2,186.00",797.5,206.5,26
2018,강서구,계,"592,308.50","24,042.50","23,866.00","22,606.50","27,825.00","37,893.00","49,163.50","51,195.50","55,468.50","46,357.50","47,686.00","42,438.00","47,555.00","40,202.00","27,610.50","19,862.50","14,318.00","8,188.50","4,137.50","1,506.00",342.5,44
2018,강서구,남자,"288,004.00","12,219.50","12,231.00","11,567.50","14,224.50","18,518.50","23,173.00","25,695.50","28,507.00","23,345.00","23,771.50","20,235.50","22,347.00","18,594.50","13,139.50","9,651.50","6,255.00","2,929.50","1,166.50",338.5,86,7.5
2018,강서구,여자,"304,304.50","11,823.00","11,635.00","11,039.00","13,600.50","19,374.50","25,990.50","25,500.00","26,961.50","23,012.50","23,914.50","22,202.50","25,208.00","21,607.50","14,471.00","10,211.00","8,063.00","5,259.00","2,971.00","1,167.50",256.5,36.5
2018,구로구,계,"402,970.50","15,942.50","16,766.50","14,970.00","18,176.50","25,088.50","29,999.50","30,767.00","35,795.50","31,836.50","33,216.50","30,228.50","32,942.50","28,682.00","20,897.50","15,956.50","11,766.50","6,290.50","2,571.50",850.5,205.5,20
2018,구로구,남자,"199,695.00","8,121.50","8,461.50","7,698.00","9,446.50","12,597.00","14,781.50","15,437.50","18,388.00","16,479.50","16,888.50","15,048.50","15,874.00","13,567.00","10,047.50","7,819.00","5,440.00","2,561.50",816,179,40,3
