기간,구분,구분,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상+
2017,합계,계,"9,724,400.50","363,251.50","380,731.50","391,825.50","518,232.00","677,754.50","756,265.00","773,662.50","807,972.00","780,991.00","848,758.50","745,084.50","776,782.00","619,336.50","443,556.50","344,436.00","258,889.50","142,927.50","65,329.00","22,592.50","5,247.00",775.5
2017,합계,남자,"4,767,275.50","186,130.00","195,215.50","202,077.00","267,713.00","339,569.00","375,042.50","386,700.50","405,307.00","388,230.00","419,619.50","367,937.00","373,433.50","294,262.00","209,667.00","160,175.50","115,490.50","54,650.50","19,399.00","5,378.00","1,155.00",123.5
2017,합계,여자,"4,957,125.00","177,121.50","185,516.00","189,748.50","250,519.00","338,185.50","381,222.50","386,962.00","402,665.00","392,761.00","429,139.00","377,147.50","403,348.50","325,074.50","233,889.50","184,260.50","143,399.00","88,277.00","45,930.00","17,214.50","4,092.00",652
2017,종로구,계,"148,098.50","4,181.00","4,824.00","5,400.50","7,764.00","11,336.00","12,021.50","10,491.50","10,292.00","10,967.50","13,360.50","12,120.00","12,184.00","9,652.00","6,979.00","6,187.50","5,251.50","3,027.00","1,401.00",501.5,132,24.5
2017,종로구,남자,"72,805.50","2,137.50","2,457.00","2,783.00","3,943.00","5,599.00","6,274.00","5,294.50","5,006.50","5,296.00","6,605.50","6,135.50","6,172.00","4,826.00","3,283.00","2,787.50","2,313.00","1,230.00",474,150.5,34,4
2017,종로구,여자,"75,293.00","2,043.50","2,367.00","2,617.50","3,821.00","5,737.00","5,747.50","5,197.00","5,285.50","5,671.50","6,755.00","5,984.50","6,012.00","4,826.00","3,696.00","3,400.00","2,938.50","1,797.00",927,351,98,20.5
2017,중구,계,"121,058.00","4,187.00","3,819.50","3,364.50","4,883.00","8,027.50","9,703.50","10,020.00","10,026.50","9,069.00","10,140.00","9,530.00","10,521.00","8,492.50","6,132.00","5,019.00","4,098.50","2,366.50","1,152.50",408,83.5,14
2017,중구,남자,"59,933.00","2,126.00","1,910.00","1,661.00","2,503.50","3,993.00","4,886.00","5,027.00","5,142.00","4,663.00","5,243.00","4,840.00","5,336.50","4,268.00","2,994.50","2,269.50","1,719.00",851,361,110,27.5,1.5
2017,중구,여자,"61,125.00","2,061.00","1,909.50","1,703.50","2,379.50","4,034.50","4,817.50","4,993.00","4,884.50","4,406.00","4,897.00","4,690.00","5,184.50","4,224.50","3,137.50","2,749.50","2,379.50","1,515.50",791.5,298,56,12.5
2017,용산구,계,"219,546.50","7,904.50","7,860.00","7,848.50","10,318.00","13,943.00","17,202.00","18,425.50","18,759.50","17,698.00","19,511.50","16,679.00","17,043.50","13,757.00","9,877.50","8,300.50","7,189.00","4,300.00","2,022.50",717.5,164.5,25
2017,용산구,남자,"106,723.50","4,099.50","3,980.50","4,006.00","5,400.50","6,766.50","8,492.00","9,187.00","9,264.50","8,735.50","9,717.50","8,322.00","8,354.00","6,651.00","4,598.50","3,645.50","3,002.50","1,589.50",662.5,193.5,48,7
2017,용산구,여자,"112,823.00","3,805.00","3,879.50","3,842.50","4,917.50","7,176.50","8,710.00","9,238.50","9,495.00","8,962.50","9,794.00","8,357.00","8,689.50","7,106.00","5,279.00","4,655.00","4,186.50","2,710.50","1,360.00",524,116.5,18
2017,성동구,계,"296,598.50","12,467.00","11,037.50","10,250.00","13,793.00","20,791.00","23,988.00","25,093.00","26,295.00","23,828.50","25,242.50","23,044.50","23,971.50","18,125.50","12,722.50","10,482.50","8,191.50","4,552.00","1,927.50",616,155.5,24
2017,성동구,남자,"146,525.50","6,316.00","5,641.00","5,112.00","6,950.50","10,515.00","12,160.50","12,408.00","13,292.00","12,197.00","12,661.50","11,564.00","12,077.00","8,823.00","6,017.00","4,739.00","3,570.00","1,727.50",561,157,33.5,3
2017,성동구,여자,"150,073.00","6,151.00","5,396.50","5,138.00","6,842.50","10,276.00","11,827.50","12,685.00","13,003.00","11,631.50","12,581.00","11,480.50","11,894.50","9,302.50","6,705.50","5,743.50","4,621.50","2,824.50","1,366.50",459,122,21
2017,광진구,계,"351,919.00","12,284.00","12,417.00","13,241.50","18,212.00","27,122.50","32,533.00","31,491.50","29,376.50","27,462.50","30,362.50","27,237.50","27,890.50","21,081.00","14,362.50","11,155.50","8,352.00","4,454.00","2,015.50",659,179,29.5
2017,광진구,남자,"171,706.50","6,332.50","6,359.00","6,779.50","9,331.50","13,074.50","15,763.50","15,615.00","14,758.00","13,591.00","14,775.50","13,409.00","13,392.50","10,143.00","6,799.50","5,268.50","3,810.50","1,683.50",623,157.5,36.5,3
2017,광진구,여자,"180,212.50","5,951.50","6,058.00","6,462.00","8,880.50","14,048.00","16,769.50","15,876.50","14,618.50","13,871.50","15,587.00","13,828.50","14,498.00","10,938.00","7,563.00","5,887.00","4,541.50","2,770.50","1,392.50",501.5,142.5,26.5
2017,동대문구,계,"345,931.50","12,004.50","12,353.50","12,043.50","16,495.50","25,846.50","27,873.50","26,044.50","27,548.00","26,461.50","28,630.50","26,181.00","28,573.00","23,435.00","17,207.00","14,444.00","11,249.00","5,979.50","2,516.00",816.5,201.5,27.5
2017,동대문구,남자,"172,828.00","6,209.00","6,301.00","6,175.00","8,384.50","12,929.50","14,882.00","13,535.50","14,216.50","13,705.50","14,611.50","13,291.50","14,004.50","11,387.00","8,123.50","6,611.00","5,023.50","2,383.00",807,199,43,5
2017,동대문구,여자,"173,103.50","5,795.50","6,052.50","5,868.50","8,111.00","12,917.00","12,991.50","12,509.00","13,331.50","12,756.00","14,019.00","12,889.50","14,568.50","12,048.00","9,083.50","7,833.00","6,225.50","3,596.50","1,709.00",617.5,158.5,22.5
2017,중랑구,계,"403,696.50","14,554.50","14,008.00","13,786.00","19,786.50","27,985.50","30,101.50","31,149.00","32,367.50","29,659.00","34,623.50","34,032.00","36,955.00","28,516.50","19,952.00","15,309.00","11,297.00","5,917.00","2,599.50",860,203,34.5
2017,중랑구,남자,"200,825.50","7,449.00","7,120.00","7,066.00","10,344.00","14,319.50","14,939.50","16,003.00","17,087.00","15,301.50","17,311.00","16,842.00","18,212.00","13,926.50","9,530.50","7,095.00","5,086.50","2,283.50",676.5,190.5,37.5,4.5
