기간,자치구,전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
2016,합계,"4,189,839","1,561,533","847,102","778,997","761,414","184,019","41,957","10,351","2,883",929,654
2016,종로구,"72,118","34,698","13,049","10,736","9,877","2,779",701,194,47,23,14
2016,중구,"59,651","28,368","11,780","9,138","7,615","2,039",508,137,40,12,14
2016,용산구,"106,607","48,131","21,228","17,086","14,876","3,938",963,253,84,25,23
2016,성동구,"128,727","49,318","26,476","24,086","21,959","5,161","1,241",356,85,29,16
2016,광진구,"158,390","65,896","30,862","27,358","26,438","5,975","1,364",350,99,23,25
2016,동대문구,"159,426","68,367","31,203","26,741","24,467","6,463","1,652",378,97,38,20
2016,중랑구,"177,400","67,162","38,045","33,340","29,549","7,269","1,556",343,101,22,13
2016,성북구,"188,304","69,093","38,167","35,422","34,229","8,556","2,075",552,127,46,37
2016,강북구,"141,229","52,653","31,855","26,664","22,483","5,763","1,332",325,89,42,23
2016,도봉구,"136,898","40,157","30,753","29,216","27,931","6,744","1,537",395,114,35,16
2016,노원구,"219,736","63,642","46,108","46,104","50,175","10,902","2,152",456,134,38,25
2016,은평구,"201,891","68,747","44,203","39,913","36,523","9,534","2,208",551,147,34,31
2016,서대문구,"136,766","54,371","28,028","24,193","22,750","5,581","1,380",344,81,17,21
2016,마포구,"169,432","70,544","34,435","29,071","26,999","6,449","1,423",334,103,45,29
2016,양천구,"177,434","47,141","34,590","38,548","44,091","10,167","2,172",489,158,46,32
2016,강서구,"245,045","83,462","52,108","48,885","46,360","11,092","2,336",560,162,48,32
2016,구로구,"172,220","59,834","36,398","33,310","32,086","8,092","1,865",455,120,35,25
2016,금천구,"104,483","42,887","21,511","18,199","16,485","4,099",980,222,59,25,16
2016,영등포구,"165,729","70,252","32,240","28,582","26,402","6,243","1,442",388,100,50,30
2016,동작구,"172,506","66,694","35,226","31,402","29,704","7,141","1,706",440,128,43,22
2016,관악구,"251,955","128,682","46,565","35,590","30,917","7,735","1,827",459,108,36,36
2016,서초구,"173,970","54,948","33,198","34,701","38,514","9,480","2,248",602,180,53,46
2016,강남구,"234,080","87,495","42,282","42,456","47,357","10,976","2,528",669,195,79,43
2016,송파구,"258,382","81,256","50,740","52,635","57,002","12,953","2,832",669,211,43,41
2016,강동구,"177,460","57,735","36,052","35,621","36,625","8,888","1,929",430,114,42,24
