기간,자치구,행정동,구분,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
2019.3/4,마포구,공덕동,한국인,39863,1306,1117,1065,1603,2825,3884,3477,3263,2672,3358,3401,3381,2646,1724,1514,1239,868,322,121,38,39
2019.3/4,마포구,공덕동,외국인,740,26,21,15,6,41,65,92,110,72,55,92,82,33,18,9,-,1,1,1,-,-
2019.3/4,마포구,아현동,계,25391,1587,1130,777,882,1378,1864,2478,2916,2072,1946,1923,1959,1542,917,663,617,405,190,74,23,48
2019.3/4,마포구,아현동,한국인,24881,1565,1116,766,869,1353,1788,2415,2835,2025,1901,1886,1930,1529,898,655,615,400,190,74,23,48
2019.3/4,마포구,아현동,외국인,510,22,14,11,13,25,76,63,81,47,45,37,29,13,19,8,2,5,-,-,-,-
2019.3/4,양천구,소계,계,463931,13611,20178,24458,28541,30979,31159,27530,34054,36379,45338,41033,37948,32236,21728,15779,11124,6777,3334,1231,341,173
2019.3/4,양천구,소계,한국인,459849,13510,20086,24390,28487,30728,30757,27001,33639,35980,44908,40529,37440,32026,21665,15747,11114,6770,3329,1231,340,172
2019.3/4,양천구,소계,외국인,4082,101,92,68,54,251,402,529,415,399,430,504,508,210,63,32,10,7,5,-,1,1
2019.3/4,양천구,목1동,계,32111,942,2035,2696,2566,2037,1604,1445,2165,3091,3992,2885,2157,1642,1062,743,524,286,155,62,18,4
2019.3/4,양천구,목1동,한국인,31886,937,2030,2694,2560,2001,1569,1410,2129,3074,3977,2872,2148,1641,1056,739,524,286,155,62,18,4
2019.3/4,양천구,목1동,외국인,225,5,5,2,6,36,35,35,36,17,15,13,9,1,6,4,-,-,-,-,-,-
2019.3/4,양천구,목2동,계,31501,975,997,1175,1611,2197,2973,2868,2780,2208,2599,2504,2638,2250,1366,949,665,428,209,78,20,11
2019.3/4,양천구,목2동,한국인,31231,971,991,1171,1607,2173,2943,2830,2746,2187,2578,2469,2608,2241,1363,945,664,427,208,78,20,11
2019.3/4,양천구,목2동,외국인,270,4,6,4,4,24,30,38,34,21,21,35,30,9,3,4,1,1,1,-,-,-
2019.3/4,양천구,목3동,계,23145,857,646,639,1044,1570,2154,2143,2103,1601,1786,1940,1931,1724,1080,769,539,344,186,57,17,15
2019.3/4,양천구,목3동,한국인,22957,851,642,633,1041,1559,2140,2117,2081,1579,1767,1924,1912,1716,1073,766,538,343,186,57,17,15
2019.3/4,양천구,목3동,외국인,188,6,4,6,3,11,14,26,22,22,19,16,19,8,7,3,1,1,-,-,-,-
2019.3/4,양천구,목4동,계,27053,601,997,1508,2163,2348,1887,1504,1650,1959,3032,2734,2139,1508,1002,862,560,347,175,53,17,7
2019.3/4,양천구,목4동,한국인,26824,596,988,1500,2161,2338,1860,1467,1626,1936,3006,2708,2119,1501,1000,861,558,347,175,53,17,7
2019.3/4,양천구,목4동,외국인,229,5,9,8,2,10,27,37,24,23,26,26,20,7,2,1,2,-,-,-,-,-
2019.3/4,양천구,신월1동,계,21976,557,659,637,824,1344,1507,1419,1643,1557,1884,1956,2187,2048,1397,1016,703,390,157,64,16,11
2019.3/4,양천구,신월1동,한국인,21617,543,649,634,822,1335,1478,1374,1597,1526,1848,1910,2135,2022,1390,1015,702,390,156,64,16,11
2019.3/4,양천구,신월1동,외국인,359,14,10,3,2,9,29,45,46,31,36,46,52,26,7,1,1,-,1,-,-,-
2019.3/4,양천구,신월2동,계,22427,814,867,907,1004,1317,1483,1479,1916,1724,1765,1752,1890,1959,1343,985,628,334,173,65,15,7
2019.3/4,양천구,신월2동,한국인,22231,807,860,903,1003,1311,1466,1459,1893,1702,1733,1737,1865,1946,1342,982,628,334,173,65,15,7
2019.3/4,양천구,신월2동,외국인,196,7,7,4,1,6,17,20,23,22,32,15,25,13,1,3,-,-,-,-,-,-
2019.3/4,양천구,신월3동,계,16844,497,552,521,767,958,1286,1100,1173,1127,1387,1592,1651,1448,992,737,566,306,120,42,10,12
2019.3/4,양천구,신월3동,한국인,16592,486,548,517,764,947,1270,1067,1144,1100,1359,1566,1616,1430,988,736,566,305,119,42,10,12
2019.3/4,양천구,신월3동,외국인,252,11,4,4,3,11,16,33,29,27,28,26,35,18,4,1,-,1,1,-,-,-
2019.3/4,양천구,신월4동,계,19064,738,1021,815,918,1149,1092,1046,1730,1568,1579,1443,1590,1476,1085,759,544,288,156,44,12,11
2019.3/4,양천구,신월4동,한국인,18966,738,1020,814,917,1143,1083,1028,1718,1558,1567,1432,1578,1472,1084,759,544,288,156,44,12,11
2019.3/4,양천구,신월4동,외국인,98,-,1,1,1,6,9,18,12,10,12,11,12,4,1,-,-,-,-,-,-,-
2019.3/4,양천구,신월5동,계,15631,499,614,649,754,988,1240,1145,1224,1166,1269,1325,1395,1178,771,602,426,229,105,29,16,7
2019.3/4,양천구,신월5동,한국인,15469,494,609,646,751,981,1227,1123,1215,1146,1257,1302,1368,1170,768,601,426,228,105,29,16,7
2019.3/4,양천구,신월5동,외국인,162,5,5,3,3,7,13,22,9,20,12,23,27,8,3,1,-,1,-,-,-,-
2019.3/4,양천구,신월6동,계,6670,180,234,328,393,427,410,356,446,471,599,571,601,568,405,277,214,112,43,18,6,11
2019.3/4,양천구,신월6동,한국인,6631,180,233,326,393,423,406,352,446,467,596,559,599,565,405,277,214,112,43,18,6,11
2019.3/4,양천구,신월6동,외국인,39,-,1,2,-,4,4,4,-,4,3,12,2,3,-,-,-,-,-,-,-,-
2019.3/4,양천구,신월7동,계,21803,609,714,646,928,1367,1484,1341,1673,1461,1754,1812,2069,1920,1399,1001,802,500,231,65,23,4
2019.3/4,양천구,신월7동,한국인,21652,606,710,644,928,1357,1468,1323,1653,1444,1747,1787,2053,1912,1397,998,802,500,231,65,23,4
2019.3/4,양천구,신월7동,외국인,151,3,4,2,-,10,16,18,20,17,7,25,16,8,2,3,-,-,-,-,-,-
2019.3/4,양천구,신정1동,계,21578,602,1317,1574,1573,1460,1183,857,1450,1918,2320,2026,1587,1220,852,634,443,304,158,75,20,5
2019.3/4,양천구,신정1동,한국인,21378,599,1314,1569,1569,1444,1163,831,1431,1900,2297,2000,1569,1209,848,633,443,304,156,75,20,4
2019.3/4,양천구,신정1동,외국인,200,3,3,5,4,16,20,26,19,18,23,26,18,11,4,1,-,-,2,-,-,1
2019.3/4,양천구,신정2동,계,20713,428,960,1385,1620,1536,1331,842,1149,1638,2292,2031,1788,1299,804,597,464,305,163,47,21,13
2019.3/4,양천구,신정2동,한국인,20558,428,956,1384,1617,1522,1304,822,1134,1621,2279,2017,1769,1295,803,596,464,303,163,47,21,13
2019.3/4,양천구,신정2동,외국인,155,-,4,1,3,14,27,20,15,17,13,14,19,4,1,1,-,2,-,-,-,-
2019.3/4,양천구,신정3동,계,48467,1615,2391,2572,3025,3208,2934,2730,3629,3869,4775,4353,3756,3231,2217,1682,1239,718,343,128,39,13
2019.3/4,양천구,신정3동,한국인,48039,1607,2378,2568,3023,3191,2913,2694,3594,3823,4706,4292,3686,3202,2209,1676,1238,717,343,128,38,13
2019.3/4,양천구,신정3동,외국인,428,8,13,4,2,17,21,36,35,46,69,61,70,29,8,6,1,1,-,-,1,-
2019.3/4,양천구,신정6동,계,25291,788,1323,1797,2009,1852,1455,1225,1690,2076,2739,2495,1950,1441,992,577,343,287,162,71,16,3
2019.3/4,양천구,신정6동,한국인,25270,788,1323,1797,2009,1852,1452,1220,1687,2075,2738,2490,1948,1441,991,577,343,287,162,71,16,3
2019.3/4,양천구,신정6동,외국인,21,-,-,-,-,-,3,5,3,1,1,5,2,-,1,-,-,-,-,-,-,-
2019.3/4,양천구,신정7동,계,30930,865,1240,1641,1972,2163,1841,1563,1991,2281,3127,2856,2677,2248,1497,1088,828,617,277,111,30,17
2019.3/4,양천구,신정7동,한국인,30720,862,1238,1639,1965,2145,1821,1531,1973,2257,3102,2830,2656,2242,1495,1087,825,617,277,111,30,17
2019.3/4,양천구,신정7동,외국인,210,3,2,2,7,18,20,32,18,24,25,26,21,6,2,1,3,-,-,-,-,-
2019.3/4,양천구,목5동,계,42943,1015,2553,3949,3814,2640,2171,1781,2482,4049,5429,3840,2918,2379,1459,990,574,438,296,134,25,7
2019.3/4,양천구,목5동,한국인,42881,1014,2553,3949,3814,2636,2155,1766,2476,4042,5425,3837,2916,2377,1459,989,573,438,296,134,25,7
2019.3/4,양천구,목5동,외국인,62,1,-,-,-,4,16,15,6,7,4,3,2,2,-,1,1,-,-,-,-,-
2019.3/4,양천구,신정4동,계,35784,1029,1058,1019,1556,2418,3124,2686,3160,2615,3010,2918,3024,2697,2005,1511,1062,544,225,88,20,15
2019.3/4,양천구,신정4동,한국인,34947,1003,1044,1002,1543,2370,3039,2587,3096,2543,2926,2797,2895,2644,1994,1510,1062,544,225,88,20,15
2019.3/4,양천구,신정4동,외국인,837,26,14,17,13,48,85,99,64,72,84,121,129,53,11,1,-,-,-,-,-,-
2019.3/4,강서구,소계,계,600240,21417,23545,21903,26213,36303,52358,50945,54826,45888,48632,44319,47204,43750,29485,22124,15164,9187,4494,1797,467,219
2019.3/4,강서구,소계,한국인,593708,21161,23404,21835,26139,36038,51720,50029,54074,45286,47992,43603,46375,43359,29348,22071,15132,9174,4486,1796,467,219
2019.3/4,강서구,소계,외국인,6532,256,141,68,74,265,638,916,752,602,640,716,829,391,137,53,32,13,8,1,-,-
2019.3/4,강서구,염창동,계,42478,1907,2459,2427,2266,2558,3169,3366,4041,3855,4014,3179,2961,2405,1472,1020,663,413,206,69,17,11
2019.3/4,강서구,염창동,한국인,42352,1904,2459,2426,2264,2549,3147,3348,4021,3841,4001,3171,2955,2401,1468,1020,662,413,205,69,17,11
2019.3/4,강서구,염창동,외국인,126,3,-,1,2,9,22,18,20,14,13,8,6,4,4,-,1,-,1,-,-,-
2019.3/4,강서구,등촌1동,계,23720,874,604,610,902,1486,3103,3138,2585,1624,1688,1583,1598,1299,804,613,442,405,231,104,22,5
2019.3/4,강서구,등촌1동,한국인,23508,866,600,609,898,1469,3066,3102,2549,1610,1676,1569,1580,1292,802,611,442,405,231,104,22,5
2019.3/4,강서구,등촌1동,외국인,212,8,4,1,4,17,37,36,36,14,12,14,18,7,2,2,-,-,-,-,-,-
2019.3/4,강서구,등촌2동,계,21922,749,817,704,1076,1436,2002,1827,1934,1475,1700,1760,1886,1667,1116,783,467,288,142,67,22,4
2019.3/4,강서구,등촌2동,한국인,21790,742,814,702,1075,1428,1990,1807,1910,1464,1690,1751,1870,1662,1113,783,466,288,142,67,22,4
2019.3/4,강서구,등촌2동,외국인,132,7,3,2,1,8,12,20,24,11,10,9,16,5,3,-,1,-,-,-,-,-
2019.3/4,강서구,등촌3동,계,32715,906,930,951,1516,2074,2385,2385,2425,1893,2404,2678,3228,2962,1894,1341,1094,874,483,233,47,12
2019.3/4,강서구,등촌3동,한국인,32518,902,928,950,1513,2067,2369,2353,2399,1870,2385,2655,3210,2951,1887,1341,1092,872,482,233,47,12
2019.3/4,강서구,등촌3동,외국인,197,4,2,1,3,7,16,32,26,23,19,23,18,11,7,-,2,2,1,-,-,-
2019.3/4,강서구,화곡본동,계,36064,1287,1415,1214,1505,2279,3456,3312,3653,2966,2985,2545,2550,2400,1664,1213,839,438,216,80,37,10
2019.3/4,강서구,화곡본동,한국인,35627,1263,1401,1209,1498,2264,3403,3231,3598,2929,2954,2513,2499,2381,1659,1208,836,438,216,80,37,10
2019.3/4,강서구,화곡본동,외국인,437,24,14,5,7,15,53,81,55,37,31,32,51,19,5,5,3,-,-,-,-,-
2019.3/4,강서구,화곡2동,계,19655,682,809,739,902,1108,1524,1509,1906,1600,1782,1491,1502,1414,985,774,516,243,111,43,8,7
2019.3/4,강서구,화곡2동,한국인,19333,669,792,734,898,1101,1509,1465,1872,1570,1737,1451,1462,1396,981,773,513,242,110,43,8,7
2019.3/4,강서구,화곡2동,외국인,322,13,17,5,4,7,15,44,34,30,45,40,40,18,4,1,3,1,1,-,-,-
2019.3/4,강서구,화곡3동,계,22698,701,763,744,1009,1421,1930,1708,1807,1574,1736,1684,1926,2004,1358,1005,693,340,185,71,18,21
2019.3/4,강서구,화곡3동,한국인,22521,689,761,743,1005,1417,1919,1679,1791,1559,1718,1657,1906,1992,1355,1003,692,340,185,71,18,21
2019.3/4,강서구,화곡3동,외국인,177,12,2,1,4,4,11,29,16,15,18,27,20,12,3,2,1,-,-,-,-,-
2019.3/4,강서구,화곡4동,계,22175,700,697,648,868,1347,1716,1730,2072,1677,1764,1783,1926,1794,1263,942,627,372,176,57,9,7
2019.3/4,강서구,화곡4동,한국인,21819,679,687,642,860,1335,1688,1684,2038,1641,1739,1742,1873,1770,1256,938,626,372,176,57,9,7
2019.3/4,강서구,화곡4동,외국인,356,21,10,6,8,12,28,46,34,36,25,41,53,24,7,4,1,-,-,-,-,-
2019.3/4,강서구,화곡6동,계,24930,752,697,763,1048,1630,2374,2065,2089,1780,1998,1982,2182,2053,1360,926,623,347,175,62,17,7
2019.3/4,강서구,화곡6동,한국인,24716,743,693,761,1047,1614,2347,2033,2062,1762,1977,1961,2164,2041,1358,925,623,346,173,62,17,7
2019.3/4,강서구,화곡6동,외국인,214,9,4,2,1,16,27,32,27,18,21,21,18,12,2,1,-,1,2,-,-,-
2019.3/4,강서구,화곡8동,계,26593,879,828,772,1014,1559,2357,2309,2530,2096,2089,1970,2162,2001,1450,1203,776,365,156,60,12,5
2019.3/4,강서구,화곡8동,한국인,26090,850,813,769,1013,1538,2317,2239,2482,2061,2047,1906,2091,1958,1437,1199,773,364,156,60,12,5
2019.3/4,강서구,화곡8동,외국인,503,29,15,3,1,21,40,70,48,35,42,64,71,43,13,4,3,1,-,-,-,-
2019.3/4,강서구,가양1동,계,34199,1004,1002,853,1210,2686,5638,4595,3569,2310,2289,2159,2201,1951,1009,706,467,310,154,67,14,5
2019.3/4,강서구,가양1동,한국인,33838,995,998,853,1210,2666,5572,4527,3519,2287,2263,2137,2194,1933,981,698,460,306,153,67,14,5
2019.3/4,강서구,가양1동,외국인,361,9,4,-,-,20,66,68,50,23,26,22,7,18,28,8,7,4,1,-,-,-
2019.3/4,강서구,가양2동,계,15301,329,257,206,333,712,1271,1446,1203,744,758,962,1658,1822,1275,857,638,455,252,95,26,2
2019.3/4,강서구,가양2동,한국인,15211,327,256,204,333,700,1251,1428,1194,739,756,955,1648,1821,1274,857,638,455,252,95,26,2
2019.3/4,강서구,가양2동,외국인,90,2,1,2,-,12,20,18,9,5,2,7,10,1,1,-,-,-,-,-,-,-
2019.3/4,강서구,가양3동,계,16277,583,287,255,481,756,1268,1734,1566,1022,1026,1138,1360,1499,1113,850,641,404,190,84,18,2
2019.3/4,강서구,가양3동,한국인,16166,583,284,255,479,752,1263,1717,1549,1009,1016,1122,1348,1494,1109,848,641,403,190,84,18,2
2019.3/4,강서구,가양3동,외국인,111,-,3,-,2,4,5,17,17,13,10,16,12,5,4,2,-,1,-,-,-,-
2019.3/4,강서구,발산1동,계,38559,1433,2464,2444,2757,2584,2140,1826,3052,3513,4026,3086,2646,2255,1446,1235,803,470,250,94,27,8
2019.3/4,강서구,발산1동,한국인,38396,1431,2462,2439,2747,2575,2131,1801,3029,3497,4010,3072,2630,2245,1445,1232,802,469,250,94,27,8
2019.3/4,강서구,발산1동,외국인,163,2,2,5,10,9,9,25,23,16,16,14,16,10,1,3,1,1,-,-,-,-
2019.3/4,강서구,공항동,계,28336,1485,1316,833,952,1643,2389,2489,3028,2191,2195,1988,2297,1896,1243,973,694,426,180,73,18,27
2019.3/4,강서구,공항동,한국인,27419,1472,1305,827,950,1628,2355,2416,2964,2079,2054,1838,2097,1823,1231,963,693,426,180,73,18,27
2019.3/4,강서구,공항동,외국인,917,13,11,6,2,15,34,73,64,112,141,150,200,73,12,10,1,-,-,-,-,-
2019.3/4,강서구,방화1동,계,45847,2030,2795,2217,2092,2521,3146,3149,4047,4059,3894,3246,3518,3152,2174,1587,1094,658,296,130,27,15
2019.3/4,강서구,방화1동,한국인,45518,2020,2792,2215,2086,2512,3103,3112,4005,4020,3857,3208,3485,3134,2166,1587,1091,658,295,130,27,15
2019.3/4,강서구,방화1동,외국인,329,10,3,2,6,9,43,37,42,39,37,38,33,18,8,-,3,-,1,-,-,-
2019.3/4,강서구,방화2동,계,24203,669,683,695,890,1436,2146,1974,1852,1579,1796,1849,2063,2116,1425,1184,885,577,256,82,21,25
2019.3/4,강서구,방화2동,한국인,23868,658,679,692,885,1420,2105,1932,1801,1546,1767,1815,2029,2099,1416,1180,884,576,256,82,21,25
2019.3/4,강서구,방화2동,외국인,335,11,4,3,5,16,41,42,51,33,29,34,34,17,9,4,1,1,-,-,-,-
2019.3/4,강서구,방화3동,계,24582,780,807,821,863,1193,1712,1798,2168,1773,1887,1825,2103,2217,1510,1148,923,573,306,130,38,7
2019.3/4,강서구,방화3동,한국인,24423,774,797,820,861,1186,1696,1769,2148,1756,1876,1813,2087,2209,1508,1147,922,573,306,130,38,7
2019.3/4,강서구,방화3동,외국인,159,6,10,1,2,7,16,29,20,17,11,12,16,8,2,1,1,-,-,-,-,-
2019.3/4,강서구,화곡1동,계,54681,2005,1339,1202,1665,3231,5854,6022,5564,3964,3921,3903,4268,4022,2877,2244,1382,758,301,107,35,17
2019.3/4,강서구,화곡1동,한국인,53531,1941,1313,1184,1657,3182,5731,5864,5443,3877,3806,3779,4106,3955,2858,2240,1379,758,300,106,35,17
2019.3/4,강서구,화곡1동,외국인,1150,64,26,18,8,49,123,158,121,87,115,124,162,67,19,4,3,-,1,1,-,-
2019.3/4,강서구,우장산동,계,45305,1662,2576,2805,2864,2643,2778,2563,3735,4193,4680,3508,3169,2821,2047,1520,897,471,228,89,34,22
2019.3/4,강서구,우장산동,한국인,45064,1653,2570,2801,2860,2635,2758,2522,3700,4169,4663,3488,3141,2802,2044,1518,897,470,228,89,34,22
2019.3/4,강서구,우장산동,외국인,241,9,6,4,4,8,20,41,35,24,17,20,28,19,3,2,-,1,-,-,-,-
2019.3/4,구로구,소계,계,439850,15705,17124,15159,17513,25230,33353,33452,37681,33645,37637,36479,38908,33012,22784,17597,12691,7366,3006,1060,293,155
2019.3/4,구로구,소계,한국인,406748,14489,16244,14711,17166,24283,31543,30167,34730,30895,33650,31410,32790,30571,22211,17446,12635,7319,2992,1049,292,155
2019.3/4,구로구,소계,외국인,33102,1216,880,448,347,947,1810,3285,2951,2750,3987,5069,6118,2441,573,151,56,47,14,11,1,-
2019.3/4,구로구,신도림동,계,37392,1776,2049,1893,1798,2207,2397,2913,3726,3434,3288,2699,2619,2335,1639,1122,741,459,190,77,22,8
2019.3/4,구로구,신도림동,한국인,37053,1771,2043,1891,1793,2185,2348,2850,3687,3405,3261,2666,2578,2326,1637,1120,739,457,190,77,21,8
2019.3/4,구로구,신도림동,외국인,339,5,6,2,5,22,49,63,39,29,27,33,41,9,2,2,2,2,-,-,1,-
2019.3/4,구로구,구로1동,계,22120,1016,1092,1062,1043,1326,1665,1900,2254,1923,1869,1592,1581,1555,895,564,382,219,117,45,19,1
2019.3/4,구로구,구로1동,한국인,21664,997,1083,1055,1038,1310,1608,1815,2206,1876,1835,1544,1529,1532,895,562,380,217,117,45,19,1
2019.3/4,구로구,구로1동,외국인,456,19,9,7,5,16,57,85,48,47,34,48,52,23,-,2,2,2,-,-,-,-
2019.3/4,구로구,구로3동,계,26460,831,916,786,797,1447,3064,2915,2825,2268,2219,1767,1822,1553,1125,896,613,390,154,44,8,20
2019.3/4,구로구,구로3동,한국인,24469,728,840,758,770,1398,2944,2675,2594,2102,2023,1512,1535,1396,1086,887,610,387,152,44,8,20
2019.3/4,구로구,구로3동,외국인,1991,103,76,28,27,49,120,240,231,166,196,255,287,157,39,9,3,3,2,-,-,-
2019.3/4,구로구,구로4동,계,26504,741,616,638,797,1261,1948,2011,2086,1919,2411,2640,3021,2096,1442,1159,885,550,184,71,11,17
2019.3/4,구로구,구로4동,한국인,21074,544,465,559,739,1174,1723,1548,1651,1455,1750,1754,1866,1667,1338,1139,876,546,183,69,11,17
2019.3/4,구로구,구로4동,외국인,5430,197,151,79,58,87,225,463,435,464,661,886,1155,429,104,20,9,4,1,2,-,-
2019.3/4,구로구,구로5동,계,33690,1312,1011,833,1053,2086,3349,3247,3119,2353,2724,2784,3097,2343,1523,1214,848,486,223,69,16,-
2019.3/4,구로구,구로5동,한국인,29993,1170,923,769,1016,1998,3149,2871,2775,2037,2278,2254,2416,2057,1457,1196,841,483,221,66,16,-
2019.3/4,구로구,구로5동,외국인,3697,142,88,64,37,88,200,376,344,316,446,530,681,286,66,18,7,3,2,3,-,-
2019.3/4,구로구,고척1동,계,24293,702,823,928,1271,1744,1755,1457,1687,1682,2121,2079,2126,1959,1439,1079,776,399,174,70,18,4
2019.3/4,구로구,고척1동,한국인,23812,688,810,924,1254,1641,1711,1406,1642,1650,2091,2041,2073,1936,1429,1078,774,399,173,70,18,4
2019.3/4,구로구,고척1동,외국인,481,14,13,4,17,103,44,51,45,32,30,38,53,23,10,1,2,-,1,-,-,-
2019.3/4,구로구,고척2동,계,29019,862,1260,1118,1378,1881,1931,1642,2113,2161,2610,2615,2556,2253,1552,1239,949,601,201,72,19,6
2019.3/4,구로구,고척2동,한국인,28378,840,1243,1110,1366,1861,1897,1578,2042,2102,2533,2535,2445,2209,1537,1235,948,599,201,72,19,6
2019.3/4,구로구,고척2동,외국인,641,22,17,8,12,20,34,64,71,59,77,80,111,44,15,4,1,2,-,-,-,-
2019.3/4,구로구,개봉2동,계,33428,1367,1332,1156,1428,1809,2224,2275,2913,2595,2559,2423,2815,2762,2162,1608,1058,570,233,103,26,10
2019.3/4,구로구,개봉2동,한국인,32912,1335,1318,1149,1423,1789,2179,2215,2861,2565,2512,2347,2733,2731,2152,1605,1057,569,233,103,26,10
2019.3/4,구로구,개봉2동,외국인,516,32,14,7,5,20,45,60,52,30,47,76,82,31,10,3,1,1,-,-,-,-
2019.3/4,구로구,개봉3동,계,22176,702,811,736,905,1331,1502,1503,1849,1614,1798,1820,1917,1900,1399,991,702,434,177,56,21,8
2019.3/4,구로구,개봉3동,한국인,21691,673,790,729,900,1317,1470,1446,1801,1568,1744,1766,1853,1858,1391,988,702,433,177,56,21,8
2019.3/4,구로구,개봉3동,외국인,485,29,21,7,5,14,32,57,48,46,54,54,64,42,8,3,-,1,-,-,-,-
2019.3/4,구로구,오류1동,계,23025,774,624,544,765,1449,2417,2394,2168,1613,1640,1558,1760,1654,1246,966,761,470,143,56,18,5
2019.3/4,구로구,오류1동,한국인,22307,741,599,534,754,1427,2362,2295,2088,1560,1566,1478,1643,1606,1241,963,761,468,143,55,18,5
2019.3/4,구로구,오류1동,외국인,718,33,25,10,11,22,55,99,80,53,74,80,117,48,5,3,-,2,-,1,-,-
2019.3/4,구로구,오류2동,계,51567,2506,3265,2391,2240,2692,3610,3736,4813,4305,4134,3519,3606,3332,2485,2090,1441,826,401,127,38,10
2019.3/4,구로구,오류2동,한국인,50748,2478,3242,2374,2232,2669,3567,3636,4724,4224,4051,3425,3482,3265,2461,2077,1440,825,401,127,38,10
2019.3/4,구로구,오류2동,외국인,819,28,23,17,8,23,43,100,89,81,83,94,124,67,24,13,1,1,-,-,-,-
2019.3/4,구로구,수궁동,계,25000,806,938,997,1218,1531,1683,1655,1969,1954,2145,2000,2152,2031,1397,1048,799,403,181,66,16,11
2019.3/4,구로구,수궁동,한국인,24641,788,930,992,1213,1502,1648,1605,1939,1934,2100,1968,2096,2017,1391,1044,798,402,181,66,16,11
2019.3/4,구로구,수궁동,외국인,359,18,8,5,5,29,35,50,30,20,45,32,56,14,6,4,1,1,-,-,-,-
2019.3/4,구로구,가리봉동,계,15518,287,264,198,264,565,1006,1117,1043,1035,1703,2163,2358,1485,677,527,368,265,123,33,17,20
2019.3/4,구로구,가리봉동,한국인,9439,147,143,140,220,486,787,643,566,504,867,1001,1054,984,597,500,357,254,120,32,17,20
2019.3/4,구로구,가리봉동,외국인,6079,140,121,58,44,79,219,474,477,531,836,1162,1304,501,80,27,11,11,3,1,-,-
2019.3/4,구로구,구로2동,계,35481,879,901,783,1043,1791,2454,2493,2469,2395,3553,3975,4303,2926,1777,1491,1209,651,250,87,24,27
2019.3/4,구로구,구로2동,한국인,25533,479,627,651,949,1479,1899,1506,1599,1599,2306,2419,2490,2259,1603,1455,1197,637,245,83,24,27
2019.3/4,구로구,구로2동,외국인,9948,400,274,132,94,312,555,987,870,796,1247,1556,1813,667,174,36,12,14,5,4,-,-
2019.3/4,구로구,개봉1동,계,34177,1144,1222,1096,1513,2110,2348,2194,2647,2394,2863,2845,3175,2828,2026,1603,1159,643,255,84,20,8
2019.3/4,구로구,개봉1동,한국인,33034,1110,1188,1076,1499,2047,2251,2078,2555,2314,2733,2700,2997,2728,1996,1597,1155,643,255,84,20,8
2019.3/4,구로구,개봉1동,외국인,1143,34,34,20,14,63,97,116,92,80,130,145,178,100,30,6,4,-,-,-,-,-
2019.3/4,금천구,소계,계,252868,7624,7765,7248,9302,15367,22219,19752,19642,17167,21439,23408,25125,19619,13002,9924,7524,4051,1764,583,178,165
2019.3/4,금천구,소계,한국인,233371,6833,7175,6985,9149,14956,21241,17886,17983,15567,18922,20178,21445,18327,12682,9836,7496,4038,1752,580,176,164
2019.3/4,금천구,소계,외국인,19497,791,590,263,153,411,978,1866,1659,1600,2517,3230,3680,1292,320,88,28,13,12,3,2,1
2019.3/4,금천구,가산동,계,24497,586,409,358,477,1670,3871,3164,2296,1575,1830,2025,2272,1563,893,668,448,230,107,33,13,9
2019.3/4,금천구,가산동,한국인,20991,489,335,327,456,1576,3655,2815,2006,1286,1373,1419,1592,1339,850,648,441,227,103,32,13,9
2019.3/4,금천구,가산동,외국인,3506,97,74,31,21,94,216,349,290,289,457,606,680,224,43,20,7,3,4,1,-,-
2019.3/4,금천구,독산1동,계,43529,1860,1579,1097,1330,2714,4688,4449,4277,3225,3369,3365,3597,2763,1798,1363,1094,592,248,81,25,15
2019.3/4,금천구,독산1동,한국인,41013,1772,1535,1064,1314,2628,4485,4149,4041,3023,3071,2994,3161,2627,1752,1350,1090,591,246,81,24,15
2019.3/4,금천구,독산1동,외국인,2516,88,44,33,16,86,203,300,236,202,298,371,436,136,46,13,4,1,2,-,1,-
2019.3/4,금천구,독산2동,계,21602,583,623,606,817,1318,1650,1437,1521,1351,1932,2375,2391,1786,1196,888,602,303,140,50,18,15
2019.3/4,금천구,독산2동,한국인,19581,478,550,583,797,1285,1564,1245,1341,1198,1665,2024,2020,1662,1169,876,602,301,139,50,17,15
2019.3/4,금천구,독산2동,외국인,2021,105,73,23,20,33,86,192,180,153,267,351,371,124,27,12,-,2,1,-,1,-
2019.3/4,금천구,독산3동,계,30152,781,749,709,988,1673,2449,2255,2116,1923,2745,3338,3627,2514,1587,1114,831,447,192,72,21,21
2019.3/4,금천구,독산3동,한국인,25253,593,604,645,951,1586,2261,1862,1731,1537,2091,2459,2597,2175,1499,1100,818,443,189,71,21,20
2019.3/4,금천구,독산3동,외국인,4899,188,145,64,37,87,188,393,385,386,654,879,1030,339,88,14,13,4,3,1,-,1
2019.3/4,금천구,독산4동,계,18444,474,493,525,672,1084,1371,1226,1283,1256,1664,2020,2167,1493,1038,739,530,245,109,32,9,14
2019.3/4,금천구,독산4동,한국인,16174,346,402,485,647,1052,1292,1008,1083,1052,1355,1659,1760,1370,1003,724,527,245,109,32,9,14
2019.3/4,금천구,독산4동,외국인,2270,128,91,40,25,32,79,218,200,204,309,361,407,123,35,15,3,-,-,-,-,-
