기간,자치구,전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대 이상
2018,합계,"4,263,868","1,679,049","891,792","768,663","704,778","168,321","37,669","9,452","2,699",841,604
2018,종로구,"73,735","36,012","13,901","10,952","9,348","2,601",631,195,58,21,16
2018,중구,"61,502","29,832","12,753","9,255","7,238","1,791",456,114,32,13,18
2018,용산구,"108,974","50,818","22,284","16,997","14,034","3,606",891,226,72,23,23
2018,성동구,"137,209","54,940","29,647","25,071","21,190","4,794","1,144",294,95,21,13
2018,광진구,"162,606","70,605","32,723","27,281","24,753","5,508","1,270",323,89,31,23
2018,동대문구,"161,820","72,616","32,618","26,287","22,662","5,777","1,408",323,88,27,14
2018,중랑구,"180,511","72,086","40,504","32,621","26,995","6,517","1,332",338,82,22,14
2018,성북구,"186,601","71,004","38,798","34,648","31,796","7,789","1,882",496,113,33,42
2018,강북구,"143,395","57,388","33,037","25,619","20,545","5,267","1,147",252,93,22,25
2018,도봉구,"138,087","43,182","32,551","28,962","25,408","6,092","1,389",356,92,42,13
2018,노원구,"217,655","67,527","47,741","44,866","45,217","9,770","1,932",403,138,39,22
2018,은평구,"205,001","73,517","46,903","39,233","33,915","8,691","2,037",508,129,34,34
2018,서대문구,"138,549","57,194","28,781","24,437","21,209","5,260","1,207",341,85,21,14
2018,마포구,"172,505","75,480","35,381","28,617","25,285","5,962","1,279",342,103,31,25
2018,양천구,"176,498","48,615","36,590","38,406","40,961","9,321","1,930",462,143,41,29
2018,강서구,"258,503","97,429","56,974","48,238","42,634","10,322","2,167",526,140,49,24
2018,구로구,"172,457","62,904","38,316","32,605","29,225","7,252","1,612",382,104,38,19
2018,금천구,"107,971","46,842","23,081","17,997","15,103","3,779",870,210,52,22,15
2018,영등포구,"171,085","76,795","34,146","28,128","24,538","5,738","1,282",314,89,22,33
2018,동작구,"177,176","73,426","36,424","30,966","27,729","6,609","1,469",400,99,33,21
2018,관악구,"262,222","142,742","48,591","33,787","28,087","6,823","1,576",425,129,37,25
2018,서초구,"172,918","57,213","34,019","34,110","35,896","8,780","2,067",552,177,59,45
2018,강남구,"228,775","88,584","42,357","40,866","43,665","10,097","2,292",618,180,77,39
2018,송파구,"270,866","90,734","55,726","54,172","54,371","12,242","2,704",623,207,56,31
2018,강동구,"177,247","61,564","37,946","34,542","32,974","7,933","1,695",429,110,27,27
