기간,구분,구분,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상+
2016,합계,계,"9,811,038.50","385,053.00","386,403.50","405,306.00","550,275.50","692,438.50","742,129.50","822,248.00","803,742.50","820,610.00","835,665.00","767,411.00","772,447.00","589,943.00","439,027.50","340,549.00","237,554.50","132,134.50","61,404.50","21,243.50","4,713.50",739
2016,합계,남자,"4,818,222.50","197,416.00","198,170.00","209,285.00","284,698.50","349,087.50","367,261.00","412,027.50","403,019.50","409,736.00","413,021.00","378,407.00","370,389.50","280,846.00","207,671.50","159,588.50","104,499.50","49,224.00","17,606.50","5,105.00","1,037.50",125.5
2016,합계,여자,"4,992,816.00","187,637.00","188,233.50","196,021.00","265,577.00","343,351.00","374,868.50","410,220.50","400,723.00","410,874.00","422,644.00","389,004.00","402,057.50","309,097.00","231,356.00","180,960.50","133,055.00","82,910.50","43,798.00","16,138.50","3,676.00",613.5
2016,종로구,계,"148,331.50","4,302.00","4,830.00","5,650.00","8,293.50","11,315.00","11,742.00","10,843.50","10,128.50","11,790.50","13,128.00","12,309.50","11,863.50","9,188.50","7,027.50","6,336.50","4,833.50","2,809.50","1,309.50",482.5,127.5,20.5
2016,종로구,남자,"73,089.00","2,209.00","2,487.50","2,940.00","4,270.00","5,647.00","6,078.00","5,467.00","4,928.00","5,774.50","6,446.50","6,283.50","5,958.50","4,577.50","3,289.00","2,876.50","2,117.50","1,128.50",430,142,34,4.5
2016,종로구,여자,"75,242.50","2,093.00","2,342.50","2,710.00","4,023.50","5,668.00","5,664.00","5,376.50","5,200.50","6,016.00","6,681.50","6,026.00","5,905.00","4,611.00","3,738.50","3,460.00","2,716.00","1,681.00",879.5,340.5,93.5,16
2016,중구,계,"121,151.50","4,266.50","3,867.00","3,491.00","5,240.00","8,202.00","9,326.50","10,388.50","9,770.00","9,542.00","9,950.00","9,781.00","10,504.00","8,020.50","6,106.00","5,123.50","3,791.50","2,227.00","1,087.50",379,78.5,9.5
2016,중구,남자,"60,146.50","2,177.50","1,929.00","1,751.00","2,659.50","4,138.00","4,738.50","5,241.50","5,016.00","4,954.50","5,178.00","4,967.00","5,318.50","3,998.00","2,948.00","2,306.00","1,587.00",777,330,105.5,25.5,0.5
2016,중구,여자,"61,005.00","2,089.00","1,938.00","1,740.00","2,580.50","4,064.00","4,588.00","5,147.00","4,754.00","4,587.50","4,772.00","4,814.00","5,185.50","4,022.50","3,158.00","2,817.50","2,204.50","1,450.00",757.5,273.5,53,9
2016,용산구,계,"221,883.00","8,527.00","8,071.00","8,191.50","10,893.00","14,321.50","16,574.50","19,209.50","18,532.00","18,978.00","19,128.50","17,220.00","16,991.00","13,054.00","10,017.00","8,591.50","6,856.00","3,984.50","1,902.00",676,140,24.5
2016,용산구,남자,"107,917.50","4,397.50","4,037.00","4,193.00","5,751.50","6,953.00","8,176.00","9,552.50","9,121.50","9,473.50","9,552.50","8,574.00","8,314.00","6,245.50","4,609.50","3,822.00","2,801.50","1,510.50",592,189,45.5,6
2016,용산구,여자,"113,965.50","4,129.50","4,034.00","3,998.50","5,141.50","7,368.50","8,398.50","9,657.00","9,410.50","9,504.50","9,576.00","8,646.00","8,677.00","6,808.50","5,407.50","4,769.50","4,054.50","2,474.00","1,310.00",487,94.5,18.5
2016,성동구,계,"292,890.50","12,494.00","11,051.00","10,508.00","14,513.50","20,767.50","22,895.00","25,559.00","25,223.50","24,648.50","24,473.50","23,450.00","23,228.50","16,872.00","12,599.50","10,403.50","7,542.50","4,102.50","1,792.50",608.5,136,21.5
2016,성동구,남자,"145,183.00","6,333.50","5,613.50","5,266.00","7,333.50","10,651.00","11,556.50","12,683.50","12,841.50","12,644.50","12,370.00","11,837.00","11,655.00","8,236.00","5,951.00","4,725.00","3,232.50","1,541.00",522,157.5,29.5,3
2016,성동구,여자,"147,707.50","6,160.50","5,437.50","5,242.00","7,180.00","10,116.50","11,338.50","12,875.50","12,382.00","12,004.00","12,103.50","11,613.00","11,573.50","8,636.00","6,648.50","5,678.50","4,310.00","2,561.50","1,270.50",451,106.5,18.5
2016,광진구,계,"353,271.50","12,902.00","12,664.50","13,621.50","19,607.50","27,297.00","31,614.50","33,013.50","28,865.00","28,776.00","30,165.00","27,889.50","27,403.50","19,965.50","14,122.50","10,945.00","7,646.00","4,075.50","1,886.00",620.5,164,27
2016,광진구,남자,"172,883.50","6,642.00","6,467.00","7,018.50","10,039.50","13,333.00","15,338.50","16,394.50","14,535.50","14,252.50","14,687.50","13,732.00","13,186.50","9,603.00","6,706.50","5,246.00","3,458.00","1,478.00",576,151.5,35,2.5
2016,광진구,여자,"180,388.00","6,260.00","6,197.50","6,603.00","9,568.00","13,964.00","16,276.00","16,619.00","14,329.50","14,523.50","15,477.50","14,157.50","14,217.00","10,362.50","7,416.00","5,699.00","4,188.00","2,597.50","1,310.00",469,129,24.5
2016,동대문구,계,"350,689.50","12,872.00","12,679.00","12,594.50","17,609.00","26,337.50","27,533.00","28,075.00","27,710.00","28,013.50","28,291.50","27,022.50","28,585.50","22,462.00","17,177.00","14,545.50","10,352.50","5,506.50","2,352.00",760,185,26
2016,동대문구,남자,"175,335.00","6,644.00","6,473.50","6,448.50","8,959.50","13,250.00","14,690.50","14,523.00","14,309.00","14,656.50","14,390.50","13,636.00","13,979.50","10,863.50","8,119.00","6,705.50","4,593.00","2,144.00",708.5,192,45,4
2016,동대문구,여자,"175,354.50","6,228.00","6,205.50","6,146.00","8,649.50","13,087.50","12,842.50","13,552.00","13,401.00","13,357.00","13,901.00","13,386.50","14,606.00","11,598.50","9,058.00","7,840.00","5,759.50","3,362.50","1,643.50",568,140,22
2016,중랑구,계,"406,546.50","15,399.50","14,159.50","14,415.50","21,465.00","28,910.50","29,434.50","32,958.00","31,900.50","31,351.50","34,686.50","35,211.00","36,174.00","26,813.50","19,550.00","15,095.00","10,158.50","5,414.50","2,430.00",804,177.5,37.5
