"","기간","자치구","loan_count","인구합계","0.4세","5.9세","10.14세","15.19세","20.24세","25.29세","30.34세","35.39세","40.44세","45.49세","50.54세","55.59세","60.64세","65.69세","70.74세","75.79세","80.84세","85.89세","90.94세","95.99세","100세.이상.","전체세대","1인세대","2인세대","3인세대","4인세대","5인세대","6인세대","7인세대","8인세대","9인세대","10인세대.이상"
"24",2016,"송파구",30982,650062,27620.5,28560,29882,38848,44411,48165,56837,55774,55428.5,55718,50740.5,51151,39205,26379,17927.5,11464,6883,3440,1303.5,276,48.5,258382,81256,50740,52635,57002,12953,2832,669,211,43,41
"25",2016,"강동구",26886,445082.5,17623,18208.5,18811,26188.5,30906,31727.5,36082.5,36210,35648.5,37546.5,36802,38801.5,29320,19969,13550,8599,5113,2746.5,975,222,32.5,177460,57735,36052,35621,36625,8888,1929,430,114,42,24
"26",2017,"종로구",16218,148098.5,4181,4824,5400.5,7764,11336,12021.5,10491.5,10292,10967.5,13360.5,12120,12184,9652,6979,6187.5,5251.5,3027,1401,501.5,132,24.5,73594,35539,13600,10925,9844,2717,668,209,58,21,13
"27",2017,"중구",6785,121058,4187,3819.5,3364.5,4883,8027.5,9703.5,10020,10026.5,9069,10140,9530,10521,8492.5,6132,5019,4098.5,2366.5,1152.5,408,83.5,14,60412,28845,12224,9206,7517,1936,501,120,34,12,17
"28",2017,"용산구",6666,219546.5,7904.5,7860,7848.5,10318,13943,17202,18425.5,18759.5,17698,19511.5,16679,17043.5,13757,9877.5,8300.5,7189,4300,2022.5,717.5,164.5,25,107666,49518,21720,16934,14452,3753,923,234,79,27,26
"29",2017,"성동구",12984,296598.5,12467,11037.5,10250,13793,20791,23988,25093,26295,23828.5,25242.5,23044.5,23971.5,18125.5,12722.5,10482.5,8191.5,4552,1927.5,616,155.5,24,132902,51798,27999,24603,21768,5002,1260,331,93,28,20
"30",2017,"광진구",36382,351919,12284,12417,13241.5,18212,27122.5,32533,31491.5,29376.5,27462.5,30362.5,27237.5,27890.5,21081,14362.5,11155.5,8352,4454,2015.5,659,179,29.5,160798,68171,31806,27507,25725,5745,1359,340,97,28,20
"31",2017,"동대문구",17416,345931.5,12004.5,12353.5,12043.5,16495.5,25846.5,27873.5,26044.5,27548,26461.5,28630.5,26181,28573,23435,17207,14444,11249,5979.5,2516,816.5,201.5,27.5,159938,70090,31663,26511,23485,6127,1546,363,103,32,18
"32",2017,"중랑구",11808,403696.5,14554.5,14008,13786,19786.5,27985.5,30101.5,31149,32367.5,29659,34623.5,34032,36955,28516.5,19952,15309,11297,5917,2599.5,860,203,34.5,179132,69385,39419,33027,28498,6869,1455,352,96,18,13
"33",2017,"성북구",17639,439323,16018.5,18473,18783.5,23448.5,31791,31858,30671.5,34370,36754.5,39616.5,33057,34210.5,27612.5,20176.5,17030.5,13604.5,7336.5,3205.5,1038.5,234,32,187112,69365,38281,35319,33216,8184,1987,557,125,33,45
"34",2017,"강북구",10441,319965,10056.5,10972,11421.5,16022.5,21738.5,21688,21577.5,24231.5,24689,28016,25465.5,27782.5,22743,17831.5,15001,11556,5814,2363,781,187,27.5,142533,54745,32534,26345,21711,5526,1262,270,85,30,25
"35",2017,"도봉구",14618,341842,11591,12702,13461,19063,23860,22937,22551.5,24902,25705,30277.5,28174.5,31066,24593,16927,13445.5,10734,5929.5,2768.5,926.5,193,34.5,137378,41294,31810,29112,26717,6470,1449,359,113,37,17
"36",2017,"노원구",21100,555097.5,19959,22645,27527.5,38171.5,41834.5,34890.5,35435,40919,45399.5,53835,44755,44297.5,34285,23469,18123,14864.5,8783,4142.5,1391.5,331,39,217619,64810,46592,45562,47593,10354,2075,436,128,40,29
"37",2017,"은평구",18798,480967,17434,19101.5,19726,26021,31785,32794,34467,39509.5,39814,42498,36844.5,39181,31350,23373.5,19178.5,15049.5,8015.5,3415.5,1149,232,28,202839,70698,45192,39648,35350,9107,2106,538,134,37,29
"38",2017,"서대문구",5149,306765,11076,11027.5,11637,15688,23098.5,24439,22616.5,23624,23744,26903,23632.5,24211.5,18892,14081,12335,10399.5,5881.5,2449.5,834,173,22,137266,55117,28458,24332,22047,5515,1312,349,86,26,24
"39",2017,"마포구",20367,369595.5,15009,14778.5,14476.5,17542.5,25625.5,31672,34283.5,33749.5,32200.5,31931.5,25991.5,25878,19843.5,14488,12481.5,10146.5,5846,2594.5,809.5,212.5,35,169408,71949,34690,28724,26036,6163,1343,347,90,38,28
"40",2017,"양천구",10868,468983.5,16577,20977.5,25432,32976.5,33451,29824,30694.5,34777.5,39044.5,46961.5,39684,37637,28523,19299.5,13466,9792.5,5775.5,2873.5,961.5,222.5,32.5,176649,47379,35589,38567,42582,9777,2059,466,153,45,32
"41",2017,"강서구",16746,591554,25864,24051.5,22960,29492.5,39083,47054.5,52650.5,54330,47674,47154.5,42867.5,48125.5,38445.5,26523,18611.5,13288,7708.5,3930.5,1379,314.5,46,254257,91595,54914,49020,44792,10925,2226,562,143,51,29
"42",2017,"구로구",10872,409495,17826.5,17401,15198,19321.5,26019.5,29708.5,33293,36674,33516,33225.5,30377.5,33499,27795.5,20454,15269,10857,5696,2385,782.5,174.5,21.5,171570,60669,37054,32991,30792,7686,1788,408,128,33,21
"43",2017,"금천구",9845,231214,8045.5,7635.5,7732,11040,15830,18612,18388,17933,17130.5,19841,20015,20993.5,16113.5,11607,8789,6352.5,3217,1393.5,421,110,14.5,106066,44496,22240,18232,15903,3926,953,222,55,23,16
"44",2017,"영등포구",5133,361910.5,14692,13171,12131,16102,22968,30784.5,33303,31850,28435.5,29383,26947,29005.5,23130,17247.5,13275.5,10124.5,5909.5,2402.5,829,202,17.5,167355,72378,33120,28372,25600,6022,1348,368,80,35,32
"45",2017,"동작구",6681,392903.5,15114.5,14878.5,14040,18236,28706,34725,34086,33857,30936,31234.5,27960,30310,24486,18504.5,14709,11090,6144.5,2709.5,929,220,27.5,172995,68697,35530,30962,28615,7017,1591,428,99,35,21
"46",2017,"관악구",6480,497056.5,15605.5,14945,14792.5,20408,39313.5,58586.5,49855.5,42975.5,37212.5,37336,33396.5,36193.5,30198,23877.5,18619.5,13507.5,6378,2710,915,194.5,36,255352,133850,47431,34845,29543,7319,1718,462,126,30,28
"47",2017,"서초구",10699,435952,18183.5,22203.5,22480,25829.5,27356.5,30912.5,33958,38256,39545.5,40992.5,31134,30045.5,25021.5,18120,13762.5,9076,5110.5,2612,1072.5,239.5,40.5,173594,55973,33829,34428,37230,9097,2136,612,185,59,45
"48",2017,"강남구",33394,549396,19230,23083.5,26851.5,36658,37605.5,41778,44780,47372,46658.5,53538,41866.5,37510,31491,22503,16579.5,10863.5,6064.5,3230.5,1340.5,341,51,231612,87820,42114,42031,45784,10507,2381,659,189,88,39
"49",2017,"송파구",26663,651722.5,26860.5,28602.5,29183,36831,43545,49193.5,55049,57589.5,53510,56990,49610,51546.5,41489.5,27476,18875.5,12539.5,7363,3682.5,1421.5,313.5,51,264628,85227,52978,54090,55878,12730,2776,677,186,54,32
"50",2017,"강동구",29434,433809.5,16526,17763,18058,24128,29091.5,31384.5,33287.5,36387,33875.5,37153.5,34482,38150.5,30264.5,20365.5,13986,9415.5,5358.5,2826,1032.5,233.5,40.5,177407,59590,37027,35159,34742,8453,1829,437,107,37,26
"51",2018,"종로구",15256,148325.5,3989,4792.5,5334.5,7259.5,11233,12375,10345.5,10546,10335.5,13241.5,12230.5,12330,10047,7102,6152,5571.5,3234,1493.5,546.5,142,24.5,73735,36012,13901,10952,9348,2601,631,195,58,21,16
"52",2018,"중구",6733,121382,4012,3732.5,3302,4532,7855,10142,9903.5,10333.5,8695,9999.5,9592.5,10463.5,8921,6220,5068.5,4344,2498.5,1218,440,90,19,61502,29832,12753,9255,7238,1791,456,114,32,13,18
"53",2018,"용산구",9170,219034,7341.5,7607.5,7609.5,9738,13735.5,18043.5,18177.5,19130,16672.5,19459,16741.5,17141,14317.5,9924.5,8246,7407.5,4609,2149,755,198.5,30,108974,50818,22284,16997,14034,3606,891,226,72,23,23
"54",2018,"성동구",12482,300991.5,12285,10959.5,10183.5,13098,20960.5,25159.5,24961.5,27359,23089.5,25564.5,23389,24289.5,19350,13078,10646,8711,4960.5,2076,671.5,175,24.5,137209,54940,29647,25071,21190,4794,1144,294,95,21,13
"55",2018,"광진구",15686,351215,11500,12180,12999,16944.5,26786.5,33787.5,30405.5,29816,26234.5,30035.5,27343,27826,22149,14796.5,11512,8911,4888.5,2157.5,724,188,30.5,162606,70605,32723,27281,24753,5508,1270,323,89,31,23
"56",2018,"동대문구",16935,342485,11291.5,11977.5,11705,15392,25588,28230.5,24681,27651,25131,28339.5,26094,27995.5,24197,17386.5,14506,11975,6482.5,2701,906.5,224,30,161820,72616,32618,26287,22662,5777,1408,323,88,27,14
"57",2018,"중랑구",10295,399875.5,13428.5,13708.5,13313.5,18157.5,26748.5,30812.5,29727,32460,28109.5,33796.5,33787,36833,29935,20513.5,15860,12276,6463.5,2747.5,935,232,31,180511,72086,40504,32621,26995,6517,1332,338,82,22,14
"58",2018,"성북구",14270,432108.5,14703.5,17725.5,18346.5,22411,31199.5,32067.5,28661,33817.5,34061,39633,33218.5,33476.5,28331.5,20356,16978,14382.5,7920.5,3378,1144,264.5,32.5,186601,71004,38798,34648,31796,7789,1882,496,113,33,42
"59",2018,"강북구",11053,316094,9099,10576,10962.5,14947,21281.5,22361,20083.5,23753,23106,27735,25454,27578.5,23553.5,17835.5,15202,12541,6401.5,2538.5,841.5,215,28.5,143395,57388,33037,25619,20545,5267,1147,252,93,22,25
"60",2018,"도봉구",14197,337404,10652.5,12180,12962,17578,23041.5,23201.5,21086,24666.5,24011.5,29680,28110,30627,25980.5,17470.5,13854.5,11605.5,6387,3016,1029,227,37.5,138087,43182,32551,28962,25408,6092,1389,356,92,42,13
"61",2018,"노원구",19735,543267.5,18055.5,21592.5,26437.5,35586,40943.5,35181.5,32601.5,39800,42101,52809,44533.5,43685,35720,24318,18563,15681.5,9352.5,4418,1480,368,40,217655,67527,47741,44866,45217,9770,1932,403,138,39,22
"62",2018,"은평구",17011,476894.5,16066,18327.5,19147.5,24592,31021,33772,32639,39175,37528.5,42663,37058,38882,32708,23637,19605.5,16093.5,8800.5,3623.5,1255.5,270,29.5,205001,73517,46903,39233,33915,8691,2037,508,129,34,34
"63",2018,"서대문구",4667,304796.5,10454,11007.5,11259.5,14802.5,22721,25106,21581.5,23695,22570.5,26579.5,23776,24062,19721.5,14132,12321,10900.5,6333.5,2646,903.5,194,29.5,138549,57194,28781,24437,21209,5260,1207,341,85,21,14
"64",2018,"마포구",21806,367176.5,14129,14198.5,14382,16699.5,25303.5,32834,32691,33817.5,30607,32346,26188,25677.5,20528,14509,12455.5,10642,6255.5,2785,859,233,36,172505,75480,35381,28617,25285,5962,1279,342,103,31,25
"65",2018,"양천구",10140,462235,15317.5,20434.5,25095,30927,32192,30007,28500,34712.5,37131,46102.5,39417.5,37372,29678.5,20146.5,14226,10431,6169,3047,1035,263,30.5,176498,48615,36590,38406,40961,9321,1930,462,143,41,29
