검색조건
대출기간,2018-01-01 ~ 2018-12-31
성별,전체
연령,청소년(14~19세)
지역,서울
세부지역,성북구
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2019-12-06
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","뮤지컬을 꿈꾸다 ","정재왈 지음","미래엔 컬처그룹","2009","","9788937845352","43680","674","4",
"1","싸이퍼 - 제14회 사계절문학상 대상 수상작","탁경은 (지은이)","사계절","2016","","9788958283799","44810","","4",
"1","성균관 유생들의 나날 :정은궐 장편소설","지은이: 정은궐","파란미디어","2009","1","9788963710051","04810","813.6","4",
"4","성균관 유생들의 나날 :정은궐 장편소설","지은이: 정은궐","파란미디어","2009","2","9788963710068","04810","813.6","3",
"4","뇌과학 여행자 :신경과 의사, 예술의 도시에서 뇌를 보다 ","지은이: 김종성","사이언스북스","2011","","9788983715593","03400","513.8","3",
"4","해리포터와 불의 잔","조앤 K. 롤링 지음;최인자 [공]옮김","문학수첩","2000","41","9788983920928","04840","843","3",
"4","백마 탄 왕자들은 왜 그렇게 떠돌아다닐까 :history in history ","박신영 지음","페이퍼로드","2013","","9788992920810","03900","920","3",
"4","사소한 것들의 과학 :물건에 집착하는 한 남자의 일상 탐험 ","마크 미오도닉 지음 ;윤신영 옮김","MID(엠아이디)","2016","","9791185104652","03400","530.4","3",
"9","맨발의 꿈(2disc)","김태균 감독, 박희순 출연","KD미디어(케이디미디어)","2010","","8809274083168","","688","2",
"9","Diary of a spider","by Doreen Cronin;pictures by Harry Bliss","Joanna Cotler Books","2005","2","9780060001537","51699","","2",
"9","One lighthouse, one moon ","Anita Lobel","HarperCollins","c2000","","9780060005375","50699","","2",
"9","If you give a moose a muffin ","by Laura Joffe Numeroff ;illustrated by Felicia Bond","HarperCollins","c1991","1","9780060244064","","","2",
"9","Kitten's first full moon","Kevin Henkes","Greenwillow Books","2004","","9780060588298","","","2",
"9","Arthur's Family Vacation: An Arthur Adventure [With *] (Paperback)","마크 브라운 (지은이)","Time Warner","1995","12","9780316109581","50699","","2",
"9","Andrew Lost #4: In the Garden (Paperback)","주디스 그린버그 (지은이)","Random House Childrens Books","2003","4","9780375812804","50399","","2",
"9","Martha Speaks","Meddaugh|Susan","WalterLorraineBooks","1995","","9780395729526","","","2",
