검색조건
대출기간,2018-01-01 ~ 2018-12-31
성별,전체
연령,청소년(14~19세)
지역,서울
세부지역,성북구
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2019-12-06
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","앨리스 죽이기 ","고바야시 야스미 지음 ;김은모 옮김","시공사","2015","","9788952775184","03830","833.6","4",
"1","왜 세계의 절반은 굶주리는가?:유엔 식량특별조사관이 아들에게 들려주는 기아의 진실","장 지글러 지음;유영미 옮김","갈라파고스","2007","","9788990809179","03300","335.7","4",
"3","시련 ","지은이: 아서 밀러 ;옮긴이: 최영","민음사","2012","286","9788937462863","04800","842","3",
"3","졸업 :설월화雪月花 살인 게임 : 히가시노 게이고 장편소설 ","지은이: 히가시노 게이고 ;옮긴이: 양윤옥","현대문학","2009","","9788972754367","03830","833.6","3",
"3","역사를 바꾼 17가지 화학 이야기","페니 르 쿠터,곽주영 옮김","사이언스북스","2007","2","9788983711939","03400","430","3",
"3","나 같은 늙은이 찾아와줘서 고마워 :독거노인 열두 명의 인생을 듣다 ","글: 김혜원 ;유성호","오마이북","2011","","9788996430537","03810","818","3",
"3","죽고 싶지만 떡볶이는 먹고 싶어 :백세희 에세이 ","지은이: 백세희","흔","2018","","9791196394509","03810","818","3",
"8","해리포터와 아즈카반의 죄수","알폰소 쿠아론 감독","","2009","3","8809263818016","","688.2","2",
"8","해리포터와 불사조 기사단","데이빗 예이츠 감독","","2009","5","8809263818030","","688.2","2",
"8","해리 포터 4 : 불의 잔 (2disc) - 할인행사","마이크 뉴웰 감독, 다니엘 래드클리프 외 출연","워너브라더스","2007","4","8809323140064","","688.2","2",
"8","Harry by the sea","by Gene Zion;pictures by Margaret Bloy Graham","HarperTrophy","1965","38","9780064430104","","","2",
"8","Zomo the Rabbit: A Trickster Tale from West Africa (Paperback) - A Trickster Tale from West Africa","McDermott","HarcourtBrace","2007","318","9780152010102","50700","","2",
"8","I Am Malala: The Girl Who Stood Up for Education and Changed the World (Hardcover, Young Readers)","Yousafzai|Malala","LittleBrown&Co","2014","","9780316327930","","","2",
"8","Ready for Anything! (Paperback) (My Little Library 2-29)","게이코 가스자","PenguinPutnam","2010","229","9780399256400","50899","","2",
"8","1 Hunter (Paperback)","팻 허친스","HarperTrophy","1986","60","9780688065225","50699","","2",
"8","Draw Me a Star                                                                                       (Paperback)","ERIC CARLE","PenguinUSA","1998","","9780698116320","78840","","2",
"8","그림은 금방 능숙해지지 않는다","나리토미 미오리","","2016","","9781187165065","","","2",
"8","Hello Baby! (Mem Fox) (Paperback) - My Little Library Pre-Step 63","멤 폭스 (지은이)","Simon & Schuster","2010","63","9781442402836","50899","","2",
