검색조건
대출기간,2018-01-01 ~ 2018-12-31
성별,전체
연령,청소년(14~19세)
지역,서울
세부지역,성북구
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2019-12-06
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","그림 동화집","지은이: 그림형제 ;홍성광 옮김","웅진씽크빅","2011","12","9788901136219","04800","853","4",
"2","한국이 싫어서 :장강명 장편소설 ","장강명 지음","민음사","2015","","9788937473074","04810","813.7","3",
"2","82년생 김지영 :조남주 장편소설 ","지은이: 조남주","민음사","2016","","9788937473135","04810","813.7","3",
"2","국가론 :이상국가를 찾아가는 끝없는 여정 ","플라톤 지음 ;이환 편역","돋을새김","2014","","9788961671729","03160","160.23","3",
"2","우리 역사 속 수학 이야기 :흥미로운 조상들의 수학을 찾아서 ","이장주 지음","성균관대학교 출판부","2012","","9788979869354","03410","410","3",
"2","해리포터 :스페셜 리허설 에디션 대본","지은이: J.K. 롤링,옮긴이: 박아람","문학수첩","2016","2","9788983926296","04840","842","3",
"2","헝가리 =세계의 풍습과 문화가 궁금한 이들을 위한 필수 안내서 /Hungary ","브라이언 맥린,박수철 옮김","시그마북스","2019","","9788984459113","04900","309.1258","3",
"2","개를 훔치는 완벽한 방법 ","바바라 오코너 지음 ;신선해 옮김","다산북스","2008","","9788993285284","03840","843","3",
"9","벼랑위의 포뇨 (2DISC)","미야자키 하야오 감독, 나라 유리아 외 목소리","대원디지털엔터테인먼트","2009","","8809105879052","","688.6","2",
"9","타이타닉 (2disc) - 아웃케이스 없음","제임스 카메론 (감독), 레오나르도 디카프리오, 케이트 윈슬렛, 빌리 제인 (출연)","20세기폭스","2012","","8809461420417","","","2",
"9","If you take a mouse to school","by Laura Numeroff;illustrated by Felicia Bond","HarperCollins Publishers","c2002","","9780060283285","","","2",
"9","Peanut and Pearl's Picnic Adventure","Dotlich, Rebecca Kai|Alley, R. W. (Ilt)","HarpercollinsChildrensBooks","2008","27","9780060549220","50399","","2",
"9","The Animal Rescue Club (Paperback)","JOHN HIMMELMAN (지은이)","Harpercollins Childrens Books","1999","43","9780064442244","50599","","2",
"9","Let's Go, Froggy! (Paperback)","Jonathan London","PenguinUSA","1996","9","9780140549911","","","2",
"9","Froggy goes to school","by Jonathan London;illustrated by Frank Remkiewicz","Puffin Books","1998, c199","3","9780140562477","","","2",
"9","Sharing time troubles ","by Grace Maccarone;illustrated by Betsy Lewin","Cartwheel Books","c1997","136","9780590738798","50399","","2",
"9","Midnight on the moon","by Mary Pope Osborne;illustrated by Sal Murdocca","Random House","c1996","8","9780679863748","86374","","2",
"9","The Tiara Club: Princess Emily And The Beautiful Fairy (Paperback)","비비안 프렌치 (지은이)","Orchard","2005","6","9781843628590","","","2",
"9","The Tiara Club: Princess Charlotte And The Enchanted Rose (Paperback)","Vivian French (지은이), Sarah Gibb (그림)","Hachette Children's Books","2006","7","9781846161957","","","2",
"9","Princess Katie and the Dancing Broom (Paperback)","Vivian French (지은이)","Orchard","2006","8","9781846161964","","","2",
"9","Smarty Pants and the Talent Show","Written by Joy Cowley","Clean Slate Press","2011","25","9781921790119","","740","2",
"9","Dan and the Parrot","Written by Joy Cowley","Clean Slate Press","2011","39","9781921790195","","740","2",
"9","Sloppy Tiger's Picnic","Written by Joy Cowley","Clean Slate Press","2011","23","9781921790225","","740","2",
"9","Mrs Wishy-Washy's Birthday","Written by Joy Cowley","Clean Slate Press","2011","14","9781921790232","","740","2",
"9","Huggles' Cold","Joy Cowley","JYbooks","2011","12","9781921790263","","747","2",
"9","The Huggles' Hug","by Joy Cowley","JYbooks","2011","11","9781921790270","","747","2",
"9","Fix-It Bear","Written by Joy Cowley","Clean Slate Press","2011","110","9781921790294","","740","2",
"9","Mr. Whisper and the road works","Joy Cowley","JYbooks","2011","24","9781921790324","","747","2",
"9","Mr Whisper and Miss Candy","Written by Joy Cowley","Clean Slate Press","2011","16","9781921790331","","740","2",
"9","Mr Whisper's Sore Ears","Written by Joy Cowley","Clean Slate Press","2011","26","9781921790348","","740","2",
"9","(화내고 대들고 숨기는 게 많아진) 사춘기 아이와 싸우지 않고 지내는 법 ","리사 보에스키 지음 ;박미경 옮김","웅진씽크빅","2009","","9788901091488","13370","186.5","2",
"9","최고의 석학들은 어떤 질문을 할까? :스스로 새로운 생각을 이끌어내는 90가지 물음 ","미하이 칙센트미하이,허병민 엮음","웅진씽크빅","2014","","9788901165448","03320","325.211","2",
"9","마션 :어느 괴짜 과학자의 화성판 어드벤처 생존기 ","지은이: 앤디 위어 ;옮긴이: 박아람","RHK(알에이치코리아)","2015","","9788925556789","03840","843.6","2",
"9","(있는 그대로) 참 소중한 너라서 :지금도 충분히 아름다운 그대에게 ","김지훈 지음","RHK(알에이치코리아)","2016","","9788925559650","03810","818","2",
"9","봉구뽕구 봉규야 :김문주 창작동화 ","지은이: 김문주 ;그린이: 정은민","예림당","2010","","9788930209960","73810","813.7","2",
"9","나목","박완서 지음","세계사","1995","10","9788933800690","03810","813.6","2",
"9","소름 돋는 과학 퀴즈 ","닉 아놀드 글 ;김은숙 옮김","김영사","2011","150","9788934950899","74400","400","2",
"9","엄마를 부탁해 :신경숙 장편소설 ","지은이: 신경숙","창비","2008","","9788936433673","03810","813.7","2",
"9","스프링벅 =배유안 장편소설 /Springbuck ","배유안","창비","2008","","9788936456122","43810","813.6","2",
"9","이름 없는 너에게:벌리 도허티 장편소설","벌리 도허티 지음;김진이 그림","창비","2004","","9788936470968","03840","843","2",
"9","당신이라는 말 참 좋지요 :문학집배원 안도현의 시배달 ","엮은이: 안도현","창비","2008","","9788936471446","03810","811.62","2",
"9","소유의 종말","제러미 리프킨 지음;이희재 옮김","민음사","2001","","9788937424755","03300","331.54","2",
"9","가난한 사랑노래:신경림 시집","신경림 지음","실천문학","1997","","9788939220508","03810","811.6","2",
"9","(뭘까? 뭘까?) 동물","글·그림: 이시카와 코우지;옮김: 고향옥","대교출판","2007","","9788939520646","73830","375.1","2",
"9","우리 가족입니다","이혜란 지음","보림출판사","2005","","9788943305796","77810","813.6","2",
"9","맛깔스럽게, 도시락부","범유진 (지은이)","살림Friends","2017","","9788952236296","","","2",
"9","소리와 분노 :윌리엄 포크너 장편소설 ","지은이: 윌리엄 포크너 ;옮긴이: 공진호","문학동네","2013","","9788954620611","04840","843.5","2",
"9","살인자의 기억법 :김영하 장편소설 ","지은이: 김영하","문학동네","2013","","9788954622035","03810","813.7","2",
"9","당신의 아주 먼 섬 :정미경 장편소설 ","지은이: 정미경","문학동네","2018","","9788954650052","03810","813.7","2",
"9","모양과 측정이랑 놀아요","한국헤르만헤세 유아교육연구소 (지은이)","한국헤르만헤세","2018","12","9788954867245","","","2",
"9","낭만적 연애와 그 후의 일상 :알랭 드 보통 장편소설 ","지은이: 알랭 드 보통 ;옮긴이: 김한영","은행나무","2016","","9788956608846","03840","843.5","2",
"9","파과 :구병모 장편소설 ","지은이: 구병모","자음과모음","2013","","9788957077740","03810","813.7","2",
"9","누나는 수다쟁이 수학자","글: 박현정 ;그림: 정혜경","뜨인돌출판","2014-2018","2","9788958075370","74410","410","2",
"9","이중나선:생명에 대한 호기심으로 DNA구조를 발견한 이야기","제임스 왓슨;최돈찬 옮김","궁리출판","2006","","9788958200673","03470","474.3282","2",
"9","수학을 낳은 위대한 질문들 :모든 위대한 증명은 질문에서 시작되었다 ","토니 크릴리 지음 ;박병철 옮김","휴먼사이언스","2013","","9788958625964","04080","410.4","2",
"9","하루 3분, 나만 생각하는 시간 :마음 둘 곳 없는 당신에게 보내는 윤대현의 심리 편지 ","윤대현 지음","위즈덤하우스","2014","","9788959138425","03810","189","2",
"9","사춘기 악마들 :부모를 미치게 하는 사춘기 자녀 5일 변화 프로젝트 ","케빈 리먼 지음 ;김세영 옮김","문학수첩리틀북","2014","","9788959761616","13590","332.24","2",
"9","토지 :박경리 대하소설","지은이: 박경리","마로니에북스","2012","17","9788960532571","04810","813.6","2",
"9","토지 :박경리 대하소설","지은이: 박경리","마로니에북스","2012","18","9788960532588","04810","813.6","2",
"9","해킹 :공격의 예술 ","존 에릭슨 지음 ;강유 옮김","에이콘","2010","","9788960771260","14560","004.661","2",
"9","나는 고작 한번 해봤을 뿐이다 :운명을 바꾸는 '한번 하기'의 힘 ","김민태 지음","위즈덤하우스","2016","","9788960869127","03320","325.211","2",
"9","빨리 명탐정이 되고 싶어 ","히가시가와 도쿠야 지음 ;채숙향 옮김","지식여행","2012","","9788961092098","03830","833.6","2",
"9","그림에, 마음을 놓다 :다정하게 안아주는 심리치유에세이 ","이주은 지음","아트북스","2008","","9788961960106","03600","650.4","2",
"9","큰소리 내지 않고 우아하게 아들 키우기 ","임영주 지음","멘토르","2013","","9788963056746","13370","598.132","2",
"9","과학, 일시정지 :과학 선생들의 현대 과학 다시 보기 ","가치를꿈꾸는과학교사모임 지음","양철북","2009","","9788963720043","03400","404","2",
"9","넘어져도 다시 일어서는 아이 :내 아이 마음을 단단하게 만드는 회복탄력성 훈련 ","지은이: 케네스 R. 긴스버그,옮긴이: 안진희","양철북","2015","","9788963721590","03180","183.2","2",
"9","유시민의 글쓰기 특강 ","지은이: 유시민","아름다운사람들","2015","","9788965133520","04800","802","2",
"9","표현의 기술 ","글: 유시민 ;만화: 정훈이","아름다운사람들","2016","","9788965133759","03800","802","2",
"9","어느 소방관의 기도 :우리가 잊지 말아야 할 작은 영웅들의 이야기 ","오영환 지음","쌤앤파커스","2015","","9788965702962","03810","351.18204","2",
"9","시작, 책 만들기 ","김은영,김경아 지음","안그라픽스","2016","","9788970598529","03600","005.56","2",
"9","(간추린) 진보와 빈곤 ","헨리 조지 지음 ;김윤상 옮김","경북대학교출판부","2012","","9788971803547","93320","320.1","2",
"9","히틀러에 붙이는 주석 ","제바스티안 하프너 지음 ;안인희 옮김","돌베개","2014","","9788971996027","03920","925.073","2",
