검색조건
대출기간,2018-01-01 ~ 2018-12-31
성별,전체
연령,청소년(14~19세)
지역,서울
세부지역,성북구
ISBN 부가기호,전체
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2019-12-06
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","다이어트 학교 :김혜정 장편소설 ","지은이: 김혜정","자음과모음","2012","","9788954427142","43810","813.7","7",
"1","시간을 파는 상점 :김선영 장편소설 ","지은이: 김선영","자음과모음","2012","","9788954427173","43810","813.7","7",
"3","엄마를 부탁해 :신경숙 장편소설 ","지은이: 신경숙","창비","2008","","9788936433673","03810","813.7","6",
"3","인간 실격","다자이 오사무 지음;김춘미 옮김","민음사","2004","","9788937461033","04830","833.6","6",
"3","수학 귀신 :수학을 싫어하는 한 소년이 수학의 원리를 깨우치기까지 ","한스 마그누스 엔첸스베르거 글 ;고영아 옮김","비룡소","1998","","9788949190013","43850","410","6",
"3","(이금이 성장소설)유진과 유진","이금이 지음","푸른책들","2004","","9788957980132","03810","813.6","6",
"3","해리포터와 불의 잔","조앤 K. 롤링 지음;최인자 [공]옮김","문학수첩","2000","41","9788983920928","04840","843","6",
"8","Holes ","Louis Sachar","Yearling","2008","","9780440414803","","","5",
"8","완득이 :김려령 장편소설 ","김려령","창비","2008","","9788936433635","03810","813.6","5",
"8","조커와 나 :김중미 소설집 ","지은이: 김중미","창비","2013","","9788936456481","43810","813.7","5",
"8","돈으로 살 수 없는 것들 :무엇이 가치를 결정하는가 ","지은이: 마이클 샌델 ;옮긴이: 안기순","미래엔","2012","","9788937833663","03330","193","5",
"8","기억 전달자","로이스 로리 글;장은수 옮김","비룡소","2007","","9788949120744","43840","843","5",
"8","키싱 마이 라이프 =Kissing my life ","이옥수 지음","비룡소","2008","","9788949120836","43810","813.6","5",
"8","창가의 토토","구로야나기 테츠코 글;김난주 옮김","프로메테우스출판사","2005","","9788991503007","03830","833.6","5",
"8","난장이가 쏘아올린 작은 공:조세희 소설집","조세희","이성과 힘","2000","","9788995151204","03810","813.6","5",
"16","아몬드 (양장 특별 한정판)","손원평 (지은이)","창비","2017","","9788936434267","","","4",
"16","딥스 ","버지니아 M. 액슬린 지음 ;이원영 옮김","샘터사","2003","","9788946414013","04370","186.5","4",
"16","Huckleberry Finn (Paperback 1권 + Audio CD 3개) - Usborne Classics Retold 엣센셜편","마크 트웨인 (지은이)","Usborne","2011","24","9788961753487","","","4",
"16","14살에 시작하는 처음 심리학 - 청소년을 위한 생활밀착형 심리 교과서","정재윤","북멘토","2016","","9788963191911","43100","","4",
"16","용의자 X의 헌신","히가시노 게이고 지음;양억관 옮김","현대문학","2006","","9788972753698","03830","833.6","4",
"16","외딴방:신경숙 장편소설","신경숙 지음","문학동네","1999","","9788982812460","03810","813.6","4",
"16","해리포터와 불의 잔","조앤 K. 롤링 지음;최인자 [공]옮김","문학수첩","2000","42","9788983920935","04840","843","4",
"16","우리들의 일그러진 영웅","이문열 지음","다림","1999","","9788987721095","73810","813.6","4",
"16","불량 유전자는 왜 살아남았을까? :인문의학자가 들려주는 생로병사의 과학 ","강신익 지음","페이퍼로드","2013","","9788992920841","03400","476.1","4",
"16","(10대와 통하는) 한국 전쟁 이야기 :왜 전쟁 반대와 평화가 중요할까요? ","이임하 지음","철수와영희","2013","","9788993463439","43910","911","4",
"16","너의 이름은. =Your name. ","지은이: 신카이 마코토 ;옮긴이: 박미정","대원씨아이","2017","","9791133440054","03830","833.6","4",
"16","몽환화 :히가시노 게이고 장편소설 ","지은이: 히가시노 게이고 ;옮긴이: 민경욱","비채","2014","","9791185014517","03830","833.6","4",
"28","인사이드 아웃 - 한국어 더빙 수록","리처드 카인드, 에이미 포엘러, 필리스 스미스 (목소리), 로니 델 칼멘, 피트 닥터 (감독)","월트디즈니","2015","","8809362349053","","","3",
"28","비행운 :김애란 소설집 ","지은이: 김애란","문학과지성사","2012","","9788932023151","03810","813.7","3",
"28","만들어진 신 :신은 과연 인간을 창조했는가? ","리처드 도킨스 [지음] ;이한음 옮김","김영사","2007","","9788934926184","03400","204.21","3",
"28","정의란 무엇인가 ","저자: 마이클 샌델 ;역자: 이창신","김영사","2010","","9788934939603","03330","193","3",
"28","위저드 베이커리 =구병모 장편소설 /Wizard bakery ","지은이: 구병모","창비","2009","","9788936433697","03810","813.7","3",
"28","도가니 :공지영 장편소설 ","지은이: 공지영","창비","2009","","9788936433703","03810","813.6","3",
"28","옷장 속의 세계사 ","이영숙 지음","창비","2013","","9788936452100","43900","909","3",
"28","라일락 피면 :10대의 선택에 관한 여덟 편의 이야기 ","원종찬 엮음","창비","2007","","9788936456047","43810","813.6","3",
"28","스프링벅 =배유안 장편소설 /Springbuck ","배유안","창비","2008","","9788936456122","43810","813.6","3",
"28","용기 없는 일주일 :정은숙 장편소설 ","지은이: 정은숙","창비","2015","","9788936456672","43810","813.7","3",
"28","싯다르타","헤르만 헤세 지음;박병덕 옮김","민음사","2002","","9788937460586","04850","853","3",
"28","캣칭 파이어 ","수잔 콜린스 지음 ;이원열 옮김","미래엔 컬처그룹","2010","","9788937832994","03840","843.6","3",
"28","모킹제이 ","수잔 콜린스 지음 ;이원열 옮김","미래엔","2011","","9788937833229","03840","843.6","3",
"28","개 같은 날은 없다 :이옥수 장편소설 ","지은이: 이옥수","비룡소","2012","","9788949123189","44810","813.7","3",
"28","애프터 유 :조조 모예스 장편소설 ","지은이: 조조 모예스 ;옮긴이: 이나경","북이십일","2016","","9788950964948","03840","843.6","3",
"28","모리와 함께한 화요일 ","미치 앨봄 지음 ;공경희 옮김","살림출판사","2010","","9788952213211","03840","844","3",
"28","1Q84 :무라카미 하루키 장편소설","지은이: 무라카미 하루키 ;옮긴이: 양윤옥","문학동네","2009-2010","1","9788954608640","04830","833.6","3",
"28","불량 가족 레시피 :손현주 소설 ","지은이: 손현주","문학동네","2011","","9788954613873","03810","813.7","3",
"28","프리즘 :이상우 소설 ","지은이: 이상우","문학동네","2015","","9788954638623","03810","813.7","3",
"28","내 몸속의 우주 :질병부터 성격까지 좌우하는 미생물의 힘 ","롭 나이트,강병철 옮김","문학동네","2016","","9788954640367","04470","475","3",
"28","쇼코의 미소 :최은영 소설 ","지은이: 최은영","문학동네","2016","","9788954641630","03810","813.7","3",
"28","소녀, 적정기술을 탐하다 ","조승연 지음","뜨인돌출판","2013","","9788958074656","03810","818","3",
"28","종의 기원:자연선택의 신비를 밝히다","윤소영 풀어씀","사계절출판사","2004","","9788958280057","43400","476","3",
"28","돼지가 한 마리도 죽지 않던 날","로버트 뉴턴 펙 지음;김옥수 옮김","사계절출판사","2005","","9788958280927","43840","843","3",
"28","열일곱 살의 인생론 :성장을 위한 철학 에세이 ","안광복 지음","사계절출판사","2010","","9788958284338","43100","104","3",
"28","여고생 미지의 빨간약 :단편소설로 시작하는 열여덟 살의 인문학 ","김병섭,박창현 지음","양철북","2015","","9788963721842","03810","001","3",
"28","미적분으로 바라본 하루 :일상 속 어디에나 있는 수학 찾기 ","오스카 E. 페르난데스 지음 ;김수환 옮김","프리렉","2015","","9788965400912","93400","414.1","3",
"28","모든 순간의 물리학 =우리는 누구인가라는 물음에 대한 물리학의 대답 /Seven brief lessons on physics ","카를로 로벨리 지음 ;김현주 옮김","쌤앤파커스","2016","","9788965703112","03400","420.1","3",
"28","(EBS 다큐프라임) 왜 우리는 대학에 가는가 ","EBS <왜 우리는 대학에 가는가> 제작팀,정명 지음","해냄","2015","","9788965744740","03300","377.004","3",
"28","우물밖 여고생 ","글·사진: 신슬기","푸른향기","2016","","9788967820435","03810","981.3","3",
"28","구르미 그린 달빛 :윤이수 장편소설 ","글: 윤이수 ;그림: 김희경","열림원","2015","2","9788970638638","04810","813.7","3",
"28","매스커레이드 호텔 =히가시노 게이고 장편소설 /Masquerade hotel ","지은이: 히가시노 게이고 ;옮긴이: 양윤옥","현대문학","2012","","9788972756125","03830","833.6","3",
"28","눈먼 자들의 도시","주제 사라마구 지음;정영목 옮김","해냄출판사","2002","","9788973374939","03890","879","3",
"28","아내를 사랑한 여자","히가시노 게이고 지음;이선희 옮김","창해","2006","","9788979197181","03830","833.6","3",
"28","해리포터와 불사조 기사단","조앤 K. 롤링 저;최인자 옮김","문학수첩","2003","51","9788983921437","04840","843","3",
"28","로봇 소년, 학교에 가다","톰 앵글버거, 폴 델린저 (지은이), 김영란 (옮긴이)","미래인(미래M&B,미래엠앤비)","2017","","9788983948113","","","3",
"28","기억 속의 들꽃","윤흥길 글;허구 그림","다림","2005","","9788987721668","73810","813.6","3",
"28","파인만의 여섯가지 물리 이야기 ","리처드 파인만 강의 ;박병철 옮김","승산","2007","","9788988907412","03420","420","3",
"28","왜 세계의 절반은 굶주리는가?:유엔 식량특별조사관이 아들에게 들려주는 기아의 진실","장 지글러 지음;유영미 옮김","갈라파고스","2007","","9788990809179","03300","335.7","3",
"28","호숫가 살인사건 :히가시노 게이고 장편소설 (The)lakeside murder case","지은이: 히가시노 게이고 ;옮긴이: 권일영","랜덤하우스코리아","2010","","9788991207455","03830","833.6","3",
"28","고릴라는 핸드폰을 미워해 :아름다운 지구를 지키는 20가지 생각 ","박경화 지음","북센스","2011","","9788993746068","03800","539.904","3",
"28","스노우맨 :요 네스뵈 장편소설 ","지은이: 요 네스뵈 ;옮긴이: 노진선","비채","2012","","9788994343587","03890","859.82","3",
"28","(재밌어서 밤새읽는) 화학 이야기 ","사마키 다케오 지음 ;김정환 옮김","더숲","2013","","9788994418513","03430","430.4","3",
"28","(재밌어서 밤새읽는) 물리 이야기 ","사마키 다케오 지음 ;김정환 옮김","더숲","2013","","9788994418568","03420","420","3",
"28","1그램의 용기 :한비야 에세이 ","지은이: 한비야","푸른숲","2015","","9791156755371","03810","818","3",
"28","신은 주사위 놀이를 하지 않는다 :로또부터 진화까지, 우연한 일들의 법칙 ","데이비드 핸드 지음 ;전대호 옮김","길벗","2016","","9791186978801","03400","413.1","3",
"28","소년소녀, 과학하라! - 탐구 지수 만렙을 위한 과학자들의 꿀팁 대방출","한재권|전은지|이진주|이정모|이은희|이상희|이강환|서민|남창훈|김범준","우리학교","2016","","9791187050186","","","3",
"75","폼포코 너구리 대작전 (2disc)","다카하다 이사오 감독","대원DVD","2005","","8809105873326","","688.6","2",
"75","해리포터와 마법사의 돌","크리스 콜럼버스 감독","","2009","1","8809263817996","","688.2","2",
"75","아바타","제임스 카메론 감독","","2010","","8809285603812","","688.2942","2",
"75","코렐라인:비밀의 문 ","헨리 셀릭 감독","","2009","","8809306508287","","688.6","2",
"75","해리 포터 2 : 비밀의 방 (2disc) - 할인행사","크리스 콜럼버스 감독, 다니엘 래드클리프 외 출연","워너브라더스","2007","2","8809323140040","","688.2","2",
"75","업 (1disc)","피트 닥터 감독, 이순재 외 목소리","월트디즈니","2012","","8809362340234","","688.6","2",
"75","메이즈 러너: 스코치 트라이얼","딜런 오브라이언, 토마스 생스터, 이기홍 (출연), 웨스 볼 (감독)","20세기폭스","2016","","8809461423555","","","2",
"75","닥터 스트레인지","틸다 스윈튼, 매즈 미켈슨, 레이첼 맥애덤스, 베네딕트 컴버배치 (출연), 스콧 데릭슨 (감독)","월트디즈니","2017","","8809505721104","","","2",
"75","Ms. Turtle the Babysitter (Paperback, Reprint)","발레리 고르바초프 (지은이)","Trophy Pr                               ","2006","145","9780060580759","50399","","2",
"75","Dirk Bones and the Mystery of the Haunted House (Paperback)","Doug Cushman","Harpercollins Childrens Books","2009","147","9780060737672","50399","","2",
"75","Morris the Moose (Paperback)","Wiseman|B.","HarperTrophy","2002","113","9780064441469","50399","","2",
"75","Silly Tilly's Thanksgiving Dinner (Paperback, Reprint)","릴리언 호번 (지은이)","Harpercollins Childrens Books","1991","133","9780064441544","50399","","2",
"75","A Lion in the Night (Paperback)","파멜라 앨런","PuffinBooks","2002","118","9780140509397","91701","","2",
"75","Aladdin and the enchanted lamp ","retold by Judith Dean ;illustrated by Thomas Sperling","Oxford University Press","c2008","","9780194789011","","","2",
"75","Arthur and the popularity test","text by Stephen Krensky","Little, Brown","1998","12","9780316115452","50425","","2",
"75","Francine, Believe It or Not (Paperback) (Paperback)","마크 브라운 (지은이)","Random House","1999","14","9780316122580","50425","","2",
"75","Monkey Puzzle (Paperback)","Donaldson|Julia","Macmillan","2000","","9780333720011","90200","","2",
"75","The Berenstain Bears' Moving Day (Paperback) - The Berenstain Bears #25","Jan Berenstain, Stan Berenstain (지은이)","Random House Childrens Books","1981","25","9780394848389","50399","","2",
"75","The Berenstain Bears and the Trouble at School (Paperback) - The Berenstain Bears #50","Jan Berenstain, Stan Berenstain (지은이)","Random House Childrens Books","1987","50","9780394873367","50399","","2",
"75","The Giver (Mass Market Paperback)","로이스 로우리","LAURELLEAFBOOKS","2011","","9780440237686","50699","","2",
"75","Zack Files 03: A Ghost Named Wanda (Paperback)","Dan Greenburg","GROSSET&DUNLAP","2011","3","9780448412610","41261","","2",
"75","Bones","by Stephen Krensky;illustrated by Davy Jones","Random House","c1999","224","9780679890362","","","2",
"75","Tonight on the Titanic (Paperback)","메리 폽 어즈번","RandomHouseInc","2002","17","9780679890638","89063","","2",
"75","School Bus (Paperback) - For the Buses, the Riders, and the Watchers","Donald crews","Mulberry","2003","","9780688122676","","","2",
"75","The Splendid Spotted Snake: A Magic Ribbon Book (Hardcover) - A Magic Ribbon Colors Book","SCHWARTZ|Betty (CON)","WorkmanPubCo","2011","","9780761163602","51395","","2",
"75","Gorilla (Paperback)","앤서니 브라운 (지은이)","Walker Books","2002","210","9781406313277","90100","","2",
"75","Guess How Much I Love You (Package)","샘 맥브래트니 (지은이), 아나타 제람 (그림)","Walker Books","2009","","9781406323955","","","2",
"75","Hollow City: The Second Novel of Miss Peregrine's Peculiar Children (Paperback)","Ransom Riggs (지은이)","Quirk Books","2015","","9781594747359","","","2",
"75","Library of Souls (Paperback, 0)","Ransom Riggs (지은이)","Random House US","2015","","9781594748400","","","2",
"75","나쁜 어린이 표","글: 황선미;그림: 권사우","웅진씽크빅","2006","","9788901028514","74810","813.6","2",
"75","(사진과 그림으로 보는) 한국 현대사:1945~","서중석 지음;역사문제연구소 기획","웅진씽크빅","2006","","9788901049595","04910","911.07","2",
"75","중독의 심리학 :숨겨진 욕망을 자극하는 치명적인 유혹 ","크레이그 네켄 지음 ;오혜경 옮김","웅진씽크빅","2008","","9788901086200","03780","513.8522","2",
"75","1984 ","지은이: 조지 오웰 ;옮긴이: 이기한","웅진씽크빅","2009","","9788901101125","04800","843","2",
"75","당신이 있어 외롭지 않습니다 :낯선 땅 콜로라도에서 마음을 나눈 간호사 ","전지은 지음","웅진씽크빅","2012","","9788901140599","03810","818","2",
"75","소문의 여자 :오쿠다 히데오 장편소설 ","지은이: 오쿠다 히데오 ;옮긴이: 양윤옥","웅진씽크빅","2013","","9788901157382","03830","833.6","2",
"75","섀도우 헌터스 :카산드라 클레어 장편소설 ","지은이: 카산드라 클레어 ;서현정","웅진씽크빅","2013-2016","1","9788901159218","04800","843.6","2",
"75","엄마를 구합니다 ","이규희 글 ;박정섭 그림","청어람주니어","2009","","9788925116372","73810","813.6","2",
"75","11문자 살인사건","하가시노 게이고 지음;민경욱 옮김","랜덤하우스코리아","2007","","9788925511238","03830","833.6","2",
"75","직장으로 간 사이코 패스 ","폴 바비악,이경식 옮김","랜덤하우스코리아","2007","","9788925513805","13320","325.3","2",
"75","회랑정回廊亭 살인사건 :히가시노 게이고 장편소설 ","히가시노 게이고 지음 ;임경화 옮김","랜덤하우스코리아","2008","","9788925518657","03830","833.6","2",
"75","쿠키런 사고력 폭발 퀴즈","정지우 (지은이), 김기수 (그림)","서울문화사","2017","","9788926386880","","","2",
"75","나무를 담벼락에 끌고 들어가지 말라 :윤진아 장편소설","지은이: 윤진아","디앤씨미디어","2012","1","9788926726150","04810","813.7","2",
